Time, X, Y, Z
0.004882813,-0.1594726,0.9515691,-0.02297126
0.006225586,-0.1594434,0.9515942,-0.02295816
0.01745605,-0.1593265,0.951655,-0.02288009
0.02490234,-0.1592851,0.9516644,-0.02286762
0.0289917,-0.1592447,0.9516898,-0.02286188
0.03973389,-0.1591613,0.9516695,-0.02283086
0.04486084,-0.1591249,0.9516344,-0.02281529
0.05102539,-0.1591323,0.951501,-0.022875
0.06488037,-0.15913,0.951406,-0.0227782
0.06561279,-0.1591311,0.9514026,-0.02276778
0.07287598,-0.1591464,0.951453,-0.02279176
0.08361816,-0.1591735,0.9514845,-0.02284709
0.0848999,-0.1591812,0.9514866,-0.02284187
0.09454346,-0.159218,0.9515501,-0.02281681
0.1048584,-0.1593097,0.9516104,-0.02284722
0.1054688,-0.1593114,0.9516122,-0.02284883
0.1167603,-0.1593325,0.9517369,-0.02291286
0.1248779,-0.1593309,0.9518806,-0.02295977
0.1277466,-0.1593398,0.9519476,-0.0229699
0.138855,-0.1592667,0.9518778,-0.02307573
0.1448975,-0.1591677,0.951707,-0.0231494
0.1499634,-0.159188,0.9515621,-0.02315071
0.1611938,-0.1592813,0.9513925,-0.02317725
0.164856,-0.1593293,0.9513398,-0.02319379
0.1721802,-0.1593881,0.9513882,-0.02326855
0.1832886,-0.1594648,0.9514798,-0.02333222
0.1848755,-0.159481,0.9514927,-0.02333669
0.1947021,-0.1595869,0.9514488,-0.02340531
0.204895,-0.1595954,0.9514612,-0.02340122
0.2056885,-0.1595926,0.9514672,-0.02339521
0.2197876,-0.1595252,0.9514833,-0.02328327
0.2248535,-0.1595028,0.9514709,-0.02326766
0.2279663,-0.1595098,0.9514645,-0.02327989
0.2388916,-0.1595289,0.9513757,-0.02327797
0.244873,-0.159535,0.9512823,-0.0232562
0.249939,-0.1595357,0.9512826,-0.02326703
0.2613525,-0.1595408,0.9512473,-0.02330935
0.2648926,-0.1595481,0.9512271,-0.02332285
0.2721558,-0.1595533,0.9512288,-0.02339388
0.2832642,-0.1595212,0.9512713,-0.02348411
0.2848511,-0.1595045,0.9513658,-0.0234451
0.2946167,-0.1594577,0.9515089,-0.02348307
0.3048706,-0.1593159,0.9517744,-0.02325451
0.3054199,-0.1593807,0.9516296,-0.02330814
0.3164063,-0.1593713,0.9516211,-0.02323118
0.3248901,-0.159223,0.9517401,-0.02295524
0.328125,-0.1591402,0.951822,-0.0228284
0.3387451,-0.1590107,0.952022,-0.02251656
0.3448486,-0.1590401,0.9519371,-0.02248955
0.3498535,-0.1588082,0.952073,-0.02248757
0.3616943,-0.1585688,0.9521052,-0.02254508
0.3648682,-0.158554,0.9520644,-0.02257599
0.376709,-0.1586014,0.9518529,-0.02279699
0.3830566,-0.1586389,0.9517477,-0.0228796
0.3848877,-0.1587611,0.951744,-0.02289999
0.3938599,-0.1589897,0.9516861,-0.02298667
0.4046021,-0.1591893,0.9517063,-0.02302659
0.4048462,-0.1592056,0.9517567,-0.02301078
0.4159546,-0.159523,0.9519203,-0.02303398
0.4248657,-0.1597024,0.9520298,-0.02312784
0.4269409,-0.1597638,0.9520575,-0.02314796
0.4379272,-0.1597432,0.952484,-0.02322985
0.4448853,-0.159641,0.952618,-0.02310389
0.4492798,-0.1596114,0.952796,-0.02308382
0.4603882,-0.1595193,0.9527645,-0.02342595
0.4649048,-0.1595332,0.9525669,-0.02364703
0.4713135,-0.1595284,0.9524124,-0.02390702
0.482605,-0.1603155,0.9512436,-0.02472268
0.4848633,-0.1604357,0.9513729,-0.02471136
0.4935303,-0.1609007,0.9510123,-0.02508704
0.5045776,-0.1613164,0.9505866,-0.02551986
0.5048828,-0.1611892,0.9508057,-0.02575746
0.5160522,-0.1613151,0.9509568,-0.02680904
0.5249023,-0.1608669,0.951004,-0.02698188
0.5300903,-0.160691,0.9511207,-0.02713421
0.5377808,-0.1605213,0.9512438,-0.02732883
0.5448608,-0.1605546,0.9513863,-0.0273129
0.5491333,-0.1605442,0.9515319,-0.02735934
0.5601807,-0.1604936,0.9521455,-0.02731822
0.5648804,-0.160634,0.9522407,-0.02735978
0.571228,-0.1607609,0.952493,-0.02742238
0.5825806,-0.1615128,0.9525869,-0.02766305
0.5848999,-0.16159,0.9526816,-0.02768204
0.5936279,-0.1620277,0.952993,-0.02776724
0.6044922,-0.1621706,0.9539446,-0.02791984
0.6048584,-0.1620704,0.953916,-0.02786565
0.6158447,-0.1619694,0.9546352,-0.02783215
0.6248779,-0.1615486,0.9550866,-0.02800229
0.6268921,-0.1614833,0.9551923,-0.02803251
0.6378174,-0.1609397,0.9558648,-0.02881233
0.6448975,-0.160965,0.9561034,-0.02915207
0.6491089,-0.1608995,0.9562901,-0.02943777
0.6602173,-0.1608728,0.9568724,-0.02965432
0.664856,-0.160852,0.9570004,-0.02977005
0.6712036,-0.1607708,0.9572259,-0.02997783
0.6848755,-0.1605724,0.9575042,-0.03058299
0.6858521,-0.1605786,0.9574987,-0.03059898
0.6932373,-0.160548,0.9574573,-0.03073017
0.7044678,-0.1604007,0.9574206,-0.03142284
0.704895,-0.1603969,0.9573733,-0.03139657
0.7157593,-0.1601525,0.9570402,-0.03196232
0.7248535,-0.1601978,0.9564704,-0.03250842
0.7268677,-0.1602156,0.9563376,-0.03263836
0.737915,-0.1603709,0.9558477,-0.03258434
0.744873,-0.1604929,0.9559759,-0.03261967
0.7493896,-0.1606165,0.9559706,-0.03266653
0.7608032,-0.1606001,0.9554991,-0.03319658
0.7648926,-0.1606091,0.9553449,-0.0336339
0.7719116,-0.1605521,0.9550055,-0.03410235
0.7832642,-0.1604012,0.9545484,-0.03451158
0.7848511,-0.160076,0.954623,-0.03469129
0.7946167,-0.1593063,0.9545095,-0.03525506
0.8048706,-0.1581566,0.954405,-0.0350365
0.805481,-0.1581012,0.9543988,-0.03503743
0.8167114,-0.1572253,0.953475,-0.03490654
