Time, X, Y, Z
0.004882813,0.138483,0.9912804,-0.01073125
0.006225586,0.1384977,0.99128,-0.01072016
0.01745605,0.1385368,0.9913161,-0.01066262
0.02490234,0.138496,0.991307,-0.01062952
0.0289917,0.1384587,0.9913042,-0.01059763
0.03973389,0.1384038,0.9913288,-0.01051256
0.04486084,0.1383743,0.9913488,-0.01046178
0.05102539,0.1382858,0.9913428,-0.01041397
0.06488037,0.1380832,0.9912846,-0.01032704
0.06561279,0.1380698,0.9912802,-0.0103208
0.07287598,0.1381025,0.9912819,-0.01036438
0.08361816,0.1381797,0.991289,-0.01045351
0.0848999,0.1381882,0.9912925,-0.01045434
0.09454346,0.1381875,0.9913235,-0.01039265
0.1048584,0.1381774,0.9913062,-0.01036383
0.1054688,0.1381812,0.9913068,-0.01036334
0.1167603,0.1382948,0.9913282,-0.01036398
0.1248779,0.138438,0.9913724,-0.01040632
0.1277466,0.1385197,0.9914148,-0.01044379
0.138855,0.1386415,0.9914315,-0.01050346
0.1448975,0.1387188,0.9913784,-0.01051655
0.1499634,0.1387709,0.9913418,-0.01048765
0.1611938,0.1387803,0.9912786,-0.01046015
0.164856,0.1387642,0.9912413,-0.01045574
0.1721802,0.1387149,0.9911777,-0.01042458
0.1832886,0.1386511,0.9911327,-0.01036197
0.1848755,0.1386392,0.991128,-0.01035115
0.1947021,0.1386203,0.9911151,-0.01034382
0.204895,0.1386691,0.9910747,-0.01036713
0.2056885,0.1386734,0.991071,-0.01036736
0.2197876,0.138784,0.9909925,-0.01033089
0.2248535,0.1388168,0.9909933,-0.0102994
0.2279663,0.1388125,0.9910131,-0.01027019
0.2388916,0.1388413,0.9910101,-0.01017977
0.244873,0.1388828,0.9909821,-0.01011609
0.249939,0.1389899,0.9910238,-0.01007055
0.2613525,0.1390952,0.9910543,-0.01003391
0.2648926,0.1391102,0.9910533,-0.01002501
0.2721558,0.1391858,0.9911122,-0.01010786
0.2832642,0.1393321,0.9912083,-0.01026112
0.2848511,0.1393449,0.9912089,-0.01019825
0.2946167,0.1394799,0.9912412,-0.01024018
0.3048706,0.1395644,0.9909834,-0.01028991
0.3054199,0.1395073,0.9909381,-0.01031114
0.3164063,0.1395254,0.9907721,-0.01035385
0.3248901,0.1395515,0.9908504,-0.01028611
0.328125,0.139562,0.9908196,-0.01030427
0.3387451,0.1395206,0.9907528,-0.01031597
