Time, X, Y, Z
15.35999,-0.216577,0.9183016,0.219684
17,-0.1790293,0.9144599,0.173729
18.93994,-0.2449206,0.9070148,0.1967175
20.43994,-0.1899495,0.9047776,0.2198881
22.21997,-0.2158546,0.914843,0.2144142
23.93994,-0.2169731,0.9258966,0.1558589
25.53992,-0.1742482,0.9175277,0.2060456
27.12,-0.2162861,0.9050686,0.2590657
29.45996,-0.2166158,0.9189844,0.1296538
31.09998,-0.1906293,0.9169819,0.2191097
32.71997,-0.1914537,0.9168658,0.1832558
34.40002,-0.2174851,0.9159042,0.2052931
38.45996,-0.1813867,0.9208367,0.1482584
40.05994,-0.2066403,0.9189415,0.1885683
41.71997,-0.2083125,0.9032786,0.1553382
63.21997,-0.2094784,0.926423,0.1835919
64.64001,-0.166026,0.8944505,0.1730295
65.90002,-0.2218767,0.9028605,0.2063803
68.33997,-0.1875044,0.8973089,0.2053371
69.57996,-0.1890532,0.9050404,0.1647807
70.85999,-0.2137649,0.9036515,0.1850661
72.23999,-0.1774696,0.8842942,0.2152513
73.55994,-0.1695688,0.9024276,0.1639029
75.09998,-0.2034798,0.9124126,0.1807686
76.35999,-0.2106499,0.9083136,0.2197625
77.67993,-0.1790894,0.9035605,0.2013269
78.97998,-0.2229965,0.9166216,0.1874987
80.15991,-0.2610374,0.9257348,0.1877949
81.64001,-0.2037906,0.9183566,0.1383166
83,-0.1875567,0.9170551,0.1876846
104.4199,-0.2411926,0.9085619,0.2095122
105.72,-0.1553549,0.9050504,0.2388895
107.0399,-0.2105143,0.895831,0.2042329
108.24,-0.1625402,0.9277405,0.2174608
109.6799,-0.1816085,0.8977628,0.1740011
111.12,-0.2152904,0.9134799,0.2250352
112.78,-0.1524761,0.9260389,0.09133562
114.12,-0.1988016,0.9134093,0.1950972
115.7,-0.2074956,0.8952721,0.1832872
117.02,-0.2232646,0.91443,0.1756562
118.76,-0.1847902,0.9193738,0.1397149
120.24,-0.2118705,0.908577,0.1971841
121.5599,-0.2205367,0.9010046,0.1274635
123.02,-0.2269703,0.9048963,0.2148932
124.46,-0.2104039,0.9070699,0.1742975
146.14,-0.2149651,0.9032729,0.177052
147.4399,-0.1737134,0.895254,0.1873248
150,-0.2208058,0.8996655,0.2319148
151.4199,-0.2160514,0.8965777,0.1699971
152.76,-0.188878,0.9023347,0.1829547
155.26,-0.2293521,0.9032096,0.1549573
156.5599,-0.169613,0.9091082,0.2267239
157.9199,-0.2264485,0.9093218,0.1813133
159.38,-0.1972196,0.8982751,0.2119091
161.98,-0.1603866,0.8960804,0.1480975
163.26,-0.1849209,0.9011254,0.1923517
164.62,-0.2315243,0.9064827,0.2222566
165.9199,-0.1710249,0.9111959,0.1850347
167.1,-0.1522536,0.9299763,0.1479222
168.6799,-0.1811471,0.8938275,0.1496408
