Time, X, Y, Z
15.35999,-0.1746223,0.86,0.2060507
17,-0.150057,0.86,0.1478633
18.93994,-0.2202173,0.86,0.1846163
20.43994,-0.1591839,0.86,0.1901767
22.21997,-0.2022119,0.86,0.1855381
23.93994,-0.2012921,0.86,0.1431009
25.53992,-0.1652844,0.86,0.1840793
27.12,-0.2005908,0.86,0.2043749
29.45996,-0.2217844,0.86,0.1533976
31.09998,-0.161272,0.86,0.1872777
32.71997,-0.1791378,0.86,0.148923
34.40002,-0.2015045,0.86,0.180389
38.45996,-0.1636515,0.86,0.1396263
40.05994,-0.1958112,0.86,0.178784
41.71997,-0.1737622,0.86,0.1404642
63.21997,-0.2009862,0.86,0.1931395
64.64001,-0.1598116,0.86,0.165497
65.90002,-0.2146599,0.86,0.2088411
68.33997,-0.1587594,0.86,0.1889378
69.57996,-0.1655617,0.86,0.1434833
70.85999,-0.1957872,0.86,0.1684046
72.23999,-0.1715329,0.86,0.2056078
73.55994,-0.1681753,0.86,0.1425052
75.09998,-0.1983326,0.86,0.1616344
76.35999,-0.1910276,0.86,0.1995147
77.67993,-0.1527428,0.86,0.1767588
78.97998,-0.1918931,0.86,0.1700653
80.15991,-0.2188204,0.86,0.194257
81.64001,-0.1901689,0.86,0.1359912
83,-0.1719954,0.86,0.1817563
104.4199,-0.2127914,0.86,0.1956174
105.72,-0.1517113,0.86,0.2023886
107.0399,-0.2032797,0.86,0.1992154
108.24,-0.1542604,0.86,0.1921455
109.6799,-0.172938,0.86,0.1610442
111.12,-0.1908991,0.86,0.2002323
112.78,-0.1947711,0.86,0.1542387
114.12,-0.1989127,0.86,0.1957684
115.7,-0.1729737,0.86,0.1426584
117.02,-0.2000958,0.86,0.1722512
118.76,-0.1682605,0.86,0.1462864
120.24,-0.1949078,0.86,0.1765437
121.5599,-0.1967707,0.86,0.1371618
123.02,-0.2217074,0.86,0.1989296
124.46,-0.1883842,0.86,0.1430268
146.14,-0.2059636,0.86,0.1769304
147.4399,-0.1592238,0.86,0.1682331
150,-0.191767,0.86,0.2008874
151.4199,-0.2030196,0.86,0.1449903
152.76,-0.1621827,0.86,0.153968
155.26,-0.2247632,0.86,0.1515242
156.5599,-0.15907,0.86,0.2049999
157.9199,-0.2161945,0.86,0.1757597
159.38,-0.1643642,0.86,0.1896523
161.98,-0.1595901,0.86,0.1374125
163.26,-0.1628943,0.86,0.1910265
164.62,-0.2033314,0.86,0.2047694
165.9199,-0.1532751,0.86,0.1668175
167.1,-0.1898355,0.86,0.1786753
168.6799,-0.1599919,0.86,0.1451505
