Time, X, Y, Z
0,-0.1861072,1.059593,-0.01282273
0.005981445,-0.1861583,1.059569,-0.0124397
0.01696777,-0.1863892,1.05943,-0.01193693
0.02001953,-0.186562,1.059369,-0.01185128
0.02819824,-0.1869004,1.05917,-0.01148455
0.03930664,-0.1873411,1.05882,-0.0111298
0.03991699,-0.1873904,1.058755,-0.0110458
0.05029297,-0.1879495,1.058101,-0.0106242
0.05993652,-0.1884957,1.05753,-0.01000878
0.06164551,-0.1885402,1.057563,-0.009937048
0.07592773,-0.1891805,1.057116,-0.009337053
0.07995605,-0.1893658,1.057011,-0.009154856
0.08361816,-0.1895592,1.056984,-0.008888692
0.09472656,-0.1899622,1.057052,-0.008317336
0.09997559,-0.190182,1.057141,-0.008056089
0.1057129,-0.1905194,1.057285,-0.007695228
0.1168213,-0.1912273,1.057812,-0.007045999
0.1199951,-0.1913317,1.057975,-0.006960243
0.1278076,-0.1918211,1.058398,-0.006619811
0.138916,-0.1922978,1.058785,-0.00649935
0.1400146,-0.1923353,1.05878,-0.0064971
0.1500244,-0.1927826,1.059074,-0.00632447
0.1600342,-0.1931945,1.059162,-0.006187186
0.1611328,-0.1932498,1.059173,-0.006170258
0.1722412,-0.1936324,1.059157,-0.005966827
0.1799316,-0.1938984,1.059163,-0.005804509
0.1832275,-0.1940894,1.059136,-0.005725428
0.1947021,-0.1944409,1.059224,-0.005681053
0.1999512,-0.1946845,1.05919,-0.00556466
0.2055664,-0.1949627,1.059158,-0.005543798
0.2167969,-0.1953268,1.059015,-0.005628943
0.2199707,-0.1954583,1.058874,-0.005655006
0.2296143,-0.1958892,1.058564,-0.005828038
0.2388916,-0.1961835,1.058345,-0.005899712
0.2399902,-0.1962156,1.058323,-0.005878597
0.2498779,-0.1964885,1.058061,-0.005815282
0.2600098,-0.1967406,1.057855,-0.005792931
0.2609863,-0.1967675,1.057799,-0.005796552
0.2722168,-0.1968748,1.057435,-0.006094754
0.2800293,-0.1970036,1.057203,-0.006417781
0.2832031,-0.1970697,1.057089,-0.006575763
0.2944336,-0.1972376,1.056859,-0.006679878
0.2999268,-0.1972874,1.056875,-0.006662816
0.3057861,-0.1973478,1.057013,-0.006590396
0.3165283,-0.1973934,1.057349,-0.006336078
0.3199463,-0.1973678,1.057616,-0.006263256
0.3277588,-0.1972755,1.058176,-0.006043375
0.3388672,-0.1969237,1.059242,-0.006038845
0.3399658,-0.196972,1.059314,-0.006050691
0.3500977,-0.1968698,1.060364,-0.006016567
0.3599854,-0.1964591,1.06114,-0.00633873
0.3609619,-0.1964287,1.061224,-0.006369323
0.3721924,-0.1960234,1.062026,-0.006800726
0.3800049,-0.1958785,1.06213,-0.007037118
0.3851318,-0.195803,1.062276,-0.007364824
0.394165,-0.1957099,1.062505,-0.007724956
0.4000244,-0.1957635,1.062663,-0.007772788
0.4055176,-0.1958415,1.062835,-0.007919282
0.4165039,-0.1960955,1.063001,-0.007819399
0.4199219,-0.19618,1.063011,-0.007777974
0.4276123,-0.1963659,1.063046,-0.007772654
0.4388428,-0.1964963,1.062969,-0.00777702
0.4399414,-0.1965285,1.062937,-0.007767022
0.4500732,-0.19675,1.062907,-0.007733762
0.4599609,-0.1970407,1.06292,-0.007520333
0.4613037,-0.1970803,1.062931,-0.007490963
0.4726563,-0.197411,1.062778,-0.007132098
0.4799805,-0.1975417,1.062582,-0.00678432
0.4840088,-0.1976569,1.06249,-0.006554574
0.4952393,-0.1977141,1.062217,-0.006199718
0.5,-0.1978578,1.061877,-0.005978838
0.5064697,-0.1979202,1.061486,-0.005679771
0.5177002,-0.1978506,1.060994,-0.005646393
0.5200195,-0.1978391,1.060916,-0.005657986
0.5290527,-0.1977825,1.06038,-0.005591601
0.539917,-0.1977476,1.059995,-0.005480468
0.5424805,-0.1977836,1.059974,-0.005566567
0.5511475,-0.197813,1.059569,-0.005709693
0.5599365,-0.197864,1.059134,-0.006085411
0.5614014,-0.1978796,1.058994,-0.006188661
0.5726318,-0.1978387,1.058606,-0.00676094
0.5799561,-0.1978852,1.058226,-0.007104501
0.5836182,-0.1978572,1.058127,-0.007294312
0.5947266,-0.1976925,1.058113,-0.007894576
0.5999756,-0.197547,1.058265,-0.00828512
0.605957,-0.1973194,1.058471,-0.008662239
0.6170654,-0.1970074,1.0588,-0.009028301
0.6199951,-0.1968829,1.059032,-0.009285212
0.6280518,-0.196559,1.059542,-0.009887516
0.6392822,-0.1959637,1.060033,-0.01125073
0.6400146,-0.1960192,1.060057,-0.01112665
0.6503906,-0.1958273,1.060577,-0.01167268
0.6600342,-0.1960675,1.061015,-0.01160462
0.661377,-0.1960795,1.061062,-0.01161429
0.6724854,-0.1961503,1.061664,-0.011774
0.6799316,-0.1960894,1.061974,-0.01217097
0.68396,-0.196095,1.062213,-0.01244959
0.6984863,-0.1960519,1.062183,-0.01262465
0.6999512,-0.1960351,1.062182,-0.01265822
0.7055664,-0.1959934,1.06221,-0.01282576
0.7159424,-0.1960518,1.062188,-0.01302843
0.7199707,-0.1961817,1.062156,-0.01296958
0.7271729,-0.1964069,1.062111,-0.0128869
0.7385254,-0.1965744,1.062056,-0.01266877
0.7399902,-0.196581,1.062059,-0.0126764
0.7492676,-0.1966649,1.062135,-0.01267864
0.7600098,-0.1967723,1.062341,-0.01267709
0.760498,-0.196783,1.062346,-0.0126736
0.7718506,-0.1969064,1.062427,-0.01271351
0.7800293,-0.1969986,1.062286,-0.01262195
0.7827148,-0.197032,1.062163,-0.01263145
0.7938232,-0.1971389,1.061666,-0.01274239
0.7999268,-0.1971522,1.06132,-0.01279335
0.8050537,-0.1971563,1.060903,-0.01288103
0.815918,-0.1973074,1.060299,-0.01294187
0.8199463,-0.1974347,1.060158,-0.01294057
0.8272705,-0.1976465,1.05982,-0.01291537
0.838501,-0.1981105,1.05953,-0.01273446
0.8399658,-0.1981649,1.059539,-0.01270677
0.8508301,-0.1986018,1.059504,-0.01251906
0.8599854,-0.1990724,1.05927,-0.01236539
0.8603516,-0.1990831,1.059262,-0.01236157
0.8717041,-0.1993821,1.05905,-0.01259948
0.8800049,-0.1995766,1.058929,-0.01265723
0.8825684,-0.1996439,1.058684,-0.0127435
0.8939209,-0.1999907,1.057857,-0.01265933
0.9000244,-0.2002173,1.057545,-0.01276331
0.9050293,-0.2004166,1.057183,-0.01290204
0.9158936,-0.2005451,1.056844,-0.01355122
0.9199219,-0.2006404,1.056676,-0.01371542
0.927002,-0.2008323,1.056245,-0.01404637
0.9382324,-0.2012794,1.055658,-0.01395619
0.9399414,-0.2013912,1.055536,-0.01394348
0.9492188,-0.2020613,1.054714,-0.01391923
0.9599609,-0.202358,1.053306,-0.01449452
0.9603271,-0.2023653,1.053255,-0.01451504
0.9714355,-0.2026298,1.052429,-0.01489085
0.9799805,-0.2026388,1.051638,-0.01524983
0.9825439,-0.2026376,1.051196,-0.01549584
0.9937744,-0.2025782,1.050698,-0.01619624
1,-0.2026682,1.050552,-0.01658569
1.006226,-0.2028763,1.050563,-0.01703037
1.015747,-0.2035635,1.050082,-0.01734249
1.02002,-0.203832,1.049896,-0.01732963
1.026978,-0.2043408,1.049889,-0.01715747
1.03833,-0.2045769,1.049556,-0.01739998
1.039917,-0.2046215,1.049465,-0.01746379
1.049194,-0.2049349,1.04938,-0.01778355
1.059937,-0.2058194,1.048636,-0.01803122
1.060547,-0.2058605,1.048597,-0.01804307
1.071777,-0.2062403,1.04825,-0.01793875
1.079956,-0.2065366,1.048364,-0.01790802
1.083008,-0.2066936,1.048541,-0.01785356
1.094238,-0.2073971,1.048571,-0.01782557
1.099976,-0.2075624,1.049018,-0.01763877
1.105469,-0.2077837,1.049675,-0.01730809
1.116821,-0.2083135,1.050591,-0.01685427
1.119995,-0.2085888,1.050571,-0.01686826
1.12793,-0.2093556,1.050669,-0.01683779
1.139282,-0.2103452,1.05094,-0.01628859
1.140015,-0.2103803,1.050879,-0.01635513
1.150635,-0.2110459,1.050182,-0.01708794
1.160034,-0.2110586,1.050397,-0.01729891
1.165283,-0.2110977,1.050499,-0.01743339
1.172852,-0.2114222,1.050572,-0.01744482
1.179932,-0.2117217,1.050643,-0.0176013
1.182739,-0.2118964,1.050852,-0.01764287
1.19397,-0.2121204,1.052177,-0.01768316
1.199951,-0.2122683,1.051867,-0.01809886
1.205322,-0.2124603,1.0518,-0.01850839
1.216187,-0.2127678,1.052128,-0.01889545
1.219971,-0.2130187,1.05218,-0.01900974
1.227539,-0.2136506,1.052163,-0.01929508
1.238403,-0.2143082,1.05204,-0.01925708
1.23999,-0.2144096,1.052018,-0.01926817
1.249512,-0.2148836,1.051983,-0.01942691
1.26001,-0.2156042,1.052078,-0.01947111
1.26062,-0.2156362,1.05209,-0.01946899
1.271729,-0.2161503,1.052572,-0.0194317
1.280029,-0.2164071,1.052931,-0.01939544
1.282837,-0.2165051,1.053054,-0.01937315
1.293945,-0.2166963,1.053453,-0.01912726
1.299927,-0.2168376,1.053584,-0.01902185
1.305176,-0.2169721,1.053715,-0.01891668
1.318481,-0.2171638,1.054249,-0.01870744
1.319946,-0.2171869,1.054295,-0.01871726
1.327148,-0.2172315,1.054704,-0.01866621
1.338379,-0.2172763,1.055155,-0.01869114
1.339966,-0.2172902,1.055244,-0.01868457
1.349365,-0.2174697,1.055644,-0.01852369
1.359985,-0.2175289,1.056051,-0.01835631
1.360596,-0.2175345,1.056076,-0.01834685
1.371704,-0.2176594,1.056346,-0.01822735
1.380005,-0.2176878,1.056438,-0.01821484
1.38269,-0.2176821,1.056467,-0.01820448
1.393921,-0.2176651,1.056508,-0.01819105
1.400024,-0.2176275,1.056563,-0.01820557
1.405151,-0.2175709,1.056603,-0.01825187
1.416016,-0.2175551,1.056655,-0.01829952
1.419922,-0.2175668,1.05669,-0.01831245
1.427246,-0.2175126,1.056772,-0.01829953
1.438721,-0.217509,1.056921,-0.01822236
1.439941,-0.2175203,1.056944,-0.01821221
1.449219,-0.2173627,1.057127,-0.0182115
1.459961,-0.2171598,1.057401,-0.01819046
1.460571,-0.2171489,1.057422,-0.01819085
1.474365,-0.2169926,1.057723,-0.01828814
1.47998,-0.2168892,1.05784,-0.01829778
1.482666,-0.2168284,1.057927,-0.01830851
1.493896,-0.216514,1.058094,-0.01850988
1.5,-0.2164029,1.058082,-0.01859656
1.505005,-0.2162967,1.058118,-0.01864216
1.516113,-0.2161198,1.058294,-0.01857789
1.52002,-0.2160705,1.058308,-0.01857632
1.527344,-0.2159603,1.058267,-0.01857078
1.538574,-0.2157643,1.058321,-0.01865613
1.539917,-0.215738,1.05834,-0.01866825
1.549683,-0.2156135,1.058315,-0.01884
1.559937,-0.215551,1.05816,-0.01887703
1.560913,-0.2155446,1.058145,-0.0188767
1.572021,-0.2153817,1.057982,-0.01910362
1.579956,-0.2151172,1.057979,-0.01934747
1.583374,-0.2149548,1.057962,-0.0195224
1.594238,-0.2146178,1.057845,-0.01974112
1.599976,-0.2144887,1.057788,-0.01974361
1.605591,-0.2143863,1.05774,-0.01975961
1.616577,-0.2142488,1.057598,-0.01976873
1.619995,-0.2142084,1.057559,-0.01975951
1.630005,-0.213891,1.057421,-0.01974696
1.638794,-0.2136282,1.057297,-0.01993896
1.640015,-0.2135853,1.057277,-0.01997477
1.64978,-0.2133683,1.057232,-0.02008662
1.660034,-0.2132126,1.057303,-0.02020913
1.660889,-0.2132013,1.057333,-0.0202131
1.672241,-0.2131718,1.057753,-0.02018088
1.679932,-0.2132747,1.057985,-0.02008837
1.682983,-0.2133273,1.058081,-0.02004877
1.694214,-0.213547,1.058205,-0.01991042
1.699951,-0.213694,1.058239,-0.01983939
1.705322,-0.2138296,1.058258,-0.01986089
1.716431,-0.2138013,1.058259,-0.02010684
1.719971,-0.2137786,1.058256,-0.02020191
1.727539,-0.2137093,1.058213,-0.02052329
1.738647,-0.2135272,1.058282,-0.02086952
1.73999,-0.2134947,1.058296,-0.02091357
1.749878,-0.213537,1.058476,-0.02091777
1.76001,-0.2137005,1.058742,-0.02076264
1.760986,-0.2137206,1.05877,-0.020748
1.772339,-0.2138367,1.059007,-0.02072765
1.780029,-0.2139084,1.059114,-0.02078442
1.785034,-0.2139596,1.059164,-0.02083032
1.794189,-0.2140615,1.059088,-0.02091062
1.799927,-0.2141582,1.059014,-0.02101319
1.80542,-0.2142079,1.058849,-0.02118161
1.816284,-0.2142976,1.058649,-0.02137266
1.819946,-0.2143272,1.058672,-0.02141662
1.827515,-0.2143003,1.058745,-0.02142556
1.838867,-0.2141613,1.058743,-0.02144033
1.839966,-0.2141415,1.058738,-0.02144279
1.849854,-0.213894,1.05879,-0.0213614
1.859985,-0.2136866,1.058828,-0.02117719
1.861206,-0.2136628,1.058825,-0.02115415
1.872437,-0.2135394,1.058659,-0.02097079
1.880005,-0.2135232,1.058429,-0.02081479
1.883545,-0.2135464,1.058231,-0.02070957
1.894775,-0.2135591,1.057741,-0.02062668
1.900024,-0.2135567,1.057526,-0.02058965
1.905762,-0.2135131,1.057259,-0.02053787
1.91687,-0.2134454,1.056874,-0.0204808
1.919922,-0.2134324,1.056753,-0.02046381
1.927979,-0.2133209,1.0564,-0.02046335
1.939941,-0.2133425,1.055911,-0.02041934
1.942627,-0.213347,1.055802,-0.0204058
1.949951,-0.213298,1.055737,-0.0203559
1.959961,-0.2133224,1.055612,-0.02030875
1.959961,-0.2133224,1.055612,-0.02030875
1.971313,-0.2132741,1.055632,-0.0203976
1.97998,-0.2131913,1.055768,-0.02048934
1.982178,-0.2132034,1.055813,-0.02052331
1.993286,-0.2131746,1.056006,-0.02066186
2,-0.2130943,1.056114,-0.02073705
2.004761,-0.2130764,1.05624,-0.02077623
2.015381,-0.2130568,1.056407,-0.02084553
2.02002,-0.2130568,1.056466,-0.02087195
2.026611,-0.2129908,1.056568,-0.0209339
2.037964,-0.212936,1.056712,-0.02099437
2.039917,-0.2129346,1.056746,-0.02100168
2.04895,-0.2129674,1.056898,-0.02106345
2.059937,-0.2129205,1.057143,-0.02112287
2.059937,-0.2129183,1.057148,-0.0211233
2.071289,-0.2128312,1.057422,-0.02111691
2.079956,-0.2127668,1.057604,-0.02111956
2.082275,-0.2127456,1.057663,-0.02111566
2.096558,-0.2126275,1.057751,-0.02117458
2.099976,-0.2125917,1.057752,-0.02119783
2.104736,-0.2125033,1.057716,-0.0212366
2.115479,-0.2124202,1.057532,-0.02122733
2.119995,-0.2124005,1.057409,-0.02121149
2.126587,-0.2123644,1.057235,-0.02117983
2.138062,-0.2122781,1.057016,-0.02111065
2.140015,-0.212253,1.056966,-0.02109732
2.148804,-0.2122322,1.056769,-0.02091274
2.159912,-0.2122332,1.056539,-0.02070567
2.160034,-0.2122324,1.056536,-0.02070379
2.171387,-0.2122186,1.056203,-0.02047637
2.179932,-0.2122539,1.055939,-0.02033199
2.182129,-0.212268,1.055862,-0.02031313
2.193115,-0.2122888,1.055514,-0.02018766
2.199951,-0.2122601,1.055364,-0.02010411
2.204346,-0.2122045,1.055186,-0.02002287
2.215454,-0.212216,1.055043,-0.01967834
2.219971,-0.2122631,1.05503,-0.01971358
2.226563,-0.212262,1.05494,-0.01960503
2.237915,-0.2120623,1.055022,-0.01967515
2.23999,-0.212017,1.055052,-0.01966737
2.250732,-0.2118119,1.055273,-0.01972771
2.26001,-0.2116284,1.055583,-0.01977818
2.26001,-0.2116306,1.055549,-0.01984677
2.27124,-0.2114247,1.055945,-0.01998469
2.280029,-0.2112371,1.056325,-0.01999842
2.282227,-0.2112012,1.056446,-0.02003962
2.293091,-0.2109855,1.056945,-0.02011664
2.299927,-0.2107869,1.057022,-0.0203812
2.304932,-0.2107019,1.056969,-0.02059335
2.315674,-0.2106418,1.056837,-0.020826
2.319946,-0.2106414,1.056769,-0.02089207
2.326904,-0.2106322,1.056614,-0.02097149
2.338013,-0.2106332,1.056378,-0.0210913
2.339966,-0.2105692,1.056356,-0.02112079
2.348877,-0.2104897,1.056078,-0.02125412
2.359985,-0.2103811,1.055722,-0.02137454
2.359985,-0.2103944,1.055768,-0.02131401
2.371338,-0.2103226,1.055548,-0.02126259
2.380005,-0.2101564,1.055546,-0.02114514
2.382446,-0.2101498,1.055526,-0.0210496
