Time, X, Y, Z
11.95996,-0.09504861,0.89845,0.1665889
13.26001,-0.07500956,0.9114415,0.05856071
22.88,-0.1846977,0.9221906,0.1671202
24.44,-0.2047679,0.9368744,0.2026531
26.17999,-0.1900747,0.9292455,0.1799405
28.21997,-0.2203086,0.9065882,0.2032116
40.70001,-0.127021,0.9069332,0.1102806
42.45996,-0.1893222,0.9030092,0.2074234
44.15997,-0.1743677,0.9193094,0.1614546
45.71997,-0.1814717,0.9104598,0.1525927
47.41998,-0.202683,0.9129244,0.1922857
48.71997,-0.1625225,0.9552862,0.1297942
52.82001,-0.1851033,0.9015131,0.1439435
54.26001,-0.206505,0.9301808,0.1458956
58.17999,-0.2084536,0.9341567,0.1297949
67.07996,-0.06220006,0.9236734,0.1307873
90.82001,-0.1571176,0.9158753,0.1897297
92.71997,-0.177779,0.9361066,0.1602757
94.85999,-0.168411,0.9284671,0.1735163
96.76001,-0.1658554,0.9193311,0.1781065
98.65997,-0.1892068,0.9127399,0.1790561
100.2,-0.1787038,0.9215294,0.1320308
102,-0.1652785,0.9082057,0.1681145
103.98,-0.1718354,0.9137263,0.187656
105.8,-0.1478577,0.908616,0.1870714
110.12,-0.1616906,0.9164655,0.1446884
113.72,-0.117773,0.9101123,0.1410006
114.92,-0.1306765,0.9357904,0.1017308
116.82,-0.1885517,0.9122474,0.1737172
118.74,-0.2013271,0.9200627,0.1707936
121.48,-0.1996063,0.8968059,0.02295087
144.06,-0.1969876,0.9358987,0.1762801
147.28,-0.182272,0.938185,0.1687727
148.74,-0.1763009,0.9151421,0.1715685
150.6,-0.2128787,0.9139256,0.2075722
152.3,-0.2304963,0.9119497,0.1439964
155.98,-0.1918663,0.9323097,0.1612019
157.58,-0.2002157,0.9113355,0.1744454
159.46,-0.2471425,0.8942922,0.1883784
162.9999,-0.1683261,0.9198117,0.1169239
165.08,-0.1613293,0.9106495,0.2098463
166.78,-0.2166023,0.9043691,0.1659883
169.2599,-0.2253803,0.912532,0.2110712
172.3799,-0.1804887,0.8904058,0.148556
191.3599,-0.1532719,0.9280464,0.1750912
193.8799,-0.2017484,0.9054974,0.2016576
215.8,-0.06508146,0.9095399,0.2857783
217.3799,-0.2718329,0.9034073,0.1317621
220.1,-0.2216968,0.9090669,0.19879
221.9,-0.2039026,0.9351277,0.1305536
225.22,-0.1796341,0.9228339,0.1971334
227.04,-0.1987495,0.9125699,0.2171258
228.68,-0.1810328,0.9127957,0.188534
230.4999,-0.257165,0.912796,0.1700296
233.18,-0.1510705,0.8932571,0.1956777
234.52,-0.1846273,0.9316787,0.1457759
236.42,-0.1411932,0.8961536,0.1926958
237.58,-0.1545276,0.9455971,0.1394371
239.44,-0.2389729,0.8936224,0.1781497
247.6,-0.1133796,0.9193846,0.1946492
249.42,-0.2353158,0.9023123,0.1692823
