Time, X, Y, Z
11.95996,-0.2154581,0.86,0.1370654
13.26001,-0.2084132,0.86,0.1894396
22.88,-0.1712701,0.86,0.1537765
24.44,-0.2052685,0.86,0.1690175
26.17999,-0.1550551,0.86,0.1505359
28.21997,-0.2079258,0.86,0.183814
40.70001,-0.1638886,0.86,0.1479234
42.45996,-0.2249625,0.86,0.2015808
44.15997,-0.1579049,0.86,0.1593389
45.71997,-0.1964439,0.86,0.1359824
47.41998,-0.2245516,0.86,0.1923244
48.71997,-0.164859,0.86,0.153669
52.82001,-0.2025984,0.86,0.1517868
54.26001,-0.1535998,0.86,0.2003659
58.17999,-0.2195721,0.86,0.1591595
67.07996,-0.1606096,0.86,0.1637621
90.82001,-0.1936664,0.86,0.1983843
92.71997,-0.1557958,0.86,0.1951894
94.85999,-0.210191,0.86,0.1780753
96.76001,-0.1608028,0.86,0.1618985
98.65997,-0.1995482,0.86,0.1600829
100.2,-0.1507117,0.86,0.136038
102,-0.1889197,0.86,0.1882783
103.98,-0.214722,0.86,0.1525481
105.8,-0.1534731,0.86,0.1546005
110.12,-0.1977855,0.86,0.1607764
113.72,-0.1957629,0.86,0.2043985
114.92,-0.1757079,0.86,0.1714129
116.82,-0.2142727,0.86,0.1366479
118.74,-0.2075864,0.86,0.1812083
121.48,-0.1570745,0.86,0.1902977
144.06,-0.2060857,0.86,0.1880409
147.28,-0.1673421,0.86,0.2026971
148.74,-0.1543251,0.86,0.1351705
150.6,-0.1956768,0.86,0.1899575
152.3,-0.2191334,0.86,0.143408
155.98,-0.1875614,0.86,0.1760679
157.58,-0.1695064,0.86,0.143431
159.46,-0.2227327,0.86,0.1623835
162.9999,-0.1704895,0.86,0.1512589
165.08,-0.1872511,0.86,0.185582
166.78,-0.1994014,0.86,0.143523
169.2599,-0.2023043,0.86,0.1846771
172.3799,-0.1985974,0.86,0.1358638
191.3599,-0.1754317,0.86,0.2056816
193.8799,-0.2060662,0.86,0.1717724
215.8,-0.1908501,0.86,0.2047657
217.3799,-0.182878,0.86,0.1412886
220.1,-0.1949745,0.86,0.1797254
221.9,-0.193719,0.86,0.1383763
225.22,-0.1556456,0.86,0.2009986
227.04,-0.202894,0.86,0.1992946
228.68,-0.1785658,0.86,0.1453625
230.4999,-0.2168202,0.86,0.1782285
233.18,-0.1632514,0.86,0.1851118
234.52,-0.1626025,0.86,0.1381835
236.42,-0.1591489,0.86,0.1880688
237.58,-0.2170041,0.86,0.1938688
239.44,-0.2241803,0.86,0.1584312
247.6,-0.1693683,0.86,0.2038061
249.42,-0.2238535,0.86,0.1722338
