Time, X, Y, Z
0,0.13761,0.8909841,0.03997712
0.006164551,0.1375313,0.8909094,0.0399738
0.01739502,0.1374619,0.8906915,0.04005489
0.0199585,0.1374582,0.8906339,0.04009023
0.02844238,0.1373836,0.8905545,0.04011604
0.03942871,0.1373317,0.8904106,0.04019614
0.03997803,0.1373278,0.8903997,0.04020286
0.05084229,0.137369,0.8902093,0.04029417
0.05999756,0.1375312,0.8901675,0.04030839
0.06518555,0.1376147,0.8901606,0.04030803
0.0725708,0.137769,0.8901721,0.04031307
0.07995605,0.1379379,0.8901623,0.04033867
0.08276367,0.138003,0.8901385,0.04036221
0.09405518,0.1381352,0.8900732,0.04039107
0.09997559,0.1382493,0.8900682,0.04043946
0.1049194,0.1382569,0.8900313,0.04045473
0.116272,0.1381399,0.8900342,0.04037872
0.1199951,0.138082,0.8900617,0.04033238
0.1271973,0.1379831,0.8901135,0.04018399
0.1381836,0.1379023,0.8902454,0.04003266
0.1399536,0.1378914,0.8902822,0.04001519
0.1495361,0.1378583,0.8903685,0.03989437
0.1599731,0.1377609,0.8904171,0.03976327
0.1607056,0.1377503,0.8904214,0.03975561
0.1715698,0.1376473,0.890507,0.0396044
0.1799927,0.1375805,0.8905852,0.03943059
0.1826172,0.1375291,0.8905463,0.03931233
0.1940918,0.137422,0.8905672,0.03902492
0.2000122,0.1373725,0.8906009,0.03885841
0.2051392,0.1372721,0.8906589,0.03872451
0.2196045,0.1371893,0.8907974,0.03861329
0.2199707,0.1371885,0.8908018,0.03861202
0.2272339,0.1371317,0.8909582,0.03851011
0.237793,0.1370442,0.8911319,0.03840342
0.2399902,0.1369773,0.8912031,0.03840357
0.2490845,0.1368636,0.891372,0.03837132
0.2600098,0.1367693,0.8915741,0.03826752
0.2602539,0.1367515,0.891634,0.03823434
0.2712402,0.1365719,0.8918868,0.0381166
0.2799683,0.1364703,0.8920282,0.03799942
0.2822876,0.1364801,0.892119,0.03805391
0.2936401,0.1364213,0.8923353,0.03806582
0.2999878,0.1362573,0.8925204,0.03805371
0.3045044,0.1361485,0.8926531,0.03801143
0.3155518,0.1361381,0.8928728,0.03780839
0.3200073,0.1361874,0.8929404,0.03761105
0.3269043,0.1361292,0.8931586,0.03747667
0.3377075,0.135998,0.8934904,0.03738433
0.3399658,0.135919,0.8934451,0.03740534
0.348877,0.1358344,0.8935472,0.03734842
0.3599854,0.1358807,0.8935472,0.03728172
0.3605347,0.1358828,0.8935184,0.03730646
0.3740845,0.1360586,0.893617,0.03716949
0.3800049,0.1361542,0.8937197,0.03707093
0.3823242,0.1362143,0.8938867,0.03718945
0.3937378,0.136396,0.8942642,0.03734994
0.3999634,0.1366224,0.8944197,0.03746158
0.404541,0.1369956,0.8946159,0.03758523
0.4155884,0.1376266,0.8949412,0.03779672
0.4199829,0.1376934,0.8949116,0.03816444
0.4268799,0.1379837,0.8950311,0.03866182
0.4377441,0.138252,0.8949822,0.03899004
0.4400024,0.1381328,0.8950825,0.03896333
0.4487915,0.1381325,0.895237,0.03918867
0.4599609,0.1381111,0.8956423,0.03859594
0.4605103,0.1386359,0.895782,0.03852192
0.4710693,0.139394,0.8962657,0.03820887
0.4799805,0.1395503,0.8972434,0.03784028
0.4821777,0.13938,0.8975747,0.03727847
0.4932861,0.1391777,0.8985893,0.03616486
0.5,0.1383787,0.899489,0.03515452
0.5044556,0.1379048,0.9001906,0.03446132
0.515625,0.136334,0.902163,0.03164625
0.5199585,0.1354003,0.9026259,0.03030777
0.5291748,0.1341219,0.9043617,0.0265118
0.5375977,0.1332657,0.9056681,0.02346076
0.539978,0.1331644,0.9058799,0.0229764
0.5488892,0.1323674,0.9072706,0.0195875
0.5599976,0.132221,0.9074067,0.01621506
0.5600586,0.1322134,0.9074106,0.01616965
0.5709839,0.133698,0.9087964,0.01276574
0.5799561,0.1341687,0.9090475,0.01122469
0.5822144,0.1343916,0.909232,0.01049422
0.593811,0.1344741,0.9084134,0.00901325
0.5999756,0.1346015,0.9076393,0.008465752
0.6047974,0.1347929,0.9071809,0.007776707
0.6161499,0.133978,0.9069118,0.007439345
0.6199951,0.1336283,0.906758,0.006954312
0.6273804,0.1332657,0.9062425,0.006369695
0.6385498,0.1329588,0.9054469,0.005728036
0.6399536,0.132584,0.9056884,0.005428761
0.6496582,0.1316878,0.9054992,0.004422113
0.6599731,0.1300715,0.9051487,0.003855169
0.6610107,0.1299415,0.9051108,0.003784716
0.6717529,0.1292486,0.90473,0.002142131
0.6799927,0.1268426,0.9055318,0.0008452088
0.6849365,0.1253082,0.9061581,-0.0005209446
0.6942749,0.1231517,0.9069679,-0.00240697
0.7000122,0.1225339,0.9072986,-0.003605142
0.7051392,0.1213592,0.9077766,-0.004949421
0.7163086,0.1200737,0.9078813,-0.006266132
0.7199707,0.1193382,0.9074661,-0.00650011
0.7275391,0.1178544,0.9071169,-0.007560343
0.7384644,0.1173793,0.9059705,-0.008509114
0.7399902,0.1173599,0.905804,-0.008440733
0.7498169,0.1166186,0.9046919,-0.009205282
0.7600098,0.1152876,0.9041304,-0.01015234
0.7610474,0.115182,0.9040462,-0.01025145
0.7722168,0.1136584,0.9038195,-0.01195922
0.7799683,0.1119584,0.9042512,-0.01382828
0.7835083,0.1108949,0.9042445,-0.01495628
0.7949219,0.1088232,0.90426,-0.01730217
0.7999878,0.1081203,0.9046162,-0.01843211
0.805542,0.1061499,0.9050132,-0.01995859
0.8167725,0.1036793,0.9054805,-0.02179593
0.8200073,0.1033893,0.9054321,-0.02213149
0.8283691,0.1014362,0.905826,-0.02387613
0.8399658,0.09919886,0.9065075,-0.02588961
0.8438721,0.098417,0.9067695,-0.02659136
0.8500977,0.09759055,0.9070382,-0.02734643
0.8586426,0.09564797,0.9075409,-0.02929005
0.8599854,0.09546041,0.907647,-0.02954595
0.8696289,0.09329721,0.9086795,-0.03176171
0.8800049,0.09146897,0.9080502,-0.03423099
0.8807983,0.09133694,0.9080333,-0.03441523
0.8920288,0.08942991,0.9081383,-0.03657855
0.8999634,0.08863659,0.9084219,-0.03850582
0.9028931,0.08802734,0.9085582,-0.03968418
0.9141235,0.08732283,0.9080857,-0.04187462
0.9199829,0.08690152,0.9079776,-0.04353341
0.925293,0.08613942,0.9079238,-0.04547498
0.9362793,0.08610623,0.9080586,-0.04757416
0.9400024,0.08614299,0.9081646,-0.04850027
0.9476318,0.08622159,0.9086214,-0.05077335
0.9584351,0.08629636,0.9085566,-0.05252895
0.9599609,0.08633193,0.9083936,-0.05275451
0.9696045,0.08672801,0.9079258,-0.05472581
0.9799805,0.08756915,0.9078376,-0.0571048
0.9807739,0.08762343,0.9078267,-0.0572592
0.9951172,0.08851761,0.9074023,-0.06030275
1,0.08846804,0.9070312,-0.06124365
1.002686,0.08856262,0.9067941,-0.06218092
1.014282,0.08857714,0.9054055,-0.06393874
1.019958,0.0887198,0.9046782,-0.0648755
1.02533,0.08900852,0.9037296,-0.06612584
1.036194,0.08980843,0.9021196,-0.06675082
1.039978,0.08980241,0.9011889,-0.06677581
1.047302,0.08999208,0.8990836,-0.06694619
1.058472,0.08984296,0.8971068,-0.0679339
1.059998,0.08984514,0.8967991,-0.06796689
