Time, X, Y, Z
0,0.1586126,0.9007983,0.2167838
0,0.2037538,0.894236,0.2127119
0,-0.1810427,0.8755937,0.1571918
0,0.1563805,0.8884541,0.2041013
0,-0.2303281,0.898941,0.1653541
0,-0.2025248,0.8873619,0.1968613
0,-0.2258195,0.8902271,0.1784847
0,-0.1984782,0.8827465,0.2334564
0,-0.2417727,0.8665539,0.1993153
0,-0.1670327,0.8938074,0.1641038
0,-0.2385375,0.8921885,0.1724678
0,-0.170735,0.8752124,0.1917766
0,-0.1542805,0.9163714,0.143199
0,-0.2212509,0.902123,0.174883
0,-0.196066,0.8850499,0.2078726
0,-0.1707188,0.9147694,0.1640623
0,-0.1521556,0.903985,0.1491525
0,-0.05351317,0.9247559,0.002594484
0,-0.168673,0.8735476,0.1507972
0,-0.127276,0.9339006,0.03759239
0,-0.2079372,0.8871499,0.1478577
0,-0.1885842,0.9145151,0.06842751
0,-0.1995806,0.8889182,0.1654157
0,-0.1980556,0.8924392,0.1959674
0,-0.20089,0.9040228,0.1729013
0,-0.1143965,0.9335786,0.003244591
0,0.2009575,0.8922658,0.1838927
0,0.1638206,0.9384701,0.1822591
0,-0.1528566,0.8944401,0.2218336
0,-0.1643324,0.9162778,0.1381161
0,-0.04075512,0.9094984,0.03273878
0,-0.1525406,0.9005678,0.1463439
0,-0.16516,0.8830081,0.1597969
0,-0.2471365,0.891019,0.187444
0,-0.1852283,0.9156155,0.1068125
0,-0.2308632,0.9083298,0.09241185
0,-0.1788639,0.9069204,0.1593527
0,-0.2485307,0.8944485,0.1375326
0,-0.1468132,0.9044063,0.05156331
0,-0.141944,0.9168665,0.04598611
0,-0.1458163,0.9300336,0.1328676
0,-0.239803,0.9151617,0.08925521
0,-0.1077915,0.9031684,0.01138843
0,-0.1814995,0.9259834,0.1902732
0,-0.171163,0.9197592,0.2038743
0,-0.252028,0.9365037,0.1251131
0,-0.005870786,0.8839325,0.03192656
11.7601,-0.1393098,0.9234249,0.1101694
14.68008,-0.21181,0.8892032,0.192662
15.94009,-0.2042325,0.9350901,0.07142004
18.00009,-0.168605,0.9161038,0.1172361
20.7001,-0.20992,0.9226823,0.1245267
22.92007,-0.1048701,0.9091881,0.07611385
25.78009,-0.1708552,0.9425185,0.09088906
28.28009,-0.1785027,0.8754004,0.170396
29.74008,-0.209256,0.924532,0.09887965
31.28009,-0.1544787,0.9354693,0.08533541
33.84009,-0.1744925,0.9322487,0.08236428
35.9801,-0.1758635,0.8761772,0.1853238
37.6001,-0.2187054,0.8872359,0.1485079
38.68008,-0.1441267,0.9352975,0.1094393
40.04544,-0.1657193,0.9358278,0.07861329
43.0401,-0.140799,0.9081258,0.08026432
67.18008,-0.1816535,0.8890501,0.1341644
68.2601,-0.1914799,0.9265425,0.05989777
70.40009,-0.1673876,0.8914894,0.1472619
71.90009,-0.165229,0.8664317,0.155467
73.3801,-0.1865773,0.8940897,0.1994752
74.7601,-0.2034924,0.8682853,0.1462066
75.86008,-0.09098485,0.9295349,0.0443145
77.5401,-0.1876874,0.8771585,0.1550036
78.84009,-0.2064107,0.8772011,0.1731216
79.78378,-0.1627437,0.9333397,0.1033241
81.84009,-0.2324944,0.910622,0.1896111
83.34009,-0.1817934,0.8975515,0.1889697
84.6601,-0.1889706,0.9211505,0.1751674
86.3801,-0.1670915,0.8952717,0.1434992
87.4801,-0.1667221,0.9415715,0.1301677
88.84009,-0.2190685,0.8729055,0.1488965
110.6401,-0.1621134,0.8830154,0.1650379
111.8201,-0.2262579,0.8849961,0.1148579
112.8201,-0.207195,0.8659716,0.1630009
114.7801,-0.1577322,0.8800126,0.1582541
133.1201,-0.1854312,0.9284508,0.08601164
134.9001,-0.2275032,0.8962653,0.1423981
136.0201,-0.2466062,0.9080015,0.1972065
137.0401,-0.1422528,0.9402803,0.1163737
138.1801,-0.2061963,0.9327936,0.1711481
139.4201,-0.2282766,0.9044654,0.1242922
140.5801,-0.19532,0.8938786,0.1585121
141.5801,-0.1730617,0.9409072,0.1759126
142.6401,-0.2127254,0.8961818,0.1404
143.4801,-0.1612275,0.9488177,0.08454815
144.6201,-0.1817128,0.9158412,0.153291
166.8801,-0.09692614,0.9343038,0.05265895
168.7201,-0.1994682,0.885733,0.132302
169.6401,-0.197088,0.9305072,0.1385443
170.9401,-0.198074,0.8696655,0.1406347
171.7401,-0.05122989,0.9262676,-0.0143472
175.6401,-0.1469555,0.9012755,0.1459618
177.1401,-0.2242538,0.9019712,0.1739441
178.2801,-0.1402589,0.9161012,0.1458728
182.1201,-0.1808438,0.9369029,0.1297005
186.1201,-0.08259973,0.9225733,-0.001401931
188.1201,-0.1886255,0.8930402,0.1326161
189.2001,-0.1561182,0.8998647,0.176621
190.3001,-0.1477636,0.8893144,0.1462323
191.1001,-0.2379948,0.8970287,0.02026976
204.4801,-0.1276858,0.9159708,0.02445566
207.1801,-0.1544386,0.8728688,0.1798699
