Time, X, Y, Z
0,-0.2041731,0.86,0.1456565
0,-0.2087784,0.86,0.1640042
0,-0.1652055,0.86,0.1856006
0,-0.2006792,0.86,0.1626663
0,-0.1804133,0.86,0.1987708
0,-0.224189,0.86,0.1887406
0,-0.1643126,0.86,0.1680741
0,-0.2147858,0.86,0.1832614
0,-0.1751679,0.86,0.1967333
0,-0.1631018,0.86,0.1437521
0,-0.2137122,0.86,0.1750531
0,-0.1829558,0.86,0.1983569
0,-0.2074539,0.86,0.1656002
0,-0.1510362,0.86,0.1650971
0,-0.190906,0.86,0.1737782
0,-0.1600591,0.86,0.1358243
0,-0.1840142,0.86,0.1732773
0,-0.204601,0.86,0.139915
0,-0.2125261,0.86,0.1910987
0,-0.1500982,0.86,0.1440099
0,-0.1669182,0.86,0.1809275
0,-0.2116053,0.86,0.2022363
0,-0.2239,0.86,0.1388292
0,-0.15,0.86,0.2
0,-0.2134774,0.86,0.2031368
0,-0.2015582,0.86,0.167296
0,-0.1528735,0.86,0.1365439
0,-0.1650106,0.86,0.1702071
0,-0.2110469,0.86,0.185816
0,-0.169809,0.86,0.146017
0,-0.2195685,0.86,0.1795676
0,-0.1538523,0.86,0.1833634
0,-0.2183579,0.86,0.1558324
0,-0.1631742,0.86,0.1608503
0,-0.1783692,0.86,0.1928041
0,-0.1730186,0.86,0.1496223
0,-0.2090976,0.86,0.2098236
0,-0.1684236,0.86,0.1482804
0,-0.2033176,0.86,0.1830114
0,-0.1688542,0.86,0.2065933
0,-0.2085075,0.86,0.1683958
0,-0.1604348,0.86,0.1703269
11.7601,-0.15,0.86,0.2
14.68008,-0.2013952,0.86,0.1834199
15.94009,-0.2197255,0.86,0.1387143
18.00009,-0.1736805,0.86,0.1958805
20.7001,-0.2244179,0.86,0.1573363
22.92007,-0.1548555,0.86,0.2046156
25.78009,-0.2161718,0.86,0.2041316
28.28009,-0.1554565,0.86,0.1357289
29.74008,-0.2187616,0.86,0.1498547
31.28009,-0.1699495,0.86,0.1748209
33.84009,-0.2180062,0.86,0.1661609
35.9801,-0.1792269,0.86,0.1743495
37.6001,-0.2131727,0.86,0.1515936
38.68008,-0.166078,0.86,0.1791501
40.04544,-0.212264,0.86,0.1950489
43.0401,-0.2026617,0.86,0.1441046
67.18008,-0.1759443,0.86,0.1739399
68.2601,-0.2015029,0.86,0.1463129
70.40009,-0.175121,0.86,0.1891835
71.90009,-0.1567769,0.86,0.1495761
73.3801,-0.1773371,0.86,0.2093981
74.7601,-0.1865823,0.86,0.1468454
75.86008,-0.2088649,0.86,0.2043979
77.5401,-0.1788942,0.86,0.1393467
78.84009,-0.211807,0.86,0.1740603
79.78378,-0.1703699,0.86,0.2090447
81.84009,-0.2247129,0.86,0.2070962
83.34009,-0.1671065,0.86,0.1593553
84.6601,-0.1676329,0.86,0.1981678
86.3801,-0.1556384,0.86,0.1357844
87.4801,-0.1739504,0.86,0.18039
88.84009,-0.2133091,0.86,0.1472549
110.6401,-0.161989,0.86,0.1876178
111.8201,-0.2140495,0.86,0.1435702
112.8201,-0.1894267,0.86,0.176852
114.7801,-0.1515844,0.86,0.1692138
133.1201,-0.2126906,0.86,0.2044212
134.9001,-0.2167371,0.86,0.1689183
136.0201,-0.2138869,0.86,0.2087408
137.0401,-0.1726238,0.86,0.1819155
138.1801,-0.2017224,0.86,0.2091357
139.4201,-0.2160023,0.86,0.1379365
140.5801,-0.1829922,0.86,0.1516872
141.5801,-0.1641621,0.86,0.1900653
142.6401,-0.2062789,0.86,0.1473091
143.4801,-0.1678442,0.86,0.157657
144.6201,-0.1962629,0.86,0.1812052
166.8801,-0.1593494,0.86,0.189961
168.7201,-0.20841,0.86,0.1569337
169.6401,-0.2230413,0.86,0.1969889
170.9401,-0.1958752,0.86,0.1369212
171.7401,-0.2074472,0.86,0.1919859
175.6401,-0.1618676,0.86,0.1722779
177.1401,-0.2222203,0.86,0.1888245
178.2801,-0.1800192,0.86,0.169497
182.1201,-0.2169984,0.86,0.1418056
186.1201,-0.2153347,0.86,0.1886932
188.1201,-0.1846979,0.86,0.1386232
189.2001,-0.1629603,0.86,0.208023
190.3001,-0.1560745,0.86,0.1640367
191.1001,-0.2100939,0.86,0.1880602
204.4801,-0.1820798,0.86,0.1397628
207.1801,-0.1603819,0.86,0.1802273
