Time, X, Y, Z
0.1505432,-0.1103918,0.9836501,-0.1053772
0.1600952,-0.1102048,0.9809113,-0.1062488
0.1615601,-0.1101426,0.9801606,-0.1064583
0.172821,-0.1093878,0.9769669,-0.1078952
0.1800842,-0.108501,0.9751552,-0.1087601
0.1841125,-0.1076683,0.974,-0.109067
0.1950684,-0.1062025,0.9718382,-0.1097238
0.2001038,-0.1054525,0.9707431,-0.1100011
0.2157288,-0.1032149,0.9670068,-0.1100406
0.2200928,-0.1026639,0.9659929,-0.1100773
0.2201843,-0.10267,0.9660039,-0.1100769
0.2281189,-0.1016914,0.9646276,-0.1100993
0.2387695,-0.1002634,0.9623536,-0.1104389
0.2400818,-0.1000988,0.9620516,-0.1105096
0.2497559,-0.0989527,0.9595484,-0.1110359
0.2601013,-0.09808586,0.9570423,-0.1117095
0.2609863,-0.0980211,0.9568126,-0.1117807
0.2723999,-0.09763094,0.9543878,-0.1125538
0.2800903,-0.09735247,0.9526028,-0.1131552
0.2832336,-0.09722927,0.9516852,-0.11345
0.294342,-0.0971369,0.9496952,-0.1142285
0.3000793,-0.09714453,0.948602,-0.1146198
0.3054504,-0.09722642,0.947513,-0.1148976
0.3165894,-0.0972766,0.9461185,-0.1154009
0.3200989,-0.09729722,0.9457248,-0.1155287
0.3277283,-0.09731153,0.9448205,-0.115788
0.3388367,-0.09743454,0.9440153,-0.1159255
0.3400879,-0.09745669,0.9439203,-0.1159345
0.3499756,-0.09776146,0.9432628,-0.1161189
0.3600769,-0.09815232,0.9431878,-0.1162149
0.3704224,-0.09855193,0.9432893,-0.1163321
0.3752136,-0.09872569,0.9434908,-0.1162232
0.3800964,-0.0988891,0.9436628,-0.116145
0.3830872,-0.09900784,0.9438074,-0.1160683
0.3942871,-0.09936947,0.9439705,-0.116
0.4000854,-0.09960462,0.9439761,-0.115992
0.4055481,-0.0999092,0.9440736,-0.1159203
0.4165344,-0.1002675,0.944194,-0.1158702
0.4200745,-0.1005809,0.9441675,-0.1155904
0.4275208,-0.1010838,0.9441976,-0.1152065
0.4387512,-0.1016663,0.9442022,-0.1146369
0.440094,-0.101853,0.9441961,-0.114648
0.4497375,-0.1027447,0.9442607,-0.1142304
0.460083,-0.1035915,0.9444561,-0.113793
0.4609375,-0.1035282,0.9445624,-0.1137782
0.4719849,-0.1042515,0.944957,-0.1133737
0.4801025,-0.1044091,0.9452975,-0.1132539
0.4830933,-0.1045342,0.9454931,-0.113172
0.4942017,-0.1047459,0.9458994,-0.1130065
0.5000916,-0.1048477,0.9460778,-0.1129769
0.5054626,-0.1049534,0.9462038,-0.1129951
0.5200806,-0.1051399,0.9464023,-0.1131467
0.5256958,-0.105181,0.9464457,-0.1132368
0.5304565,-0.1050799,0.9465011,-0.1134384
0.5386047,-0.1050197,0.9465815,-0.1137534
0.5401001,-0.1050816,0.9463295,-0.1137851
0.5496826,-0.1050973,0.9459181,-0.1139523
0.5600891,-0.1050004,0.9455521,-0.1140051
0.56073,-0.1049934,0.9455258,-0.1140089
0.5718689,-0.104378,0.944989,-0.1145866
0.5800781,-0.1036531,0.9441496,-0.1143441
0.5830078,-0.1032686,0.94366,-0.11457
0.5942383,-0.1023288,0.9424879,-0.1149652
0.6000977,-0.1013754,0.9418308,-0.1151638
0.6053772,-0.1005483,0.9411252,-0.1153724
0.616394,-0.0990451,0.9396461,-0.1155779
0.6200867,-0.09896432,0.9391141,-0.116054
0.6275635,-0.09815281,0.9379545,-0.1166588
0.6386108,-0.0974401,0.9358166,-0.1165227
0.6400757,-0.09745109,0.9352138,-0.1165353
0.6497498,-0.09666368,0.9324983,-0.116721
0.6600952,-0.09563935,0.9303301,-0.1166115
0.6609192,-0.09556615,0.9300851,-0.1165775
0.6800842,-0.09379384,0.9253603,-0.1164416
0.6808777,-0.09371264,0.9251475,-0.1164302
0.6858826,-0.09362272,0.9240479,-0.1163949
0.6940918,-0.09317206,0.9217907,-0.1163199
0.7001038,-0.09300572,0.9205086,-0.1161734
0.7052002,-0.09275254,0.9190638,-0.1160476
0.7164001,-0.09236579,0.9167502,-0.1158016
0.7200928,-0.09209212,0.9161128,-0.1156648
0.7275696,-0.09155947,0.9142994,-0.1154098
0.7384644,-0.09097965,0.9128274,-0.1150116
0.7400818,-0.09067491,0.9129006,-0.1151355
0.7495117,-0.0898423,0.911978,-0.1149935
0.7601013,-0.08912145,0.9111737,-0.1148451
0.7606201,-0.089164,0.9111112,-0.1147843
0.7718201,-0.08870491,0.9103884,-0.1144834
0.7800903,-0.08863856,0.9097245,-0.11413
0.7829895,-0.08855819,0.909402,-0.1139922
0.7941284,-0.08819141,0.9088179,-0.1138442
0.8000793,-0.08814567,0.9082065,-0.1136215
0.8053894,-0.08800987,0.9076964,-0.1134501
0.8164063,-0.08780222,0.9069129,-0.1132565
0.8200989,-0.08781186,0.9066424,-0.1130425
0.8363342,-0.08758511,0.9057505,-0.1124835
0.8400879,-0.0873407,0.9058281,-0.1123371
0.8409729,-0.08728032,0.9058296,-0.1122721
0.8493958,-0.08704025,0.905835,-0.1120138
0.8600769,-0.08677964,0.905701,-0.1115848
0.8607178,-0.0867254,0.9056232,-0.1114305
0.8716736,-0.0865633,0.9054716,-0.1109706
0.8800964,-0.08628201,0.9053308,-0.1106459
0.8829041,-0.08594001,0.90543,-0.1104513
0.894165,-0.08544435,0.9055853,-0.1101022
0.9000854,-0.0852412,0.9064624,-0.1099481
0.905365,-0.08520447,0.9070353,-0.1099304
0.9163208,-0.08531152,0.9076236,-0.1099578
0.9200745,-0.08543797,0.9074799,-0.109993
0.9275513,-0.08561551,0.9075498,-0.1099232
0.9387207,-0.08574606,0.9075932,-0.1097983
0.940094,-0.08558207,0.9075587,-0.1097346
0.9497681,-0.08519851,0.9074122,-0.1093888
0.960083,-0.08484861,0.9071754,-0.1090822
0.9607544,-0.0848642,0.9071643,-0.1090661
0.9720764,-0.08459416,0.9069809,-0.1087942
0.9801025,-0.08443956,0.9067124,-0.1086448
0.9919434,-0.08416022,0.906471,-0.1084853
0.996582,-0.08414188,0.906424,-0.1084656
1.000092,-0.08410679,0.9063666,-0.1084273
1.00531,-0.08404823,0.9062634,-0.1083573
1.016724,-0.08407149,0.9061693,-0.1081459
1.020081,-0.08405524,0.9061454,-0.1080901
1.027557,-0.08402078,0.9060437,-0.1079833
1.038788,-0.08399191,0.9060584,-0.1078689
1.0401,-0.0840947,0.9060373,-0.1078845
1.049805,-0.08434235,0.9059263,-0.107864
1.060089,-0.08475221,0.9057263,-0.1078972
1.060974,-0.08477799,0.9057125,-0.1079006
1.072357,-0.08550107,0.9056064,-0.1079226
1.080078,-0.08598409,0.9056875,-0.1078745
1.083466,-0.08629252,0.9057052,-0.1078565
1.094543,-0.0867783,0.9061669,-0.1076861
1.100098,-0.08709472,0.9063762,-0.1073593
1.105682,-0.08750434,0.9066482,-0.1070569
1.116699,-0.08853893,0.9074527,-0.1065737
1.120087,-0.08905417,0.9077488,-0.1064332
1.12793,-0.0903368,0.9085449,-0.1060198
1.140076,-0.09141827,0.9097715,-0.1055192
1.147919,-0.09204564,0.9104537,-0.1053135
1.153442,-0.09256858,0.9109583,-0.1049778
1.160095,-0.09333389,0.9116962,-0.1045529
1.161072,-0.09363082,0.9119786,-0.1043855
1.171661,-0.09507161,0.9131704,-0.1039831
1.180084,-0.09586602,0.9151008,-0.1033297
1.182678,-0.0963662,0.9160891,-0.1029887
1.193878,-0.09789047,0.9177846,-0.1024242
1.200104,-0.09934033,0.9186345,-0.1019247
1.205261,-0.1007435,0.9196649,-0.1014049
1.216095,-0.1024059,0.921957,-0.1004895
1.220093,-0.1033364,0.9227397,-0.09958597
1.228912,-0.1063441,0.9251782,-0.09750909
1.238281,-0.1081113,0.9264779,-0.0964414
1.240082,-0.108504,0.926954,-0.09574819
1.24942,-0.1113581,0.9296669,-0.0925881
1.260101,-0.1144867,0.9318299,-0.09137446
1.260529,-0.1146243,0.9319308,-0.09129819
