Time, X, Y, Z
11.5835,-0.137189,0.9321792,0.0808211
13.64349,-0.1849423,0.9265062,0.1623156
14.76349,-0.1067091,0.9190242,0.06431004
16.0835,-0.07681876,0.9000243,0.04367693
18.4635,-0.206373,0.8574311,0.1896552
20.68353,-0.05798432,0.9122045,0.03128399
23.38354,-0.05797516,0.8855729,-0.01214823
26.12354,-0.2004197,0.8988151,0.2011162
28.20349,-0.2226539,0.8981159,0.1682936
29.38434,-0.2014786,0.9079297,0.2014131
31.60352,-0.1846601,0.8978755,0.160303
32.94354,-0.145757,0.9091491,0.1077257
34.94354,-0.1488979,0.9133288,0.1431553
42.9035,-0.1246379,0.9213821,0.06421777
45.56354,-0.2203894,0.8848813,0.1302117
47.32349,-0.1942282,0.8817869,0.1603074
48.22351,-0.0758527,0.896412,0.0478958
64.4035,-0.1724161,0.9059392,0.1671303
66.16351,-0.1947137,0.9355868,0.1856567
67.76349,-0.2140183,0.8936266,0.1923644
69.18353,-0.2203441,0.9198827,0.1623366
70.72351,-0.2281801,0.8924052,0.1254535
72.60352,-0.1764639,0.8940509,0.1947102
73.9635,-0.2136965,0.9394388,0.179728
76.9635,-0.1956488,0.8908665,0.2078129
78.18353,-0.1719574,0.9262852,0.1405031
79.66351,-0.1753013,0.8814739,0.1816182
81.12354,-0.2016647,0.8964,0.1416088
82.07007,-0.1813911,0.9211059,0.1528503
84.76349,-0.2011807,0.9153543,0.1479693
86.0835,-0.1680293,0.9110646,0.1709242
87.50354,-0.2348778,0.8900664,0.1881701
88.84351,-0.1596998,0.8878798,0.1669926
90.12354,-0.2346846,0.8719031,0.1571431
91.18353,-0.1199795,0.9347508,0.09304827
93.94354,-0.2142368,0.8644531,0.2156615
95.12354,-0.1899785,0.8913567,0.1501844
96.4035,-0.2269944,0.8958012,0.1837005
97.70349,-0.1845401,0.8806707,0.1602763
98.92352,-0.1775395,0.8921796,0.2013939
100.1435,-0.2253938,0.8889863,0.140525
101.2435,-0.1511461,0.896073,0.1680911
102.3235,-0.2261764,0.9036767,0.1706909
103.5235,-0.173632,0.8960486,0.1963464
104.4562,-0.183773,0.9446011,0.05326562
106.2235,-0.1531399,0.8950415,0.1987572
107.3235,-0.1963074,0.9254814,0.1743481
108.4635,-0.1477319,0.8581213,0.1687094
129.7435,-0.03701717,0.908269,0.002622553
131.5035,-0.1927864,0.8931735,0.1651398
132.8235,-0.2056878,0.9036719,0.153828
134.0435,-0.1586255,0.9294366,0.1462176
135.3835,-0.2361751,0.8840092,0.1769432
136.4835,-0.1716617,0.927344,0.1628288
137.8435,-0.2338246,0.9014081,0.1868063
139.0035,-0.1664175,0.9016548,0.1392742
140.1635,-0.1457691,0.9130042,0.1670022
141.2129,-0.2193635,0.914222,0.1141779
143.0435,-0.1462822,0.9354062,0.1739374
144.4235,-0.2080908,0.9008506,0.1708033
148.1235,-0.188647,0.8927267,0.185042
149.6635,-0.1699612,0.9295315,0.1437771
151.0236,-0.1738145,0.9015368,0.17014
152.2836,-0.1414314,0.903285,0.04571926
