Time, X, Y, Z
0.003540039,-0.06173582,0.950442,-0.1004292
0.005371094,-0.06171098,0.9504541,-0.1004842
0.01654053,-0.06184325,0.9505038,-0.1004435
0.02349854,-0.0618702,0.9503653,-0.1004561
0.02758789,-0.06188247,0.95031,-0.1004716
0.03863525,-0.06203687,0.9501331,-0.1006541
0.04351807,-0.06216653,0.9499545,-0.1005277
0.04992676,-0.06225662,0.9497325,-0.100489
0.0635376,-0.06252013,0.9494262,-0.1005574
0.07037354,-0.06266402,0.9493594,-0.1005109
0.07501221,-0.06267529,0.9493153,-0.1004506
0.08337402,-0.0627221,0.9492154,-0.1003316
0.08349609,-0.06265461,0.9492515,-0.1003656
0.09411621,-0.06256213,0.9491854,-0.1002002
0.1035156,-0.0626059,0.9493132,-0.1001119
0.1052246,-0.06260528,0.9493313,-0.10009
0.1165161,-0.06252815,0.9491879,-0.09995598
0.1235352,-0.06251032,0.9491826,-0.09985104
0.1276245,-0.06249924,0.9491518,-0.09982271
0.1389771,-0.0624052,0.9492441,-0.09975162
0.1434937,-0.06242654,0.9493592,-0.09968802
0.1505737,-0.06241328,0.9494072,-0.09966871
0.161499,-0.06221739,0.9495965,-0.09955502
0.1635132,-0.06227429,0.9494674,-0.09965974
0.1728516,-0.06228386,0.949392,-0.09981188
0.1835327,-0.06236729,0.9494405,-0.0999408
0.18396,-0.06231347,0.9494783,-0.09996498
0.1950073,-0.0622355,0.9495856,-0.1001419
0.2034912,-0.06214555,0.9497361,-0.1002273
0.2061157,-0.0621294,0.9498172,-0.1002379
0.2235107,-0.06215995,0.9502379,-0.09998207
0.2264404,-0.06214634,0.9502907,-0.09995106
0.2307739,-0.06214186,0.9502208,-0.09989715
0.2391968,-0.06213646,0.9502457,-0.09978662
0.2435303,-0.06221901,0.9501251,-0.09962295
0.2504272,-0.06221703,0.9500409,-0.09951409
0.2615356,-0.06220625,0.9499779,-0.09937619
0.2634888,-0.06216638,0.9499365,-0.09933355
0.2728882,-0.06224257,0.9495201,-0.09945114
0.2835083,-0.06227578,0.9491024,-0.09955665
0.2838745,-0.06226457,0.9491023,-0.09956945
0.2949219,-0.06233163,0.9486434,-0.09965502
0.3035278,-0.06225412,0.9483435,-0.09964123
0.3061523,-0.06222662,0.9481504,-0.09969256
0.3172607,-0.06215505,0.9475472,-0.09988773
0.3234863,-0.0620342,0.9472392,-0.09999265
0.328186,-0.06195735,0.9468409,-0.1001353
0.3394165,-0.06175091,0.9461931,-0.1008255
0.3435059,-0.06167063,0.9460029,-0.1009066
0.3505249,-0.06150194,0.9453467,-0.1013281
0.3617554,-0.06114325,0.9442852,-0.1015847
0.3635254,-0.06104678,0.9441432,-0.1013721
0.3817139,-0.06025451,0.9420447,-0.1023556
0.3835449,-0.05975168,0.942156,-0.1025669
0.3862305,-0.05941097,0.9419543,-0.1028106
0.3947754,-0.05852449,0.9414309,-0.1034336
0.4035034,-0.05804908,0.9403163,-0.1043301
