Time, X, Y, Z
0.003540039,0.1546979,0.973264,0.02729484
0.005371094,0.1546638,0.9732679,0.02730271
0.01654053,0.1545633,0.9731239,0.02757679
0.02349854,0.1545829,0.9731174,0.02750951
0.02758789,0.1546105,0.9730681,0.02750023
0.03863525,0.1543976,0.973351,0.02770339
0.04351807,0.1544985,0.9733478,0.02765593
0.04992676,0.1545814,0.9733782,0.02764904
0.0635376,0.1546398,0.9733783,0.02781481
0.07037354,0.1546263,0.9734451,0.02793427
0.07501221,0.1546407,0.9734337,0.02794352
0.08337402,0.1547284,0.9734772,0.02801698
0.08349609,0.1547101,0.9734403,0.02806605
0.09411621,0.1547899,0.9734215,0.02835763
0.1035156,0.1547175,0.9736395,0.02859955
0.1052246,0.1547137,0.9736769,0.02864556
0.1165161,0.1546155,0.9737804,0.02912085
0.1235352,0.1543316,0.9739588,0.0293446
0.1276245,0.1541829,0.9740372,0.02948999
0.1389771,0.1539571,0.9742627,0.0295338
0.1434937,0.1539447,0.9740964,0.02932078
0.1505737,0.1538258,0.9739692,0.02914599
0.161499,0.1538031,0.9737784,0.02895124
0.1635132,0.1538794,0.9737183,0.02896747
0.1728516,0.1539354,0.9734682,0.02888316
0.1835327,0.1539275,0.9732958,0.02889794
0.18396,0.1539284,0.9732668,0.02897045
0.1950073,0.153974,0.9731023,0.02908771
0.2034912,0.153979,0.973254,0.02924126
0.2061157,0.1539682,0.9733155,0.0293301
0.2235107,0.1535289,0.9737654,0.02979861
0.2264404,0.1534791,0.9738041,0.0298453
0.2307739,0.1534449,0.9737577,0.0297762
0.2391968,0.1532932,0.9738141,0.02980313
0.2435303,0.1532888,0.9737927,0.02974388
0.2504272,0.1532634,0.9738071,0.02965316
0.2615356,0.153243,0.9738411,0.02953652
0.2634888,0.1532467,0.973789,0.02957837
0.2728882,0.1530184,0.9734251,0.02949768
0.2835083,0.1528421,0.9731035,0.02947184
0.2838745,0.1528906,0.9731494,0.02959158
0.2949219,0.1527435,0.9728318,0.02983433
0.3035278,0.1526555,0.9725916,0.02988482
0.3061523,0.1526268,0.9724168,0.02989179
0.3172607,0.152901,0.9719133,0.0296381
0.3234863,0.1529807,0.9715847,0.02984677
0.328186,0.1530577,0.9711571,0.02986746
0.3394165,0.1531412,0.9704058,0.0295283
0.3435059,0.1529042,0.9706362,0.02984002
0.3505249,0.1527524,0.970257,0.02992532
0.3617554,0.1524483,0.969744,0.02984203
0.3635254,0.1524544,0.969556,0.0298153
0.3817139,0.1521403,0.9679013,0.03022665
0.3835449,0.1517839,0.9683109,0.03076465
0.3862305,0.1515738,0.9682842,0.03108871
0.3947754,0.1510262,0.9682017,0.03194991
0.4035034,0.1513909,0.9666303,0.03153953
0.4061279,0.1514076,0.9662911,0.03164132
0.4171143,0.1506087,0.9676216,0.03305289
0.4235229,0.1503908,0.9669132,0.03297137
0.4281006,0.1502154,0.9661722,0.03299174
0.4394531,0.1496793,0.9663681,0.03381346
0.4435425,0.1493995,0.9661372,0.03419331
0.4509277,0.1489114,0.9660137,0.03500792
0.4620361,0.1489458,0.9649805,0.03551702
0.463501,0.1486216,0.9653901,0.03585456
0.4731445,0.1482204,0.96556,0.03673351
0.4835205,0.1479666,0.9656237,0.03726375
0.4840698,0.1479561,0.9656308,0.03728138
0.4952393,0.1473724,0.9660177,0.03788099
0.50354,0.1470383,0.9664024,0.03829834
0.5062866,0.1468731,0.9666604,0.03853226
0.5175781,0.146674,0.9670724,0.03876132
0.5234985,0.1466752,0.96654,0.03858313
0.5379028,0.146466,0.9671199,0.03918472
0.5425415,0.1462488,0.9673214,0.03933483
0.5435181,0.1462167,0.9674025,0.03938666
0.5506592,0.1459519,0.9680833,0.039811
0.5614624,0.1454974,0.9685859,0.03995498
0.5635376,0.1454678,0.9686377,0.0399099
0.5725708,0.1451096,0.96939,0.04001833
0.5834961,0.1449102,0.9696994,0.03986487
0.5839844,0.1448934,0.9697268,0.03985983
0.5948486,0.1448131,0.9700472,0.04001381
0.6035156,0.1446597,0.9701805,0.04011729
