Time, X, Y, Z
211.5201,-0.01046729,0.8956753,-0.0173225
11.31885,-0.210998,0.8817782,0.1971425
13.25885,-0.1946552,0.8826767,0.1609857
16.0788,-0.1885492,0.8848329,0.1752934
17.5788,-0.163501,0.908748,0.09657627
20.69879,-0.1907761,0.8956918,0.1162607
26.25885,-0.07162906,0.9029385,0.0163973
28.13879,-0.1111139,0.9103152,0.09521163
30.31885,-0.1890284,0.8939148,0.1154771
31.79675,-0.1542171,0.895667,0.1119058
35.8988,-0.08548369,0.8928068,0.063371
38.0188,-0.1979605,0.9089292,0.1123519
46.41882,-0.210905,0.8842874,0.1525787
48.19879,-0.197249,0.8880042,0.107144
54.55884,-0.2125127,0.8814829,0.118845
61.62891,-0.1512626,0.9109602,0.1195678
67.15881,-0.1829036,0.8894657,0.1534983
97.0188,-0.1683365,0.8833345,0.0996602
98.35443,-0.1699328,0.9101109,0.1503687
102.2188,-0.1899869,0.8945351,0.203856
104.2988,-0.17503,0.8805574,0.1767108
106.6188,-0.2080664,0.9271233,0.1513122
108.7588,-0.1622067,0.9325235,0.1690745
110.4163,-0.1963082,0.9161872,0.09390897
113.4588,-0.1856281,0.9066327,0.155076
116.4788,-0.1641871,0.9027637,0.216087
120.6188,-0.2367891,0.8971601,0.1578941
125.9988,-0.1555976,0.9375194,0.2069958
131.1988,-0.197069,0.9062201,0.1508269
135.6988,-0.1805111,0.8964678,0.1815991
137.0928,-0.2243804,0.9289608,0.07764798
140.5988,-0.2243772,0.8822393,0.1962157
142.8388,-0.2003488,0.8990725,0.1660728
145.9388,-0.1755751,0.9058083,0.1954873
150.8988,-0.2231465,0.888057,0.1846187
172.9317,-0.1938375,0.9268996,0.08011311
178.5988,-0.1796272,0.9028686,0.1898638
180.2841,-0.1516096,0.9489201,0.1112452
183.8388,-0.2323341,0.872148,0.1896257
186.1388,-0.2358475,0.902096,0.172205
188.7588,-0.2170393,0.8929911,0.2058796
191.8608,-0.187787,0.9192301,0.08535171
196.7788,-0.2161241,0.8787822,0.1621547
199.3188,-0.2189551,0.8903188,0.1405015
202.0188,-0.1555617,0.9249351,0.1412113
204.4588,-0.1906052,0.9242448,0.162976
206.8388,-0.2038248,0.9285632,0.1932183
208.8588,-0.2046478,0.9263222,0.1570711
212.0388,-0.199133,0.9259003,0.1218483
216.2988,-0.1363074,0.896354,0.2209366
217.9451,-0.1780587,0.9208276,0.06788654
221.0588,-0.1789648,0.8775459,0.1461681
224.8188,-0.197581,0.9081122,0.1270362
227.5588,-0.1810209,0.9072027,0.1401707
252.4388,-0.1333473,0.8895372,-0.006661757
256.4588,-0.2041972,0.9139268,0.1659198
265.9988,-0.2292518,0.8675603,0.1380621
277.5788,-0.06911407,0.8922749,0.07376947
298.0788,-0.03223809,0.9170455,0.07656445
301.0388,-0.2046742,0.9138969,0.1127142
303.1188,-0.1549587,0.9474912,0.1414779
304.5388,-0.1173574,0.9025958,0.03785547
305.9988,-0.1095036,0.9139143,0.05461165
309.1988,-0.1583918,0.8949569,0.08132476
312.0188,-0.2096169,0.8823517,0.1470702
315.1588,-0.2138617,0.9075675,0.1146356
317.7188,-0.1722537,0.8924816,0.1440866
320.1388,-0.1834637,0.8923411,0.1282434
322.3388,-0.2565617,0.88726,0.1523662
324.5388,-0.1264244,0.9133444,0.1055056
