Time, X, Y, Z
211.5201,-0.1740211,0.86,0.1359111
11.31885,-0.2096877,0.86,0.1902073
13.25885,-0.1739328,0.86,0.1708236
16.0788,-0.1669654,0.86,0.2093329
17.5788,-0.2185315,0.86,0.2099108
20.69879,-0.1961802,0.86,0.166632
26.25885,-0.1567184,0.86,0.1768685
28.13879,-0.2123625,0.86,0.2055739
30.31885,-0.1633117,0.86,0.1490921
31.79675,-0.2208217,0.86,0.194013
35.8988,-0.2249353,0.86,0.1537787
38.0188,-0.1986734,0.86,0.2071715
46.41882,-0.1526646,0.86,0.1362422
48.19879,-0.2243859,0.86,0.2021897
54.55884,-0.2070333,0.86,0.1484514
61.62891,-0.1731869,0.86,0.207873
67.15881,-0.2062823,0.86,0.1847416
97.0188,-0.1874164,0.86,0.1540856
98.35443,-0.2133149,0.86,0.1849854
102.2188,-0.1815188,0.86,0.2078541
104.2988,-0.1714909,0.86,0.1663056
106.6188,-0.2097263,0.86,0.1595806
108.7588,-0.164787,0.86,0.1768754
110.4163,-0.2183893,0.86,0.1480585
113.4588,-0.1799963,0.86,0.1442057
116.4788,-0.1509276,0.86,0.2079122
120.6188,-0.2243237,0.86,0.1436431
125.9988,-0.1521847,0.86,0.1937545
131.1988,-0.2109869,0.86,0.1585186
135.6988,-0.1617603,0.86,0.1743715
137.0928,-0.2079635,0.86,0.1493278
140.5988,-0.2235202,0.86,0.195328
142.8388,-0.168623,0.86,0.1572494
145.9388,-0.1692771,0.86,0.207465
150.8988,-0.2130571,0.86,0.192798
172.9317,-0.1893074,0.86,0.143319
178.5988,-0.1560211,0.86,0.2049844
180.2841,-0.1522539,0.86,0.1577601
183.8388,-0.217862,0.86,0.209438
186.1388,-0.2185509,0.86,0.1537771
188.7588,-0.1886121,0.86,0.1849968
191.8608,-0.2156995,0.86,0.1551828
196.7788,-0.180543,0.86,0.1482338
199.3188,-0.2230927,0.86,0.160197
202.0188,-0.1512213,0.86,0.1428261
204.4588,-0.1958027,0.86,0.1504976
206.8388,-0.1849332,0.86,0.1950385
208.8588,-0.2133159,0.86,0.1435334
212.0388,-0.1747149,0.86,0.1490399
216.2988,-0.1569151,0.86,0.1940468
217.9451,-0.2019042,0.86,0.1728761
221.0588,-0.1783456,0.86,0.1396868
224.8188,-0.2197459,0.86,0.1383349
227.5588,-0.170868,0.86,0.1484252
252.4388,-0.2243528,0.86,0.1643931
256.4588,-0.1924879,0.86,0.1989764
265.9988,-0.2072365,0.86,0.1357485
277.5788,-0.2121681,0.86,0.198281
298.0788,-0.1531716,0.86,0.1703612
301.0388,-0.21775,0.86,0.1823358
303.1188,-0.1624664,0.86,0.1662325
304.5388,-0.2045867,0.86,0.1489284
305.9988,-0.1748631,0.86,0.2057102
309.1988,-0.1774776,0.86,0.1366424
312.0188,-0.2176698,0.86,0.1981519
315.1588,-0.2073912,0.86,0.1427352
317.7188,-0.1644749,0.86,0.1994757
320.1388,-0.1507619,0.86,0.1502403
322.3388,-0.2218925,0.86,0.1664538
324.5388,-0.1608493,0.86,0.1517473
