Time, X, Y, Z
0.008666992,-0.09291931,1.033996,-0.06290421
0.01879883,-0.09291781,1.034012,-0.06289622
0.01977539,-0.09292147,1.034013,-0.06288901
0.03088379,-0.09299257,1.033914,-0.06287783
0.03881836,-0.09297319,1.033857,-0.06282531
0.04376221,-0.09300482,1.033834,-0.06281288
0.05328369,-0.09304591,1.033824,-0.06278025
0.05883789,-0.0930498,1.033838,-0.06282386
0.06408691,-0.09303144,1.033813,-0.06286646
0.07537842,-0.09290893,1.03383,-0.06294164
0.07879639,-0.09283696,1.03382,-0.06297001
0.0958252,-0.09259842,1.033795,-0.06302296
0.09881592,-0.0925374,1.033829,-0.06306987
0.1008911,-0.09248758,1.033834,-0.06309468
0.1084595,-0.09233903,1.033851,-0.06316768
0.1188354,-0.09225146,1.03396,-0.0631803
0.1192017,-0.09224306,1.033973,-0.06318741
0.130249,-0.09217773,1.033985,-0.06324777
0.1387939,-0.0921155,1.033956,-0.06330679
0.1412964,-0.09208995,1.03396,-0.06332271
0.1524048,-0.09214898,1.03403,-0.06333502
0.1588135,-0.0920856,1.034025,-0.06332397
0.1635742,-0.09205078,1.034025,-0.06332907
0.1746826,-0.09199407,1.034003,-0.06333117
0.178833,-0.09199903,1.034054,-0.06330891
0.1859741,-0.09199359,1.034116,-0.0632726
0.1968384,-0.09195942,1.034078,-0.06324336
0.1987915,-0.09196388,1.034072,-0.06323409
0.2080078,-0.09198517,1.034056,-0.06320296
0.218811,-0.09202496,1.034062,-0.06316973
0.2192993,-0.09202588,1.034062,-0.06316797
0.2301636,-0.09202277,1.034131,-0.06314035
0.2388306,-0.09201685,1.03408,-0.06310961
0.2504883,-0.09195333,1.033991,-0.0631703
0.2556763,-0.09193634,1.033962,-0.06317136
0.2588501,-0.09191992,1.033932,-0.06317668
0.2634277,-0.09189266,1.033886,-0.06318569
0.2746582,-0.09184558,1.033903,-0.06316271
0.2788086,-0.09182259,1.033897,-0.06312871
0.2858276,-0.09178942,1.033892,-0.06306931
0.2966919,-0.09166687,1.033932,-0.06297161
0.2988281,-0.09168428,1.033935,-0.0629603
0.3079834,-0.09171455,1.033991,-0.06286709
0.3188477,-0.09167859,1.034013,-0.06281354
0.3189697,-0.09167863,1.034013,-0.06281355
0.3299561,-0.09166359,1.033993,-0.06286207
0.3388062,-0.09162772,1.034026,-0.06280911
0.3413696,-0.09161748,1.034045,-0.06279093
0.3522339,-0.09160778,1.034119,-0.06277412
0.3588257,-0.09158276,1.034137,-0.0628185
0.3634644,-0.09156524,1.034147,-0.06284744
0.3745728,-0.09150743,1.034041,-0.06285474
0.3788452,-0.09149096,1.033961,-0.06289154
0.3858643,-0.09145738,1.033799,-0.06296624
0.3988037,-0.09144453,1.033711,-0.06312118
0.406189,-0.09144796,1.033664,-0.06318639
0.411377,-0.09143364,1.033629,-0.06324203
0.4188232,-0.09140322,1.033606,-0.06334323
0.4190063,-0.09140601,1.033602,-0.06335805
0.4299316,-0.09143356,1.033553,-0.06338786
0.4388428,-0.09150523,1.033562,-0.06338213
0.4412842,-0.09153138,1.033567,-0.06338152
0.4522095,-0.09163962,1.033644,-0.06327417
0.4588013,-0.09168944,1.033696,-0.06322344
0.463562,-0.09174518,1.033746,-0.06317504
0.4747314,-0.09178387,1.033754,-0.0631434
0.4788208,-0.09181207,1.033737,-0.06311463
0.4857178,-0.09190477,1.033738,-0.06306073
0.4968872,-0.09205935,1.033748,-0.06298026
0.4988403,-0.09206409,1.033762,-0.06299123
0.5080566,-0.09218847,1.033801,-0.06296989
0.5187988,-0.092327,1.033849,-0.06299439
0.519165,-0.09234984,1.033858,-0.06300423
0.5299683,-0.09241606,1.033867,-0.06304167
0.5388184,-0.09253855,1.033889,-0.06311445
