Time, X, Y, Z
0.008666992,0.1322476,0.9024532,-0.07141183
0.01879883,0.1322014,0.9024202,-0.07126173
0.01977539,0.1321951,0.9024203,-0.07124978
0.03088379,0.1321476,0.9024162,-0.07110555
0.03881836,0.132219,0.9023903,-0.07102799
0.04376221,0.132228,0.9023824,-0.07098201
0.05328369,0.1322336,0.9023924,-0.07091706
0.05883789,0.1322873,0.9023644,-0.07092128
0.06408691,0.1323673,0.9023355,-0.0709238
0.07537842,0.132429,0.902395,-0.07099157
0.07879639,0.1324582,0.9023982,-0.07102399
0.0958252,0.1326491,0.9023616,-0.07121596
0.09881592,0.1326241,0.9024019,-0.0712536
0.1008911,0.1326457,0.9024064,-0.07128726
0.1084595,0.132708,0.9024224,-0.07138786
0.1188354,0.132653,0.9025111,-0.07150757
0.1192017,0.1326358,0.9025186,-0.0715235
0.130249,0.1325226,0.9025673,-0.07162309
0.1387939,0.1324157,0.902593,-0.07171983
0.1412964,0.1323722,0.9026148,-0.0717539
0.1524048,0.1321576,0.9026188,-0.07171079
0.1588135,0.1320428,0.9026498,-0.07176427
0.1635742,0.1319322,0.90266,-0.07180443
0.1746826,0.1318218,0.9025972,-0.07178285
0.178833,0.1318312,0.9025434,-0.071794
0.1859741,0.1317773,0.9024833,-0.0717865
0.1968384,0.1317707,0.9023155,-0.07175189
0.1987915,0.1317839,0.9022961,-0.07177103
0.2080078,0.1317608,0.9021556,-0.07179153
0.218811,0.1318094,0.9020196,-0.07173077
0.2192993,0.1318103,0.9020159,-0.07173002
0.2301636,0.1318464,0.9019566,-0.07172351
0.2388306,0.1319037,0.901853,-0.07169843
0.2504883,0.1320635,0.9018273,-0.07171261
0.2556763,0.132113,0.9017988,-0.07170687
0.2588501,0.132157,0.9017785,-0.07171459
0.2634277,0.1322305,0.9017444,-0.07172232
0.2746582,0.1323715,0.901706,-0.07172531
0.2788086,0.1323936,0.9017428,-0.0717026
0.2858276,0.1324562,0.9017745,-0.07166138
0.2966919,0.1326126,0.9018612,-0.07161641
0.2988281,0.1326002,0.9018908,-0.07158488
0.3079834,0.1326114,0.9020465,-0.07143339
0.3188477,0.1326796,0.9022182,-0.07136678
0.3189697,0.1326795,0.9022182,-0.07136682
0.3299561,0.132728,0.9023904,-0.07131039
