Time, X, Y, Z
0,-0.1493756,0.8984365,0.05693971
0,-0.2059629,0.89247,0.125458
0,-0.1542064,0.8942359,0.1323585
0,-0.2087431,0.9186941,0.1887062
0,-0.1197527,0.9095756,0.07235194
0,-0.2248821,0.9283515,0.1704724
0,-0.1714696,0.9063841,0.1459019
0,-0.2218966,0.9078648,0.1861515
0,-0.1724905,0.8951726,0.1510577
0,-0.1882177,0.8949809,0.1908324
0,-0.1616885,0.8947673,0.1754196
0,-0.2215487,0.8882334,0.1931184
0,-0.170518,0.8955068,0.1644896
0,-0.2015202,0.8950967,0.1638584
0,-0.1271868,0.8907132,0.1447919
0,-0.2001642,0.8830365,0.1949238
0,-0.1215613,0.9079299,0.05319095
0,-0.1207879,0.9046662,0.06050979
0,-0.204389,0.8850856,0.1637782
0,-0.1556529,0.9126282,0.1339248
0,-0.1861406,0.8725503,0.1724259
0,-0.2288367,0.8898633,0.1550213
0,-0.1789801,0.8870229,0.1860637
0,-0.2210831,0.8679404,0.2057264
0,-0.2014146,0.8889682,0.1358052
0,0.02185724,0.8861735,0.1753639
0,-0.1551012,0.9069244,0.03177079
0,-0.1060875,0.9167913,0.07155652
0,-0.1736942,0.9191242,0.01953828
0,-0.1470108,0.9082943,0.09078654
0,-0.140156,0.8945667,0.2032658
0,-0.1437742,0.9108766,0.1435464
0,-0.1746626,0.9134238,0.2038351
0,-0.2004099,0.9065291,0.2043613
0,-0.1559254,0.9142443,0.1971316
0,-0.2024069,0.9116583,0.1761851
0,-0.1496432,0.8997573,0.2160623
0,-0.2015204,0.9118977,0.222215
0,-0.1569785,0.9105158,0.1562138
0,-0.2012798,0.9101187,0.2182429
0,-0.159242,0.9104968,0.1656077
12.96799,-0.1514086,0.886161,0.2045763
15.28799,-0.1955409,0.8903968,0.1944919
17.12799,-0.203415,0.91574,0.1801579
19.20801,-0.148587,0.935418,0.1485789
21.948,-0.1443048,0.9308009,0.1312944
26.948,-0.1695174,0.9025245,0.1966035
29.78799,-0.1102049,0.9257063,0.07317296
33.668,-0.214036,0.8916139,0.1671483
37.68799,-0.2185553,0.8913381,0.1868694
43.62799,-0.1756321,0.8909162,0.1564015
49.328,-0.245817,0.8931961,0.1994934
53.48798,-0.1553694,0.8756673,0.1740591
62.84802,-0.191021,0.8884967,0.1538505
65.008,-0.1933532,0.8879014,0.1723467
70.448,-0.172511,0.8919105,0.1657104
93.92798,-0.223192,0.894188,0.169407
96.48798,-0.169216,0.9003451,0.1751587
99.448,-0.2076082,0.8990847,0.1692535
102.268,-0.1555411,0.8916597,0.161947
104.248,-0.1872997,0.9033858,0.2024401
108.548,-0.1737911,0.8948717,0.1720811
110.928,-0.1996381,0.9069949,0.1579042
112.888,-0.1741895,0.9004269,0.1580826
114.808,-0.2036853,0.887839,0.2090993
116.628,-0.1606154,0.8942298,0.1850463
118.868,-0.1906989,0.8875244,0.1831761
122.548,-0.1388325,0.8926741,0.1816776
125.108,-0.1896607,0.8839679,0.1932469
128.908,-0.1922755,0.8818313,0.1591388
131.768,-0.1441424,0.8903984,0.190361
155.028,-0.1866475,0.8859171,0.1564391
157.728,-0.1831206,0.9072955,0.2378322
160.988,-0.2075263,0.8930383,0.1670792
163.748,-0.2252773,0.8913348,0.1878899
165.848,-0.1698059,0.8974651,0.1923945
168.008,-0.2067188,0.885599,0.1917322
170.308,-0.172405,0.892219,0.1720318
172.708,-0.193191,0.8924156,0.1538708
179.648,-0.1696963,0.8870215,0.1926567
181.4177,-0.1872324,0.8569554,0.2093085
185.988,-0.1797579,0.8669337,0.1563412
188.468,-0.1822446,0.8882278,0.1898934
190.568,-0.2266563,0.8970414,0.1682179
192.568,-0.2135443,0.8918625,0.1875497
196.588,-0.1482843,0.8957106,0.1455879
203.508,-0.2363122,0.8872365,0.2043456
227.228,-0.1482342,0.9108558,0.1834559
230.668,-0.2048955,0.8946096,0.1406991
233.188,-0.1814978,0.9115152,0.216887
238.108,-0.191894,0.8873895,0.1538263
240.528,-0.1729511,0.8856395,0.1969315
243.848,-0.1796707,0.8853647,0.164592
248.728,-0.2293747,0.8942118,0.1687925
251.148,-0.2119294,0.8944789,0.1814115
254.908,-0.1534801,0.895387,0.1705065
257.528,-0.2095045,0.8914577,0.1758836
261.088,-0.1406124,0.9089698,0.1890932
263.508,-0.1763401,0.8971334,0.152694
265.488,-0.1752063,0.9009174,0.2003162
268.108,-0.1647829,0.889136,0.1867634
273.688,-0.1979513,0.8844494,0.1512565
