Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.2049083,0.86,0.1424775
0,-0.1548936,0.86,0.1371477
0,-0.2007807,0.86,0.1750978
0,-0.1713866,0.86,0.2046288
0,-0.2204422,0.86,0.1477052
0,-0.167841,0.86,0.1583677
0,-0.2104832,0.86,0.1730663
0,-0.1693414,0.86,0.1541488
0,-0.208422,0.86,0.2059129
0,-0.1706621,0.86,0.1828727
0,-0.2104205,0.86,0.1729029
0,-0.1690745,0.86,0.1776212
0,-0.2119088,0.86,0.1751924
0,-0.1555714,0.86,0.1610455
0,-0.183786,0.86,0.1948615
0,-0.1610206,0.86,0.1436294
0,-0.19134,0.86,0.2012082
0,-0.1878217,0.86,0.1365996
0,-0.1842534,0.86,0.2093357
0,-0.1899289,0.86,0.170226
0,-0.2225357,0.86,0.1470277
0,-0.1711913,0.86,0.1715088
0,-0.2115108,0.86,0.1961129
0,-0.2083483,0.86,0.1350924
0,-0.15,0.86,0.2
0,-0.2107678,0.86,0.1997747
0,-0.1719143,0.86,0.1383554
0,-0.2116049,0.86,0.1744428
0,-0.1553292,0.86,0.156056
0,-0.1609822,0.86,0.1980286
0,-0.1568952,0.86,0.1387383
0,-0.1636255,0.86,0.1827085
0,-0.2020028,0.86,0.1897786
0,-0.1502343,0.86,0.1853614
0,-0.2126008,0.86,0.1761336
0,-0.1623375,0.86,0.2044267
0,-0.2154921,0.86,0.2068961
0,-0.1736737,0.86,0.1577829
0,-0.2095342,0.86,0.2060372
0,-0.1724422,0.86,0.1723593
12.96799,-0.15,0.86,0.2
15.28799,-0.1727247,0.86,0.1947711
17.12799,-0.2126042,0.86,0.2015676
19.20801,-0.1785475,0.86,0.1806897
21.948,-0.1805001,0.86,0.1421397
26.948,-0.1687405,0.86,0.1853015
29.78799,-0.2182819,0.86,0.1934529
33.668,-0.19407,0.86,0.1485708
37.68799,-0.2189748,0.86,0.1923423
43.62799,-0.1662448,0.86,0.1433407
49.328,-0.2189378,0.86,0.1940172
53.48798,-0.1552429,0.86,0.1672499
62.84802,-0.1935924,0.86,0.1457385
65.008,-0.2149564,0.86,0.1842318
70.448,-0.157557,0.86,0.1507953
93.92798,-0.2186639,0.86,0.1501324
96.48798,-0.1852168,0.86,0.1850621
99.448,-0.2136676,0.86,0.1603715
102.268,-0.1633001,0.86,0.1626495
104.248,-0.2002951,0.86,0.176053
108.548,-0.1673557,0.86,0.1600641
110.928,-0.2213282,0.86,0.1515078
112.888,-0.1695218,0.86,0.1476956
114.808,-0.2045902,0.86,0.1836012
116.628,-0.1655272,0.86,0.1744322
118.868,-0.2086629,0.86,0.1865217
122.548,-0.1547961,0.86,0.1681366
125.108,-0.2139054,0.86,0.1960442
128.908,-0.175944,0.86,0.1576661
131.768,-0.1574884,0.86,0.1960895
155.028,-0.1709218,0.86,0.1392888
157.728,-0.1728279,0.86,0.2056405
160.988,-0.1893151,0.86,0.1427091
163.748,-0.222856,0.86,0.1789745
165.848,-0.1632166,0.86,0.169406
168.008,-0.2139936,0.86,0.1897148
170.308,-0.1668572,0.86,0.1738122
172.708,-0.1994299,0.86,0.1462842
179.648,-0.1532804,0.86,0.1529416
181.4177,-0.2003918,0.86,0.2090861
185.988,-0.1760379,0.86,0.1406049
188.468,-0.1735173,0.86,0.1807229
190.568,-0.2166108,0.86,0.1441771
192.568,-0.2026611,0.86,0.1829363
196.588,-0.1511192,0.86,0.136588
203.508,-0.2156111,0.86,0.157466
227.228,-0.1533333,0.86,0.1550159
230.668,-0.1955351,0.86,0.1409418
233.188,-0.1914799,0.86,0.1951179
238.108,-0.1798456,0.86,0.1387673
240.528,-0.1713889,0.86,0.205004
243.848,-0.17108,0.86,0.1464683
248.728,-0.2222269,0.86,0.1457865
251.148,-0.2030238,0.86,0.1863195
254.908,-0.1662495,0.86,0.1632079
257.528,-0.211225,0.86,0.1561698
261.088,-0.157017,0.86,0.1942128
263.508,-0.1692774,0.86,0.153099
265.488,-0.1680345,0.86,0.2059527
268.108,-0.1541658,0.86,0.1659589
273.688,-0.2086885,0.86,0.1505115
