Time, X, Y, Z
0.005828857,-0.1528637,1.046483,-0.005086288
0.007995605,-0.1528858,1.046435,-0.005124256
0.01712036,-0.1529831,1.046277,-0.005289406
0.02792358,-0.152941,1.046144,-0.005390495
0.02798462,-0.1529444,1.04613,-0.005399436
0.03915405,-0.1530943,1.04592,-0.005583614
0.04800415,-0.1530995,1.045827,-0.005496338
0.05023193,-0.1531074,1.045797,-0.005491659
0.06140137,-0.1532867,1.045548,-0.005418971
0.06799316,-0.1532505,1.045522,-0.005501464
0.07247925,-0.1532516,1.045485,-0.005540773
0.08364868,-0.1531181,1.045342,-0.005680129
0.08798218,-0.1530369,1.045338,-0.005753815
0.09466553,-0.1529149,1.045313,-0.005870938
0.1056824,-0.1529779,1.045229,-0.005885318
0.1080017,-0.1530494,1.045181,-0.005840659
0.1170654,-0.1531889,1.044963,-0.005691767
0.1279907,-0.1533252,1.044919,-0.005637482
0.1281128,-0.1533272,1.044915,-0.005635604
0.1390991,-0.1533046,1.044939,-0.005588904
0.1480103,-0.1531878,1.045047,-0.005578101
0.1503296,-0.153148,1.045078,-0.005568266
0.1612854,-0.1532619,1.045084,-0.005261719
0.1679993,-0.1532691,1.045063,-0.005194783
0.1724243,-0.1532834,1.045048,-0.0051184
0.1834717,-0.1531334,1.04493,-0.005197167
0.1879883,-0.1530363,1.044894,-0.005311355
0.1945496,-0.1528747,1.044838,-0.005480126
0.20578,-0.152653,1.044712,-0.005610257
0.2080078,-0.1526379,1.044673,-0.005629554
0.2168274,-0.1525169,1.044529,-0.005724326
0.2279358,-0.1524277,1.04435,-0.005774498
0.2279968,-0.1524375,1.044361,-0.005768538
0.2390442,-0.152342,1.044236,-0.005837724
0.2479858,-0.1524045,1.044138,-0.005573168
0.2502747,-0.152424,1.043987,-0.005539224
0.2610779,-0.1524272,1.043886,-0.005507141
0.2680054,-0.1524384,1.043861,-0.005334854
0.2723083,-0.1524471,1.043842,-0.00520584
0.2834778,-0.1523996,1.043955,-0.004989132
0.2879944,-0.1523461,1.04399,-0.004952163
0.2945557,-0.1522668,1.044057,-0.004852369
0.3057251,-0.1522361,1.044132,-0.004697174
0.3079834,-0.1522132,1.044154,-0.004700184
0.3168945,-0.1521381,1.044171,-0.004730135
0.3277588,-0.1522107,1.044095,-0.004739672
0.3280029,-0.1522074,1.044099,-0.00473471
0.3389893,-0.1522378,1.044029,-0.004871026
0.3479919,-0.1521568,1.044109,-0.004877657
0.3501587,-0.1521425,1.044123,-0.004884169
0.3612061,-0.1522198,1.044105,-0.004905105
0.3680115,-0.1521707,1.044207,-0.004963636
0.372406,-0.1521338,1.044279,-0.004998475
0.3834839,-0.1520413,1.04446,-0.005005121
0.3880005,-0.1519744,1.044551,-0.00501661
0.3945313,-0.1518821,1.044711,-0.005031332
0.4056702,-0.1517745,1.044869,-0.004998744
0.4079895,-0.1517683,1.04488,-0.004996464
0.416748,-0.1517408,1.044985,-0.004980698
0.427887,-0.1517577,1.044944,-0.00496307
0.428009,-0.1517567,1.044942,-0.004966959
0.4389954,-0.1517989,1.044849,-0.005053401
0.447998,-0.1519244,1.044689,-0.005146012
0.4501953,-0.1519515,1.044649,-0.005168676
0.4614868,-0.1519627,1.04447,-0.005121291
0.4679871,-0.15204,1.0444,-0.005177066
0.4724121,-0.1521087,1.044333,-0.005224749
0.4833374,-0.1522404,1.044142,-0.00529924
