Time, X, Y, Z
0.005828857,0.1005883,1.029969,0.02024789
0.007995605,0.1005963,1.029969,0.02027875
0.01712036,0.1005656,1.029929,0.0204525
0.02792358,0.1006779,1.030089,0.02055666
0.02798462,0.1006612,1.030095,0.02056047
0.03915405,0.1005225,1.030252,0.02075008
0.04800415,0.1004794,1.030483,0.02067037
0.05023193,0.100465,1.030531,0.02066363
0.06140137,0.1004783,1.03069,0.02056211
0.06799316,0.1005022,1.030774,0.02052592
0.07247925,0.1005116,1.030847,0.02049237
0.08364868,0.1005225,1.031009,0.02052678
0.08798218,0.1005876,1.031066,0.02054183
0.09466553,0.100669,1.03118,0.02056155
0.1056824,0.1007775,1.031288,0.02062967
0.1080017,0.1008112,1.031277,0.02066422
0.1170654,0.1009815,1.03125,0.02081236
0.1279907,0.1011381,1.031104,0.02094711
0.1281128,0.1011461,1.031101,0.02095145
0.1390991,0.1013157,1.030992,0.02102646
0.1480103,0.101524,1.030891,0.02095793
0.1503296,0.1016014,1.030855,0.02094357
0.1612854,0.1018268,1.030849,0.02098249
0.1679993,0.1019098,1.030751,0.02102539
0.1724243,0.101984,1.030687,0.02106127
0.1834717,0.1020517,1.030712,0.02111538
0.1879883,0.1021231,1.030764,0.0211062
0.1945496,0.102248,1.030837,0.02107508
0.20578,0.1024336,1.030803,0.02095315
0.2080078,0.1024441,1.030804,0.02095602
0.2168274,0.1025354,1.030824,0.02096641
0.2279358,0.1025801,1.030694,0.02090648
0.2279968,0.1025726,1.030693,0.02090868
0.2390442,0.1026413,1.030521,0.0208036
0.2479858,0.1027048,1.030431,0.0206435
0.2502747,0.1027869,1.030355,0.02058886
0.2610779,0.1028537,1.030303,0.02055733
0.2680054,0.1028832,1.030322,0.02056459
0.2723083,0.1029122,1.03034,0.02057393
0.2834778,0.1029337,1.030433,0.02072756
0.2879944,0.1029367,1.030497,0.02083039
0.2945557,0.1029467,1.030595,0.02100143
0.3057251,0.102892,1.030747,0.02123643
0.3079834,0.1028842,1.03073,0.02125999
0.3168945,0.1028442,1.030651,0.02131273
0.3277588,0.1027296,1.030443,0.02130201
0.3280029,0.1027304,1.030442,0.02130421
0.3389893,0.1026153,1.030102,0.02114873
0.3479919,0.1025135,1.029905,0.02098441
0.3501587,0.1024897,1.029856,0.020946
0.3612061,0.1024028,1.02968,0.02082421
0.3680115,0.102443,1.029603,0.02078524
0.372406,0.1024719,1.029542,0.02075534
0.3834839,0.1024469,1.029627,0.02087212
0.3880005,0.1024559,1.029684,0.02091196
0.3945313,0.1024564,1.02978,0.02097596
0.4056702,0.1024802,1.029891,0.02110744
0.4079895,0.1024762,1.029907,0.02110727
0.416748,0.1024502,1.029988,0.02112694
0.427887,0.1024618,1.030066,0.0210034
0.428009,0.102465,1.03007,0.02100366
0.4389954,0.1024856,1.030173,0.02092108
0.447998,0.1024571,1.030191,0.02088147
0.4501953,0.1024528,1.030194,0.0208686
0.4614868,0.1025325,1.030038,0.02087934
0.4679871,0.1025337,1.029938,0.02086972
0.4724121,0.1025296,1.029854,0.02085949
0.4833374,0.1025603,1.029842,0.02083763
0.4880066,0.1025981,1.029822,0.02090426
0.4944763,0.1026568,1.029782,0.02102667
0.5055847,0.1027876,1.029685,0.02111241
0.5079956,0.1028058,1.029652,0.02115767
0.5168152,0.1028777,1.029495,0.02133149
0.5277405,0.1030178,1.029272,0.0214671
0.5279846,0.1030216,1.029273,0.02147318
0.5390015,0.1031772,1.029015,0.02157769
0.5480042,0.1032889,1.028915,0.02172458
0.5499268,0.1033106,1.028888,0.02175014
0.5611267,0.1033463,1.028837,0.02195279
0.5679932,0.103389,1.028731,0.02188171
0.5725403,0.1034208,1.028607,0.02180302
0.583313,0.1034908,1.028468,0.02148995
0.5879822,0.1034914,1.028502,0.02139066
0.5944824,0.1034867,1.028517,0.0211983
0.6056519,0.1033199,1.028641,0.02158028
0.6080017,0.1032996,1.028664,0.0216686
0.6167908,0.1031767,1.02866,0.02198742
0.6277771,0.1032943,1.027896,0.0218605
0.6279907,0.1032964,1.027879,0.02185798
0.6388245,0.1034978,1.027782,0.0215098
0.6480103,0.1031731,1.028147,0.02125689
0.6499634,0.1031032,1.028209,0.02120622
0.6610413,0.1023525,1.028518,0.02160326
0.6679993,0.1021555,1.028549,0.02203661
0.6722107,0.1020163,1.028552,0.02238917
0.6833496,0.1024067,1.02818,0.02262893
0.6879883,0.1024027,1.028126,0.02285936
0.6944885,0.1023498,1.02805,0.02327563
0.7055359,0.1021123,1.027905,0.02406813
0.7080078,0.1021621,1.027808,0.02421291
0.7167664,0.1024544,1.027364,0.02476676
