Time, X, Y, Z
14.35999,-0.1663973,0.910207,0.1638784
16.16003,-0.2251616,0.9056116,0.1988667
18.82007,-0.1778597,0.9069501,0.1773509
20.52002,-0.2105747,0.8974138,0.1562354
22.42004,-0.2280287,0.9039024,0.1924293
24.42004,-0.1844503,0.9072714,0.1901638
27.40002,-0.2337586,0.897525,0.1252841
29.72009,-0.186862,0.8970456,0.1480941
31.92004,-0.195004,0.9149463,0.2101019
36.32007,-0.2029303,0.9044224,0.1631456
37.70007,-0.1983421,0.9251239,0.1975435
41.52002,-0.1866978,0.8967391,0.1859132
46.18005,-0.1607666,0.9037061,0.1486333
49.5,-0.1954252,0.9118142,0.1516863
51.58008,-0.1478979,0.9293427,0.1972728
74.52002,-0.1962927,0.8913032,0.1563817
76.35999,-0.1969767,0.887588,0.1740291
78.20007,-0.1976642,0.9032473,0.1656503
79.88,-0.1810954,0.9004572,0.2189117
82.1001,-0.1958476,0.9004348,0.1610778
83.96008,-0.2190942,0.8940204,0.1538621
85.82007,-0.1831138,0.9095004,0.1729266
88.06006,-0.1985711,0.901539,0.2086052
89.92004,-0.2028787,0.9017428,0.1490183
91.62,-0.1825411,0.9022562,0.1644016
93.40002,-0.214915,0.8976848,0.1937899
95.18005,-0.1739771,0.9097704,0.1867637
96.88,-0.2217803,0.9037039,0.1848671
98.85999,-0.1828313,0.9124781,0.1845586
100.6801,-0.2507018,0.9052459,0.2181284
126.0601,-0.2063806,0.9036865,0.1336254
127.8401,-0.1738593,0.8935324,0.1394496
130.4601,-0.2365937,0.9169621,0.2147493
132.42,-0.1755939,0.8948036,0.166927
136.86,-0.2286059,0.8971409,0.1442275
139.04,-0.2022252,0.903972,0.1765687
142.74,-0.1832115,0.9037681,0.1437686
145.7201,-0.17141,0.8907841,0.2262599
147.5601,-0.2154754,0.9122342,0.1697924
149.1801,-0.1844162,0.9291634,0.227963
152.62,-0.1974145,0.9093112,0.1346498
157.1801,-0.1645861,0.9092136,0.1566658
159.14,-0.1609871,0.897759,0.2047777
160.78,-0.2030506,0.91297,0.1758065
163.9601,-0.2290322,0.9085312,0.1531207
186.62,-0.1650731,0.891445,0.2092783
188.4401,-0.2114256,0.8942476,0.1659783
190.16,-0.2223888,0.903916,0.1698539
191.9401,-0.1875711,0.901851,0.1953521
193.9601,-0.1907205,0.9004224,0.1564783
195.62,-0.1531592,0.8873615,0.2027253
197.4401,-0.2153926,0.8969437,0.2110914
200.1801,-0.1958338,0.8898084,0.1550937
201.8401,-0.1735531,0.892772,0.2071455
204.02,-0.185777,0.8991018,0.1493932
206.76,-0.1453025,0.8964324,0.1875088
208.0801,-0.1798603,0.8958483,0.1635066
210.92,-0.2019113,0.9054186,0.1557998
213.3,-0.2319335,0.9101623,0.2081632
214.64,-0.1370612,0.9406169,0.1497927
