Time, X, Y, Z
0,-0.1183777,1.092232,-0.04666434
0.001586914,-0.1183175,1.092185,-0.04661348
0.01269531,-0.1180027,1.092012,-0.04642515
0.02001953,-0.1176732,1.092002,-0.04632214
0.02380371,-0.1174381,1.092034,-0.04628484
0.03491211,-0.1171417,1.092047,-0.04616661
0.04003906,-0.1170459,1.092087,-0.04601043
0.04614258,-0.1169588,1.092083,-0.04576705
0.05737305,-0.1170034,1.092061,-0.04573584
0.06005859,-0.1170597,1.092104,-0.04572542
0.0682373,-0.1172298,1.09227,-0.04578628
0.0793457,-0.1175791,1.092285,-0.04559641
0.08007813,-0.1176057,1.092281,-0.04557872
0.0904541,-0.1180611,1.092491,-0.04528963
0.1000977,-0.1184479,1.092639,-0.0450909
0.1015625,-0.1184994,1.092656,-0.04506332
0.1126709,-0.1187902,1.092754,-0.04480231
0.1199951,-0.1189833,1.092884,-0.04471649
0.1241455,-0.1191098,1.092973,-0.04467414
0.1350098,-0.1192627,1.093213,-0.04453629
0.1400146,-0.1193683,1.093291,-0.04448339
0.1459961,-0.1195472,1.093323,-0.04437679
0.1569824,-0.1197622,1.093325,-0.04433351
0.1600342,-0.1198429,1.093285,-0.04432699
0.168457,-0.120169,1.093055,-0.04414226
0.1794434,-0.1205458,1.09294,-0.04407349
0.1800537,-0.1205676,1.092935,-0.04406928
0.1903076,-0.1207828,1.092785,-0.04415783
0.2000732,-0.1207784,1.092721,-0.04433289
0.2015381,-0.120768,1.092713,-0.04435673
0.2126465,-0.1207321,1.092583,-0.04431005
0.2200928,-0.1207968,1.092555,-0.04417719
0.2236328,-0.1208565,1.092542,-0.04409589
0.2349854,-0.120962,1.092564,-0.04396486
0.2399902,-0.1210676,1.092536,-0.04390096
0.2459717,-0.1213111,1.092467,-0.04384713
0.2568359,-0.1215132,1.092438,-0.04365996
0.2600098,-0.1215355,1.092456,-0.04360358
0.2680664,-0.1214274,1.09258,-0.04354193
0.2791748,-0.121252,1.092657,-0.04339673
0.2800293,-0.1212342,1.092663,-0.04338276
0.2902832,-0.121064,1.092549,-0.04315207
0.3000488,-0.1209055,1.092497,-0.04301449
0.3015137,-0.1208823,1.09249,-0.04299353
0.3131104,-0.1207597,1.092524,-0.04285049
0.3200684,-0.1207214,1.092482,-0.04284032
0.3236084,-0.1207258,1.092442,-0.04283571
0.3348389,-0.1209536,1.092222,-0.04273156
0.3400879,-0.1210602,1.092141,-0.04263146
0.3460693,-0.12116,1.092072,-0.04239809
0.3570557,-0.1211466,1.091972,-0.04210298
0.3599854,-0.1211365,1.091935,-0.04202077
0.368042,-0.1210962,1.091841,-0.04194131
0.3790283,-0.1210939,1.091705,-0.04213101
0.3800049,-0.1210975,1.091691,-0.04215899
0.3903809,-0.1208903,1.09146,-0.04241739
0.4000244,-0.1205535,1.091312,-0.04237094
0.4014893,-0.1204936,1.091297,-0.04234287
0.4124756,-0.1204705,1.091031,-0.04200565
0.4200439,-0.1203726,1.090667,-0.04192566
0.4237061,-0.1201518,1.090506,-0.04193313
0.4346924,-0.1200674,1.090088,-0.04162524
0.4400635,-0.1199997,1.089686,-0.04148628
0.4460449,-0.1195605,1.089473,-0.04142942
0.4567871,-0.1189496,1.089579,-0.04163051
0.460083,-0.1187588,1.089494,-0.04179042
0.4681396,-0.1186916,1.088918,-0.04170448
0.479248,-0.1184075,1.088339,-0.04148033
0.4801025,-0.118375,1.088288,-0.04146071
0.4901123,-0.1178959,1.087888,-0.04167069
0.5,-0.1175605,1.087576,-0.04189584
0.5013428,-0.1175198,1.087507,-0.04191889
0.5123291,-0.1172375,1.08667,-0.04275055
0.5200195,-0.117127,1.086141,-0.04333735
0.5238037,-0.1170427,1.085767,-0.04372503
0.53479,-0.1165248,1.085766,-0.04407264
0.5400391,-0.1161502,1.085997,-0.04399231
0.5460205,-0.1159071,1.085706,-0.04367694
0.5570068,-0.1153849,1.085843,-0.04305777
0.5600586,-0.1152363,1.086006,-0.04280029
0.5681152,-0.11472,1.086295,-0.04238033
0.5793457,-0.114249,1.086557,-0.04164721
0.5800781,-0.1142235,1.086569,-0.04157601
0.59021,-0.1137127,1.086915,-0.04112585
0.6000977,-0.1131154,1.087349,-0.04103848
0.6015625,-0.1130206,1.087421,-0.04101579
0.6124268,-0.1126857,1.087685,-0.04081388
0.6199951,-0.1123358,1.087942,-0.04061206
0.6236572,-0.1119948,1.088198,-0.04049507
0.6347656,-0.1115868,1.088586,-0.04030469
0.6400146,-0.1114331,1.088658,-0.0403758
