Time, X, Y, Z
0,0.09421017,1.076626,-0.02013092
0.001586914,0.09424261,1.076592,-0.02016515
0.01269531,0.09436929,1.076472,-0.02044229
0.02001953,0.09455146,1.076281,-0.02054258
0.02380371,0.09468545,1.076116,-0.02058032
0.03491211,0.09489985,1.075892,-0.02066185
0.04003906,0.09498314,1.075818,-0.02066824
0.04614258,0.09508021,1.075713,-0.02069548
0.05737305,0.09513021,1.075673,-0.02066863
0.06005859,0.09510147,1.075686,-0.02063851
0.0682373,0.09508361,1.075515,-0.02056509
0.0793457,0.09515382,1.075309,-0.02044043
0.08007813,0.09516202,1.075294,-0.02043112
0.0904541,0.09516409,1.075012,-0.02011025
0.1000977,0.09505179,1.074628,-0.01981145
0.1015625,0.09503491,1.074574,-0.01976681
0.1126709,0.09479934,1.074219,-0.01933157
0.1199951,0.09462909,1.073996,-0.01912977
0.1241455,0.09453443,1.073847,-0.01900846
0.1350098,0.09435038,1.073625,-0.01875414
0.1400146,0.09424992,1.073498,-0.01861866
0.1459961,0.09414563,1.073365,-0.01840644
0.1569824,0.09394509,1.07321,-0.01805626
0.1600342,0.09385812,1.073114,-0.01793112
0.168457,0.09339793,1.073119,-0.01753126
0.1794434,0.09311949,1.073028,-0.01746978
0.1800537,0.09310801,1.073021,-0.01746994
0.1903076,0.09285107,1.072819,-0.0174582
0.2000732,0.09259402,1.072751,-0.01753514
0.2015381,0.0925567,1.072747,-0.01754597
0.2126465,0.0922811,1.072695,-0.01753776
0.2200928,0.09210054,1.072675,-0.01734373
0.2236328,0.0920279,1.072616,-0.01719491
0.2349854,0.0919336,1.07261,-0.01693673
0.2399902,0.09188497,1.07259,-0.01684797
0.2459717,0.09183997,1.072529,-0.01683918
0.2568359,0.09178925,1.072535,-0.01675262
0.2600098,0.0918038,1.072572,-0.01673244
0.2680664,0.0918685,1.072597,-0.01670727
0.2791748,0.09184321,1.072576,-0.01665758
0.2800293,0.09183971,1.072575,-0.01665293
0.2902832,0.09199619,1.072483,-0.01651418
0.3000488,0.09233656,1.072439,-0.01639724
0.3015137,0.09239477,1.072433,-0.01637283
0.3131104,0.09284656,1.072386,-0.01604347
0.3200684,0.09309418,1.072293,-0.0158938
0.3236084,0.09321079,1.072232,-0.0158207
0.3348389,0.09332044,1.072131,-0.01569401
0.3400879,0.09337376,1.072142,-0.01563075
0.3460693,0.09338646,1.072187,-0.01549995
0.3570557,0.09342723,1.072172,-0.01542786
0.3599854,0.09342963,1.072155,-0.01541683
0.368042,0.09329816,1.07228,-0.01544155
0.3790283,0.09320449,1.072326,-0.01545987
0.3800049,0.09319684,1.072328,-0.01545665
0.3903809,0.09341591,1.072523,-0.01524554
0.4000244,0.09366253,1.072742,-0.01492658
0.4014893,0.09369761,1.072777,-0.01486127
0.4124756,0.09390133,1.072786,-0.0147004
0.4200439,0.09412801,1.072635,-0.01462051
0.4237061,0.09431271,1.072621,-0.01436368
0.4346924,0.09435251,1.072881,-0.01388738
0.4400635,0.09435943,1.072861,-0.0137639
0.4460449,0.09447029,1.072843,-0.01357667
0.4567871,0.09464988,1.073031,-0.01353788
0.460083,0.09470738,1.07296,-0.01362598
0.4681396,0.09456851,1.073299,-0.01329398
0.479248,0.09438156,1.07354,-0.01308985
0.4801025,0.09436374,1.07354,-0.0130899
0.4901123,0.09438278,1.073148,-0.01298164
0.5,0.09479386,1.072816,-0.01225254
0.5013428,0.09488156,1.07277,-0.01210901
0.5123291,0.09564067,1.071691,-0.01209313
0.5200195,0.09597839,1.071075,-0.01200081
0.5238037,0.09603292,1.070896,-0.01185718
0.53479,0.09618793,1.070677,-0.01110855
0.5400391,0.0963071,1.070718,-0.01054184
0.5460205,0.09640355,1.071025,-0.01027192
0.5570068,0.09670926,1.071166,-0.009937584
0.5600586,0.0967877,1.07118,-0.009765252
0.5681152,0.09682267,1.071716,-0.008958593
0.5793457,0.09717581,1.072087,-0.007931992
0.5800781,0.09721611,1.072095,-0.007854268
0.59021,0.09764913,1.072567,-0.006803721
