Time, X, Y, Z
57.88,-0.1395215,0.9115786,0.2161966
61.95996,-0.1590209,0.9114203,0.1923749
66.17999,-0.2057392,0.9067479,0.1980004
68.77997,-0.1844719,0.9134482,0.1296242
71.01996,-0.2217015,0.908426,0.1595189
73.71997,-0.1373902,0.9149603,0.1545105
76.41998,-0.1838636,0.9220558,0.1900539
79.03998,-0.175415,0.9168959,0.1656934
83.09998,-0.2003016,0.9227544,0.2118145
85.44,-0.1562009,0.9139982,0.1798223
87.59998,-0.2021617,0.9231617,0.1901891
90.47998,-0.1719571,0.9159876,0.1783779
93.95996,-0.2103876,0.9271988,0.1667465
96.88,-0.1729471,0.9101896,0.1514876
100.56,-0.2105275,0.9153342,0.182873
124.84,-0.1493917,0.896106,0.1752604
127.38,-0.1323647,0.9113138,0.2160922
129.92,-0.1654657,0.9064948,0.1759075
133.26,-0.18964,0.9067295,0.2207982
136.46,-0.1179522,0.9074941,0.1597882
138.26,-0.05132897,0.9116839,0.1351004
145.6,-0.1748553,0.9032387,0.1756005
148.46,-0.2429639,0.9159712,0.1426564
151.3,-0.1712895,0.9173143,0.2066651
154.14,-0.1721208,0.9142052,0.1652981
157.48,-0.1548852,0.9108647,0.2039454
160.86,-0.2075452,0.9110451,0.2022424
163.58,-0.1975556,0.903622,0.1751873
165.92,-0.2076513,0.9107754,0.2147123
169.38,-0.1643899,0.9193071,0.1625912
192.92,-0.1901904,0.8996127,0.2161555
196.5,-0.1857847,0.8977315,0.2132373
200.78,-0.1967426,0.9024328,0.1624373
205.7599,-0.230741,0.8951961,0.1859619
210.2599,-0.1613058,0.9000689,0.1862958
213.64,-0.1641193,0.8986995,0.1407674
217.04,-0.2119249,0.8953413,0.1994369
220.88,-0.1705741,0.8986096,0.1948854
224.2,-0.182499,0.8968977,0.1420583
226.72,-0.1900533,0.8974186,0.1779832
229.88,-0.1837365,0.8957671,0.1844091
233.22,-0.1486349,0.8988585,0.1956051
236.2,-0.1852984,0.900386,0.1543807
239.36,-0.1313113,0.9094161,0.1726866
242.92,-0.2220186,0.9033632,0.2187775
268.2999,-0.1951831,0.9009848,0.1548896
271.22,-0.2046532,0.9013402,0.2014738
275.34,-0.1503487,0.8963035,0.2007001
280.34,-0.1699679,0.8974684,0.2114053
282.86,-0.1290654,0.8950018,0.160155
287.1,-0.1648459,0.9011953,0.2290516
291.26,-0.2165767,0.8946835,0.1814124
295.0599,-0.1438092,0.8952029,0.1552159
297.9199,-0.1614599,0.8962153,0.2057151
300.86,-0.1438108,0.8975717,0.1578388
305.1,-0.2016755,0.8892329,0.227647
307.9199,-0.1917724,0.900223,0.1792434
310.7,-0.1864982,0.9029799,0.191589
314.58,-0.1966231,0.8998742,0.1641397
318.16,-0.1779213,0.9094762,0.2342155
