Time, X, Y, Z
57.88,-0.15,0.86,0.2
61.95996,-0.1518936,0.86,0.1930585
66.17999,-0.2031592,0.86,0.1824646
68.77997,-0.1856853,0.86,0.1419971
71.01996,-0.2200132,0.86,0.185325
73.71997,-0.1716085,0.86,0.1354136
76.41998,-0.1860669,0.86,0.1867263
79.03998,-0.1826017,0.86,0.1402135
83.09998,-0.1934916,0.86,0.2032005
85.44,-0.1610153,0.86,0.1528636
87.59998,-0.2227697,0.86,0.1753045
90.47998,-0.1691181,0.86,0.1657353
93.95996,-0.2063256,0.86,0.1480038
96.88,-0.1710813,0.86,0.1405713
100.56,-0.2130703,0.86,0.1837514
124.84,-0.1638231,0.86,0.1668769
127.38,-0.1593421,0.86,0.2070976
129.92,-0.1655609,0.86,0.1696644
133.26,-0.2087283,0.86,0.2054725
136.46,-0.1840817,0.86,0.1537478
138.26,-0.1764059,0.86,0.2012081
145.6,-0.1859963,0.86,0.1666092
148.46,-0.2189006,0.86,0.1404693
151.3,-0.1791903,0.86,0.1952243
154.14,-0.1863631,0.86,0.1563599
157.48,-0.1614469,0.86,0.1939112
160.86,-0.2089033,0.86,0.1899181
163.58,-0.1906754,0.86,0.1516888
165.92,-0.2055004,0.86,0.2065126
169.38,-0.1757698,0.86,0.1624246
192.92,-0.2066947,0.86,0.2020732
196.5,-0.1699436,0.86,0.2012699
200.78,-0.1848897,0.86,0.1493526
205.7599,-0.2203289,0.86,0.1560863
210.2599,-0.154035,0.86,0.1959463
213.64,-0.1632199,0.86,0.152696
217.04,-0.2234178,0.86,0.195946
220.88,-0.1725752,0.86,0.1897255
224.2,-0.1700087,0.86,0.1410869
226.72,-0.1834168,0.86,0.1745914
229.88,-0.2198926,0.86,0.1875916
233.22,-0.1691314,0.86,0.1942599
236.2,-0.2028017,0.86,0.1632312
239.36,-0.1598148,0.86,0.1582795
242.92,-0.2225743,0.86,0.2060391
268.2999,-0.1919958,0.86,0.1401634
271.22,-0.1976026,0.86,0.1945414
275.34,-0.1564616,0.86,0.1870726
280.34,-0.1961611,0.86,0.2008163
282.86,-0.1530537,0.86,0.1562192
287.1,-0.171929,0.86,0.2078239
291.26,-0.2200514,0.86,0.1725495
295.0599,-0.1694911,0.86,0.1393642
297.9199,-0.1951607,0.86,0.1984319
300.86,-0.1626225,0.86,0.1452956
305.1,-0.2124958,0.86,0.2038472
307.9199,-0.2185174,0.86,0.1612299
310.7,-0.181432,0.86,0.17858
314.58,-0.2129309,0.86,0.15448
318.16,-0.1840655,0.86,0.1922384
