Time, X, Y, Z
0,-0.1778726,1.030233,0.003185138
0.005371094,-0.1778767,1.030245,0.003179029
0.01635742,-0.17791,1.030147,0.003205329
0.0199585,-0.1779428,1.030123,0.003230885
0.02770996,-0.1780356,1.030094,0.003319293
0.03875732,-0.1780763,1.030106,0.003353283
0.03997803,-0.1780844,1.030108,0.003359675
0.04980469,-0.1781614,1.030187,0.003400236
0.05999756,-0.1781333,1.030159,0.003369793
0.06085205,-0.1781312,1.030156,0.003367871
0.07196045,-0.1781606,1.030225,0.003336802
0.07995605,-0.1781442,1.030174,0.003220573
0.08294678,-0.1781342,1.030141,0.00316143
0.09417725,-0.1781867,1.030051,0.002945706
0.09997559,-0.1781854,1.030001,0.002855107
0.1052856,-0.1781738,1.029944,0.002791435
0.116394,-0.178084,1.029973,0.002637565
0.1199951,-0.1780652,1.029994,0.002606854
0.1274414,-0.1780085,1.030061,0.002591401
0.1386719,-0.1778445,1.030295,0.002508461
0.1399536,-0.1778231,1.030328,0.002498016
0.1497192,-0.177688,1.030594,0.002440527
0.1599731,-0.1775583,1.03076,0.002432331
0.1608276,-0.1775454,1.030774,0.002431646
0.1719971,-0.1773667,1.030939,0.00243488
0.1799927,-0.1773823,1.031013,0.002519116
0.1830444,-0.1774051,1.031039,0.002568781
0.1941528,-0.1772227,1.031085,0.002632007
0.2000122,-0.1771235,1.031126,0.002647564
0.2052002,-0.1770397,1.031176,0.00265108
0.2163696,-0.1768851,1.03121,0.002735391
0.2199707,-0.1768275,1.031215,0.002740577
0.2276001,-0.1767363,1.031245,0.002745003
0.2385864,-0.1766713,1.031332,0.002618924
0.2399902,-0.1766499,1.031344,0.00259769
0.2497559,-0.1764906,1.031351,0.002528355
0.2600098,-0.1765421,1.03134,0.002408177
0.2606201,-0.1765459,1.031339,0.002400056
0.2717896,-0.1764942,1.03135,0.002314687
0.2799683,-0.1765111,1.031386,0.002281159
0.2828979,-0.1765202,1.03141,0.00226894
0.2938843,-0.1765509,1.03141,0.002126023
0.2999878,-0.1765763,1.031423,0.002073586
0.3051147,-0.176611,1.031447,0.002031937
0.3162231,-0.1766296,1.031554,0.001960233
0.3200073,-0.1766153,1.031603,0.001924157
0.3273926,-0.176549,1.031694,0.001818433
0.3386841,-0.1766379,1.031829,0.001828372
0.3399658,-0.1766533,1.031842,0.001839548
0.3497925,-0.1766527,1.031908,0.001946718
0.3599854,-0.176602,1.03203,0.001853496
0.3605957,-0.1765995,1.032034,0.001848474
0.3718872,-0.1765336,1.031942,0.00176014
0.3800049,-0.1764913,1.031887,0.001768842
0.3829346,-0.1764648,1.031866,0.001781344
0.394104,-0.1763683,1.03181,0.001800507
0.3999634,-0.1763623,1.031819,0.001827016
0.4052124,-0.1763512,1.031841,0.00187321
0.4162598,-0.1761926,1.031797,0.002007037
0.4199829,-0.1761276,1.031808,0.002007142
0.4271851,-0.1759899,1.031919,0.001956344
0.4384766,-0.1759212,1.031934,0.0019041
0.4400024,-0.1759079,1.031938,0.001900896
0.4495239,-0.175871,1.03194,0.001887441
0.4599609,-0.1759211,1.031915,0.001897365
0.4606323,-0.1759234,1.031911,0.001900151
0.4717407,-0.1759423,1.031804,0.00200294
0.4799805,-0.1758676,1.031792,0.002011925
0.4829712,-0.1757936,1.031813,0.002014458
0.4939575,-0.1756979,1.031859,0.002053633
0.5,-0.1755887,1.03186,0.002057791
0.5053101,-0.1754579,1.031853,0.002063081
0.5162964,-0.1753276,1.031904,0.001945227
0.5199585,-0.1752397,1.031933,0.001887411
0.5272217,-0.1750631,1.03199,0.001671195
0.5383911,-0.1749099,1.031973,0.001433328
0.539978,-0.1748981,1.031968,0.001398176
0.5495605,-0.1748078,1.031977,0.001235545
0.5599976,-0.174633,1.032103,0.001148745
0.5609741,-0.1746152,1.032114,0.001140565
0.5716553,-0.1745739,1.032139,0.001152337
0.5799561,-0.1745314,1.032152,0.001183376
0.5827637,-0.1745096,1.032166,0.00120154
0.5939941,-0.1744653,1.032231,0.001133397
0.5999756,-0.1744343,1.032308,0.001149938
0.6051636,-0.1744072,1.032381,0.00120768
0.6159668,-0.1743481,1.032395,0.001164466
0.6199951,-0.1743521,1.032388,0.001151457
0.6271362,-0.1743605,1.032426,0.00114648
0.6384888,-0.1742298,1.032354,0.001096815
0.6399536,-0.1742097,1.032344,0.001093298
0.649292,-0.1740743,1.032335,0.001120165
0.6599731,-0.1740516,1.032294,0.001093492
0.6607666,-0.1740446,1.032293,0.001089796
0.671814,-0.1740008,1.032253,0.001148179
0.6799927,-0.1740062,1.03232,0.00113447
0.6828613,-0.1739975,1.032376,0.001121953
0.6937256,-0.1739382,1.03247,0.0011428
0.7000122,-0.1738535,1.032539,0.001135677
0.7050171,-0.1737762,1.032597,0.001126677
