Time, X, Y, Z
0,0.1078518,0.8928314,-0.02476021
0,-0.2066874,0.8905106,0.1518571
0,-0.1550623,0.9084217,0.1910938
0,-0.2251666,0.926311,0.2168105
0,-0.1878811,0.9021514,0.1876324
0,-0.2259288,0.9105846,0.1770766
0,-0.1484173,0.9272768,0.1810583
0,-0.2334814,0.9090455,0.1505072
0,-0.2408478,0.9051601,0.1914289
0,-0.1631344,0.9076797,0.1450263
0,-0.200177,0.9086726,0.19308
0,-0.1578436,0.9167678,0.2127218
0,-0.1506617,0.9157374,0.1639217
0,-0.1410074,0.9250187,0.2169119
0,-0.2060443,0.9104105,0.1735275
0,-0.1441368,0.9110688,0.1500943
0,-0.2081729,0.9035826,0.1666593
0,-0.1836503,0.8952278,0.1948989
0,-0.2029839,0.8954351,0.1532403
0,-0.1371953,0.9057866,0.1314386
0,-0.1595786,0.8842906,0.1491357
0,-0.1327796,0.9157468,0.2018907
0,-0.135351,1.000364,0.1441738
0,-0.2265532,0.9062963,0.1382364
0,-0.212295,0.9123108,0.1927985
0,-0.2010849,0.9177271,0.1680724
0,-0.03732533,0.8874124,0.09521935
0,-0.0008259615,0.9018367,0.08922161
0,-0.2626651,0.9157048,0.172925
0,-0.2488045,0.9081792,0.2120204
0,-0.09562739,0.9132673,0.08813475
0,-0.2308359,0.9347232,0.198939
0,-0.2757993,0.9216896,0.1828324
0,-0.1901347,0.9091353,0.1494144
0,-0.222913,0.911524,0.1829101
0,-0.1881938,0.9152469,0.1649567
0,-0.1628853,0.9332379,0.1168153
0,-0.141978,0.9226492,0.09398486
0,-0.1051325,0.8999526,0.05152401
0,-0.05968544,0.9106319,0.06729595
0,-0.07793117,0.8917452,0.1091913
0,-0.07099023,0.9254361,0.08815873
0,-0.0873475,0.8977355,0.04395216
0,-0.1292704,0.8855047,0.0811077
0,-0.09240832,0.9103321,0.124878
0,-0.1077127,0.9151844,0.0951345
0,-0.2063403,0.8914593,0.1354223
0,-0.1937957,0.9030435,0.1482583
0,-0.05136672,0.8920518,0.1750491
0,-0.2688249,0.9118139,0.146016
0,-0.2376339,0.9017525,0.1707936
0,-0.04452134,0.9290417,0.08465561
0,-0.05165637,0.8884335,0.1042501
0,-0.1904069,0.9116227,0.146702
0,-0.1917529,0.8831741,0.1737382
0,-0.1675739,0.9072381,0.1351518
14.38422,-0.1739973,0.8954611,0.2013664
18.96423,-0.2296897,0.9002895,0.1442336
22.84418,-0.1719108,0.8942319,0.1921616
26.38422,-0.1908559,0.8955912,0.1535529
29.82422,-0.0895403,0.9207394,0.08059942
32.34418,-0.07466774,0.9193115,0.05601052
36.3042,-0.2354479,0.9019166,0.1584555
38.44421,-0.1551697,0.9299613,0.1140239
40.6842,-0.08555262,0.9126964,0.05865949
43.22418,-0.09461726,0.9278988,0.06480148
47.3642,-0.1144515,0.9153708,0.07038929
49.88422,-0.1994705,0.9027611,0.1099365
56.62421,-0.154191,0.8845623,0.1675335
60.52423,-0.2049709,0.8920415,0.1604713
63.62421,-0.1878528,0.8712824,0.202568
66.66418,-0.1890223,0.8857614,0.1524136
76.10419,-0.166584,0.9030245,0.1932296
79.22418,-0.1892876,0.8919657,0.1434549
82.62421,-0.192501,0.883224,0.1995185
86.10419,-0.1961747,0.8964321,0.1472718
89.72418,-0.2372065,0.8899837,0.1699049
92.98419,-0.199355,0.8943449,0.134766
96.16418,-0.1663416,0.8892775,0.1693894
99.62421,-0.1913035,0.8931578,0.1916502
102.0442,-0.1487442,0.9162856,0.1359239
105.7042,-0.206127,0.8830751,0.12402
108.9642,-0.1736927,0.8787652,0.1582705
112.2442,-0.2138707,0.8832885,0.1629009
115.1642,-0.1819583,0.8941802,0.197562
117.4842,-0.1588414,0.9117801,0.1452604
121.1642,-0.2131103,0.8777272,0.1794439
123.9842,-0.1668811,0.8855948,0.1587237
126.2842,-0.1967191,0.8963789,0.1446811
129.3242,-0.2106146,0.8854107,0.1746878
132.5242,-0.1640346,0.892249,0.1879701
135.0442,-0.2029557,0.8873838,0.1660908
137.6842,-0.1643943,0.887123,0.142967
139.5642,-0.2050631,0.91825,0.176493
142.6842,-0.1694454,0.8860014,0.197868
144.8642,-0.217123,0.9067464,0.1521046
147.8442,-0.1776682,0.8828967,0.1530784
150.8442,-0.1840718,0.89712,0.1477788
152.3842,-0.08139585,0.8860793,0.02886158
155.5042,-0.1694271,0.9047779,0.167964
158.7442,-0.2272851,0.8945931,0.1975122
183.0242,-0.2028326,0.9136367,0.1580904
186.1842,-0.2046604,0.8892117,0.2120828
188.9642,-0.1843577,0.897702,0.1338376
191.9442,-0.1630201,0.8957011,0.1939204
194.7442,-0.1992337,0.8990887,0.1483302
197.2842,-0.2065424,0.881593,0.2102579
201.5842,-0.1676412,0.9169689,0.1947589
204.7242,-0.1911284,0.8964355,0.1497424
207.5642,-0.1939236,0.8912498,0.1846737
210.5242,-0.201793,0.8902206,0.1579629
213.5642,-0.1761413,0.8957332,0.196004
216.0442,-0.2066593,0.8913695,0.1748196
219.2442,-0.1720805,0.8965485,0.1340484
221.8842,-0.2207223,0.8822913,0.2104872
224.8442,-0.1766676,0.8918574,0.1742722
