Time, X, Y, Z
0,-0.1743389,0.86,0.1468373
0,-0.1525689,0.86,0.1899955
0,-0.2235,0.86,0.2024897
0,-0.1624077,0.86,0.1801288
0,-0.2107944,0.86,0.1807027
0,-0.1741922,0.86,0.1756625
0,-0.2094014,0.86,0.1351658
0,-0.2211937,0.86,0.1808576
0,-0.165344,0.86,0.1399934
0,-0.2029934,0.86,0.1920704
0,-0.1503695,0.86,0.1968441
0,-0.1661378,0.86,0.1613079
0,-0.1506604,0.86,0.1990875
0,-0.200254,0.86,0.168561
0,-0.1557371,0.86,0.1434061
0,-0.2103711,0.86,0.1686549
0,-0.1695152,0.86,0.1925239
0,-0.2068868,0.86,0.1526561
0,-0.1729254,0.86,0.1748046
0,-0.1551689,0.86,0.1422198
0,-0.15,0.86,0.2
0,-0.1549311,0.86,0.1718396
0,-0.2177375,0.86,0.1475511
0,-0.1960347,0.86,0.1965802
0,-0.2225174,0.86,0.1724136
0,-0.2194225,0.86,0.1363242
0,-0.1529624,0.86,0.2069982
0,-0.2081662,0.86,0.160936
0,-0.2196207,0.86,0.2013538
0,-0.1545249,0.86,0.1804217
0,-0.1816361,0.86,0.2037828
0,-0.2247686,0.86,0.2075339
0,-0.1683057,0.86,0.144628
0,-0.1886731,0.86,0.1846009
0,-0.1620311,0.86,0.1499566
0,-0.2233906,0.86,0.1738934
0,-0.1968841,0.86,0.1992817
0,-0.2045492,0.86,0.159288
0,-0.1505451,0.86,0.1911104
0,-0.2247772,0.86,0.1670149
0,-0.1857012,0.86,0.1705426
0,-0.1533345,0.86,0.2021078
0,-0.1790495,0.86,0.1420707
0,-0.1602536,0.86,0.1908109
0,-0.2202373,0.86,0.1968743
0,-0.2212515,0.86,0.1501722
0,-0.1573182,0.86,0.1577754
0,-0.2073124,0.86,0.2022209
0,-0.1940029,0.86,0.1519973
0,-0.224459,0.86,0.1855561
0,-0.1660109,0.86,0.1390559
0,-0.1902796,0.86,0.1933326
0,-0.1700702,0.86,0.1445157
0,-0.1893652,0.86,0.189814
0,-0.1527956,0.86,0.1471176
14.38422,-0.15,0.86,0.2
18.96423,-0.2226114,0.86,0.1450884
22.84418,-0.1530015,0.86,0.1964238
26.38422,-0.1725474,0.86,0.1527275
29.82422,-0.1773646,0.86,0.2091177
32.34418,-0.1831474,0.86,0.1736381
36.3042,-0.2216005,0.86,0.1550985
38.44421,-0.1749616,0.86,0.1978458
40.6842,-0.207085,0.86,0.1516035
43.22418,-0.1641174,0.86,0.1562433
47.3642,-0.1952442,0.86,0.1824715
49.88422,-0.2225519,0.86,0.1534503
56.62421,-0.1539672,0.86,0.1797148
60.52423,-0.1913016,0.86,0.1672216
63.62421,-0.1699027,0.86,0.1967939
66.66418,-0.1835531,0.86,0.153474
76.10419,-0.1588361,0.86,0.190962
79.22418,-0.1906438,0.86,0.1481841
82.62421,-0.1893491,0.86,0.2096257
86.10419,-0.1953221,0.86,0.1587965
89.72418,-0.2190204,0.86,0.1874497
92.98419,-0.1999051,0.86,0.1355971
96.16418,-0.1513196,0.86,0.1700429
99.62421,-0.190052,0.86,0.1953167
102.0442,-0.1581387,0.86,0.1394588
105.7042,-0.2013095,0.86,0.141585
108.9642,-0.1673908,0.86,0.1575546
112.2442,-0.2095732,0.86,0.1729182
115.1642,-0.1955618,0.86,0.2076109
117.4842,-0.162204,0.86,0.1357354
121.1642,-0.2165817,0.86,0.1717228
123.9842,-0.1614349,0.86,0.1586969
126.2842,-0.2007138,0.86,0.1433646
129.3242,-0.2054934,0.86,0.1898712
132.5242,-0.1631531,0.86,0.1938073
135.0442,-0.1911981,0.86,0.1661913
137.6842,-0.1598912,0.86,0.1412908
139.5642,-0.2208696,0.86,0.1795152
142.6842,-0.1631323,0.86,0.2046189
144.8642,-0.2193723,0.86,0.1389938
147.8442,-0.1579957,0.86,0.1544285
150.8442,-0.1908826,0.86,0.1389663
152.3842,-0.2119603,0.86,0.2067907
155.5042,-0.1704091,0.86,0.1577462
158.7442,-0.2208012,0.86,0.1959504
183.0242,-0.1977619,0.86,0.156886
186.1842,-0.1991536,0.86,0.2037183
188.9642,-0.1883319,0.86,0.1407991
191.9442,-0.1576533,0.86,0.2001705
194.7442,-0.2041866,0.86,0.1379769
197.2842,-0.2109203,0.86,0.2000925
201.5842,-0.1716639,0.86,0.1761749
204.7242,-0.1912924,0.86,0.1390813
207.5642,-0.1903925,0.86,0.1893647
210.5242,-0.199942,0.86,0.1465375
213.5642,-0.1691367,0.86,0.1795363
216.0442,-0.2119615,0.86,0.1843203
219.2442,-0.172261,0.86,0.1408174
221.8842,-0.2162004,0.86,0.2002536
224.8442,-0.1728587,0.86,0.1621614
