Time, X, Y, Z
0.002197266,-0.1184251,1.110745,-0.09901227
0.004211426,-0.1184436,1.110759,-0.09900346
0.01324463,-0.1185393,1.110864,-0.09897868
0.02423096,-0.1185734,1.110982,-0.09897444
0.02423096,-0.1185738,1.110983,-0.09897402
0.03546143,-0.118634,1.111027,-0.09895337
0.04418945,-0.1186319,1.111096,-0.09895425
0.04644775,-0.1186407,1.111124,-0.09895208
0.05749512,-0.118723,1.111228,-0.09895864
0.06420898,-0.118777,1.111247,-0.098961
0.06878662,-0.1188473,1.111248,-0.09896262
0.07989502,-0.1189908,1.111268,-0.09898554
0.08422852,-0.1190541,1.111279,-0.09896669
0.09277344,-0.1191812,1.111269,-0.09891075
0.1020508,-0.1193344,1.111268,-0.09883016
0.104187,-0.1193837,1.11126,-0.09881151
0.1133423,-0.1196002,1.111184,-0.09873852
0.1242065,-0.1197671,1.111074,-0.09862819
0.1242065,-0.1197671,1.111074,-0.09862819
0.1356201,-0.120005,1.110936,-0.09842607
0.1442261,-0.1201508,1.11088,-0.09828976
0.1467285,-0.1201933,1.110867,-0.09824853
0.1574707,-0.1203429,1.110842,-0.09816733
0.1641846,-0.1204016,1.110788,-0.09812285
0.1685791,-0.1204503,1.110713,-0.09808353
0.1799316,-0.1206633,1.110657,-0.09799175
0.1842041,-0.1206982,1.110606,-0.09799038
0.1907959,-0.1207754,1.110526,-0.09799445
0.2019043,-0.1209899,1.110465,-0.09793122
0.2042236,-0.1210556,1.110435,-0.0979128
0.2132568,-0.1212173,1.110362,-0.09779654
0.2241821,-0.1213814,1.110293,-0.09770024
0.2243042,-0.1213729,1.110278,-0.0977107
0.2353516,-0.1215427,1.110209,-0.09753533
0.2442017,-0.121558,1.110117,-0.09744678
0.248291,-0.1215923,1.110077,-0.09740999
0.2574463,-0.1216747,1.110034,-0.09736715
0.2642212,-0.1216188,1.109951,-0.09740268
0.2686157,-0.121553,1.109902,-0.097415
0.2798462,-0.1215626,1.109835,-0.09745
0.2841797,-0.1215232,1.10982,-0.09746039
0.2905884,-0.1214322,1.109834,-0.09744889
0.302124,-0.1213198,1.10982,-0.09744465
0.3041992,-0.1212903,1.109836,-0.09748225
0.3131104,-0.1211509,1.109892,-0.09756753
0.3242188,-0.121006,1.109966,-0.09759901
0.3242188,-0.1209868,1.109966,-0.09760787
0.3357544,-0.1207361,1.109986,-0.09773579
0.3441772,-0.1205979,1.110004,-0.09783483
0.3469849,-0.1205095,1.110035,-0.09788689
0.3585815,-0.1203325,1.110116,-0.09799565
0.3641968,-0.1202599,1.110129,-0.09805855
0.3696289,-0.1201717,1.110115,-0.09810597
0.3810425,-0.1199331,1.110081,-0.09820199
0.3842163,-0.1198658,1.110094,-0.09822734
0.392395,-0.1197009,1.110129,-0.09831712
