Time, X, Y, Z
0.002197266,0.1016245,1.145191,-0.08617947
0.004211426,0.1016137,1.145182,-0.08617306
0.01324463,0.1016082,1.145112,-0.08612785
0.02423096,0.1016842,1.145023,-0.08611414
0.02423096,0.1016844,1.145022,-0.08611357
0.03546143,0.1017092,1.144905,-0.08603245
0.04418945,0.1017888,1.14485,-0.0860026
0.04644775,0.1018127,1.144831,-0.08600205
0.05749512,0.1018597,1.144761,-0.08604951
0.06420898,0.1019014,1.144698,-0.08607014
0.06878662,0.1019323,1.14464,-0.08606535
0.07989502,0.1019641,1.144579,-0.0861076
0.08422852,0.1019709,1.144572,-0.08609737
0.09277344,0.1019536,1.144561,-0.08606042
0.1020508,0.1019388,1.144545,-0.08601083
0.104187,0.1019287,1.144535,-0.08599508
0.1133423,0.1018715,1.144485,-0.08593282
0.1242065,0.1018491,1.14449,-0.08590123
0.1242065,0.1018491,1.14449,-0.08590123
0.1356201,0.1017805,1.14449,-0.0857992
0.1442261,0.1017266,1.144536,-0.08572733
0.1467285,0.1017086,1.144553,-0.08571444
0.1574707,0.1016385,1.144621,-0.08573566
0.1641846,0.101631,1.144612,-0.08577311
0.1685791,0.101628,1.144619,-0.0858141
0.1799316,0.1015047,1.144681,-0.08584635
0.1842041,0.1015082,1.144667,-0.08590356
0.1907959,0.1015632,1.144629,-0.08597974
0.2019043,0.1015347,1.144614,-0.08597311
0.2042236,0.1015465,1.144612,-0.08596995
0.2132568,0.1015705,1.144614,-0.0859542
0.2241821,0.1015834,1.144593,-0.08595596
0.2243042,0.1015867,1.14459,-0.0859706
0.2353516,0.101571,1.14461,-0.0859431
0.2442017,0.1016693,1.144576,-0.08598292
0.248291,0.101704,1.144578,-0.08600499
0.2574463,0.1017408,1.144605,-0.08606206
0.2642212,0.1018389,1.144602,-0.08613347
0.2686157,0.1018892,1.144599,-0.08616517
0.2798462,0.1018658,1.144605,-0.08621357
0.2841797,0.101917,1.144638,-0.08620311
0.2905884,0.1020182,1.144709,-0.08620481
0.302124,0.1021453,1.144769,-0.08618948
0.3041992,0.1021701,1.144774,-0.08619162
0.3131104,0.1023046,1.144834,-0.08619262
0.3242188,0.1024398,1.144881,-0.08611494
0.3242188,0.1024264,1.144875,-0.08612795
0.3357544,0.1025978,1.144833,-0.08618475
0.3441772,0.1026631,1.144789,-0.08620533
