Time, X, Y, Z
13.92004,-0.1971352,0.9130042,0.1257215
15.43518,-0.1355313,0.913791,0.1245371
19.43994,-0.1161744,0.8857307,0.03429667
28.90002,-0.08136062,0.9226992,0.05077586
31.07996,-0.07826813,0.9085049,0.05779051
32.90002,-0.09517446,0.9081953,0.0489334
36.5,-0.1514148,0.8922227,0.1444172
39.95996,-0.2082986,0.8809845,0.2017052
43.54004,-0.1665993,0.8928198,0.1949924
45.07996,-0.1079101,0.9204664,0.1012552
48.42004,-0.1545361,0.8942432,0.1827848
51.57996,-0.2157836,0.8938681,0.2055828
54.90002,-0.2125488,0.8644961,0.1785342
58.02002,-0.1942103,0.8913273,0.1336627
60.93994,-0.1977903,0.8852909,0.1733249
63.81995,-0.2104901,0.8961689,0.1351678
86.57996,-0.1612927,0.8905143,0.1657287
88.21997,-0.1554794,0.9091825,0.09151988
90.80005,-0.2167783,0.893856,0.1962775
93.5,-0.1634592,0.8896928,0.1810118
96.30005,-0.2125877,0.8871924,0.1489572
98.59998,-0.1715265,0.8825152,0.1777849
100.1799,-0.1857177,0.9059522,0.1644349
102.7,-0.1886836,0.8793448,0.184724
105.02,-0.2360774,0.8903409,0.1899896
106.5,-0.1452377,0.9111361,0.1240626
108.8199,-0.1833353,0.8841526,0.1923966
111.48,-0.1504999,0.8901813,0.1592174
113.88,-0.1942712,0.8825213,0.1610408
115.2,-0.08230429,0.8946948,0.06553812
117.7,-0.1903187,0.8835957,0.1620369
140.6,-0.1563935,0.8889274,0.1321274
142.98,-0.2008601,0.878962,0.1462655
145.22,-0.1917187,0.8856043,0.1802163
147.22,-0.2142488,0.8893273,0.1599057
149.42,-0.2040721,0.8537583,0.2247164
151.12,-0.1837214,0.8978553,0.1611755
153.5599,-0.1949663,0.8665484,0.2011585
155.0599,-0.1705675,0.9177376,0.1874991
158.84,-0.1554924,0.9177474,0.1401852
161.38,-0.1851702,0.8829972,0.1775584
163.76,-0.2013859,0.8919447,0.1310469
166.12,-0.1589355,0.8931576,0.1643649
168.6,-0.2037348,0.8865733,0.2012286
170.78,-0.1521523,0.8901293,0.1677363
172.8,-0.2314224,0.8854687,0.1404763
195.64,-0.1498308,0.8988664,0.1948463
197.8,-0.1445623,0.8962219,0.1505913
199.14,-0.1164771,0.9150333,0.05383353
200.8199,-0.1425479,0.9081721,0.09965719
203.1799,-0.1829834,0.8836085,0.1557286
205.3199,-0.1488679,0.8654138,0.1713605
207.5599,-0.1849151,0.8846362,0.1681551
209.9399,-0.2118863,0.8868649,0.1406554
212.26,-0.183591,0.8744859,0.2005947
214.72,-0.1874006,0.8988912,0.1331661
217.26,-0.1797596,0.8797637,0.1710042
219.6799,-0.2224774,0.8868045,0.12734
221.8199,-0.1739651,0.8815728,0.171831
224.36,-0.2005786,0.891229,0.1864185
226.38,-0.1521775,0.8813415,0.1400763
