Time, X, Y, Z
13.92004,-0.2080655,0.86,0.1396715
15.43518,-0.1727248,0.86,0.1548241
19.43994,-0.2221697,0.86,0.2060287
28.90002,-0.155331,0.86,0.1516427
31.07996,-0.2012141,0.86,0.1516394
32.90002,-0.1909675,0.86,0.1928656
36.5,-0.151824,0.86,0.1411456
39.95996,-0.1996233,0.86,0.1870613
43.54004,-0.1574377,0.86,0.2017736
45.07996,-0.1833387,0.86,0.1459823
48.42004,-0.153953,0.86,0.1781768
51.57996,-0.2117863,0.86,0.2076125
54.90002,-0.1922277,0.86,0.1748594
58.02002,-0.2038344,0.86,0.1388312
60.93994,-0.1818563,0.86,0.1734112
63.81995,-0.2141173,0.86,0.1386064
86.57996,-0.1601646,0.86,0.1789896
88.21997,-0.1804341,0.86,0.1440134
90.80005,-0.2118696,0.86,0.2057664
93.5,-0.1612169,0.86,0.1840011
96.30005,-0.1977753,0.86,0.1427424
98.59998,-0.1646158,0.86,0.176191
100.1799,-0.2062607,0.86,0.2018897
102.7,-0.1681184,0.86,0.1727085
105.02,-0.2124698,0.86,0.1970893
106.5,-0.164072,0.86,0.1374975
108.8199,-0.1924974,0.86,0.1949381
111.48,-0.1569154,0.86,0.1623802
113.88,-0.1959775,0.86,0.1656891
115.2,-0.1946274,0.86,0.2042629
117.7,-0.209576,0.86,0.1694733
140.6,-0.1564928,0.86,0.1412363
142.98,-0.2034978,0.86,0.1456043
145.22,-0.1909125,0.86,0.1842512
147.22,-0.2224453,0.86,0.143971
149.42,-0.2185469,0.86,0.2096443
151.12,-0.1834146,0.86,0.1493137
153.5599,-0.2095014,0.86,0.2090678
155.0599,-0.1646168,0.86,0.1783186
158.84,-0.1936067,0.86,0.1417262
161.38,-0.186076,0.86,0.1866921
163.76,-0.2243262,0.86,0.1483649
166.12,-0.155941,0.86,0.1599917
168.6,-0.2086928,0.86,0.2061061
170.78,-0.1643662,0.86,0.1674587
172.8,-0.2236722,0.86,0.142143
195.64,-0.1618813,0.86,0.2004707
197.8,-0.1555361,0.86,0.1487485
199.14,-0.1928684,0.86,0.1400638
200.8199,-0.1772329,0.86,0.1831958
203.1799,-0.1929856,0.86,0.1480241
205.3199,-0.1513375,0.86,0.1629117
207.5599,-0.1919493,0.86,0.17125
209.9399,-0.2144626,0.86,0.1410141
212.26,-0.1870049,0.86,0.2030155
214.72,-0.1860839,0.86,0.1361344
217.26,-0.1882487,0.86,0.1732239
219.6799,-0.2218922,0.86,0.1538313
221.8199,-0.1529415,0.86,0.1612207
224.36,-0.1967658,0.86,0.1887459
226.38,-0.1556638,0.86,0.1355034
