Time, X, Y, Z
0,-0.1056418,1.127277,-0.03977636
0.004882813,-0.1056549,1.127254,-0.03977384
0.01635742,-0.1056483,1.127329,-0.03976406
0.02001953,-0.1056942,1.127352,-0.03976089
0.02709961,-0.1058114,1.127409,-0.03971909
0.03869629,-0.1057655,1.127569,-0.03958189
0.04003906,-0.1058009,1.127558,-0.03957251
0.04992676,-0.1058499,1.12762,-0.03951077
0.05993652,-0.105942,1.127583,-0.03944753
0.06384277,-0.105982,1.127594,-0.03944656
0.07189941,-0.1060387,1.127629,-0.0394502
0.07995605,-0.1060541,1.127603,-0.03950152
0.08190918,-0.1060615,1.127591,-0.0395098
0.09289551,-0.106159,1.127727,-0.03954731
0.09997559,-0.1061886,1.127789,-0.03950262
0.104126,-0.1062305,1.127763,-0.03946917
0.1151123,-0.1062062,1.127843,-0.03945625
0.1199951,-0.1062916,1.127912,-0.03945154
0.1262207,-0.1064021,1.128012,-0.03943381
0.1375732,-0.1064323,1.128251,-0.03929785
0.1400146,-0.1064214,1.128286,-0.0393641
0.1484375,-0.1063909,1.12845,-0.0394894
0.1594238,-0.1064454,1.128573,-0.03951406
0.1600342,-0.106445,1.128583,-0.03949805
0.1706543,-0.1065112,1.128827,-0.03950749
0.1800537,-0.1064992,1.128961,-0.03944309
0.1818848,-0.1064968,1.129004,-0.03942901
0.1928711,-0.1064987,1.129149,-0.03957482
0.1999512,-0.1065378,1.129208,-0.03959641
0.2041016,-0.1065674,1.129258,-0.03961131
0.2189941,-0.1066325,1.129413,-0.03963692
0.2199707,-0.1066572,1.129399,-0.03959639
0.2259521,-0.1067502,1.129437,-0.03957042
0.239502,-0.1067997,1.129466,-0.03955577
0.2399902,-0.1068139,1.129468,-0.03956375
0.2478027,-0.1068948,1.129492,-0.03960405
0.2589111,-0.1069663,1.129518,-0.03962386
0.2600098,-0.1069607,1.129526,-0.03963502
0.2700195,-0.1069773,1.129625,-0.03975578
0.2800293,-0.1069411,1.129566,-0.03987232
0.2811279,-0.1069394,1.129559,-0.03987768
0.2921143,-0.1069165,1.129507,-0.03983384
0.3000488,-0.1070015,1.129573,-0.03982578
0.3034668,-0.10704,1.129602,-0.03982456
0.3144531,-0.1070206,1.129558,-0.03982748
0.3199463,-0.1070162,1.129542,-0.03985353
0.3256836,-0.1070066,1.129512,-0.03988399
0.3366699,-0.1070037,1.12935,-0.03986567
0.3399658,-0.1070191,1.129327,-0.03987062
0.3476563,-0.1070627,1.129264,-0.03988504
0.3590088,-0.1070514,1.129173,-0.03985636
0.3599854,-0.1070557,1.129164,-0.03986147
0.3721924,-0.1070967,1.129027,-0.03991875
0.3800049,-0.1071191,1.128916,-0.03986774
0.3809814,-0.1071241,1.128906,-0.03986216
0.3922119,-0.1072412,1.128857,-0.03978026
0.4000244,-0.1072889,1.128788,-0.03973444
0.4034424,-0.107315,1.128749,-0.0397089
0.4144287,-0.1073789,1.128674,-0.03968671
0.4200439,-0.107515,1.128618,-0.03959826
0.4255371,-0.1076661,1.128559,-0.03949766
0.4366455,-0.1077631,1.128581,-0.0394306
0.4399414,-0.1078016,1.128545,-0.03939602
0.4477539,-0.1079038,1.128446,-0.03930461
0.4588623,-0.1080291,1.128353,-0.03929041
0.4599609,-0.1080368,1.128345,-0.03928652
0.4700928,-0.1080879,1.128276,-0.03925039
0.4799805,-0.1080895,1.128268,-0.03928046
0.4810791,-0.1080916,1.128267,-0.03928708
0.4921875,-0.1081107,1.128261,-0.03939873
0.5,-0.1081046,1.128271,-0.03942037
0.5032959,-0.1081046,1.128278,-0.03942838
0.5145264,-0.1081544,1.128285,-0.03940637
0.5200195,-0.1081451,1.128275,-0.03941961
0.5267334,-0.1081379,1.128272,-0.03942955
0.5366211,-0.1081247,1.12833,-0.03937703
0.5400391,-0.108102,1.128308,-0.03935145
0.5484619,-0.1080242,1.128249,-0.03927824
0.5588379,-0.1078844,1.128262,-0.03919058
0.5599365,-0.1078684,1.128263,-0.039179
0.5700684,-0.1077177,1.12817,-0.03898363
0.5799561,-0.1075745,1.127879,-0.0387865
0.5809326,-0.1075617,1.127862,-0.03877078
0.5925293,-0.1073947,1.127709,-0.03865649
