Time, X, Y, Z
0,0.1349231,1.053819,-0.01141033
0.004882813,0.1349926,1.053791,-0.01144588
0.01635742,0.13506,1.053768,-0.01161745
0.02001953,0.1349796,1.053818,-0.01156853
0.02709961,0.1348466,1.053871,-0.01150332
0.03869629,0.1348281,1.053976,-0.01151092
0.04003906,0.1347951,1.053983,-0.01153812
0.04992676,0.1347085,1.054043,-0.01162577
0.05993652,0.134716,1.054029,-0.01171701
0.06384277,0.134705,1.054135,-0.01178734
0.07189941,0.1346982,1.054272,-0.01191559
0.07995605,0.1347035,1.05424,-0.01194867
0.08190918,0.1347075,1.054238,-0.01196866
0.09289551,0.1345593,1.054414,-0.01212692
0.09997559,0.1344369,1.054459,-0.01224312
0.104126,0.134341,1.054431,-0.01233026
0.1151123,0.1341881,1.054462,-0.01250058
0.1199951,0.1340479,1.054437,-0.012482
0.1262207,0.1338487,1.054424,-0.01247285
0.1375732,0.1338003,1.054314,-0.01233813
0.1400146,0.1337961,1.054308,-0.01232573
0.1484375,0.1337793,1.054267,-0.01227479
0.1594238,0.13367,1.054103,-0.01210326
0.1600342,0.1336607,1.054092,-0.01210554
0.1706543,0.1334853,1.053963,-0.01203366
0.1800537,0.1334244,1.053727,-0.01189086
0.1818848,0.1334095,1.053688,-0.0118628
0.1928711,0.1333858,1.053518,-0.01178093
0.1999512,0.1333124,1.05341,-0.011702
0.2041016,0.1332588,1.053333,-0.01163767
0.2189941,0.1330631,1.053129,-0.0114651
0.2199707,0.1330287,1.053121,-0.01150425
0.2259521,0.1328741,1.053018,-0.01148388
0.239502,0.1327527,1.052724,-0.01141351
0.2399902,0.1327481,1.052678,-0.01142906
0.2478027,0.1326388,1.052388,-0.01144323
0.2589111,0.1325579,1.052169,-0.01157328
0.2600098,0.1325551,1.052151,-0.01158483
0.2700195,0.1324612,1.051927,-0.01174323
0.2800293,0.1323691,1.051551,-0.01189594
0.2811279,0.1323579,1.051509,-0.01190674
0.2921143,0.1322411,1.051137,-0.01173244
0.3000488,0.1320478,1.050947,-0.01159991
0.3034668,0.1319496,1.050833,-0.01153469
0.3144531,0.13196,1.050401,-0.0113851
0.3199463,0.1319555,1.05009,-0.01132557
0.3256836,0.1319532,1.049702,-0.01124817
0.3366699,0.1319679,1.049096,-0.01107588
0.3399658,0.1319383,1.048941,-0.01102395
0.3476563,0.1318601,1.048523,-0.01089035
0.3590088,0.1319428,1.048018,-0.01064663
0.3599854,0.1319494,1.047977,-0.0106408
0.3721924,0.1320575,1.047407,-0.01057677
0.3800049,0.1321796,1.047,-0.01038158
0.3809814,0.1321896,1.046952,-0.01035897
