Time, X, Y, Z
20.26001,-0.2052452,0.8996402,0.2018401
25.12,-0.2192956,0.8934977,0.1523563
30.59998,-0.2296966,0.8953612,0.2152874
34.93994,-0.1941994,0.9043866,0.1419795
38.88,-0.2355675,0.918146,0.1784611
44.06006,-0.1481576,0.9095423,0.1771508
49.76001,-0.1972946,0.8958393,0.1877033
51.56006,-0.02876423,0.9001086,0.03090135
53.33997,-0.0554706,0.8928521,0.04032784
56.52002,-0.1828226,0.9030092,0.1459172
65.88,-0.07214148,0.8851634,0.1020749
69.97998,-0.06897631,0.9049736,0.09766268
72.85999,-0.09373888,0.9111955,0.08098332
75.97998,-0.1481478,0.903098,0.1039619
83.57996,-0.231272,0.9062878,0.2285713
87.97998,-0.1479559,0.9036362,0.1517555
93.80005,-0.1848333,0.9280126,0.2168805
98.33997,-0.2405215,0.8972793,0.2033673
104.34,-0.1602861,0.896506,0.1822602
107.72,-0.2072814,0.8900775,0.151675
111.58,-0.2078003,0.889435,0.1913781
113.7,-0.07905889,0.9138826,0.08711867
116.14,-0.05090334,0.8854657,0.1152754
118.28,-0.09633081,0.8978497,0.08645928
129.3,-0.1920341,0.8952327,0.1784317
134.58,-0.2126014,0.8944334,0.2189086
139.34,-0.2048929,0.8908865,0.1565414
143.36,-0.1571699,0.8954927,0.1881164
148.02,-0.178722,0.8961279,0.1560644
150.6801,-0.1107873,0.9136252,0.1078109
153.58,-0.07739589,0.8901095,0.09032062
158.86,-0.1554891,0.9017834,0.1565413
161.8199,-0.08509938,0.8972366,0.07460517
163.84,-0.07074922,0.8995687,0.04571646
166.28,-0.04030456,0.8893944,0.04034477
170.3199,-0.1401832,0.8969696,0.1629432
175.84,-0.1577344,0.8986017,0.1747695
181.16,-0.1078732,0.900192,0.1112731
187.66,-0.2078719,0.8924019,0.1301806
194.84,-0.2103288,0.8843694,0.1911893
197.4,-0.1161095,0.9119703,0.121166
201.76,-0.1525778,0.8969139,0.163612
205.5,-0.2122104,0.8919924,0.1557916
216,-0.1601672,0.9214588,0.1567571
218.5,-0.08617754,0.8986011,0.09988271
244.4399,-0.2204069,0.8887117,0.171581
247.4399,-0.07599951,0.9213047,0.08555834
253.5,-0.06247771,0.8868774,0.03781356
261.8199,-0.1832093,0.8952327,0.2075476
267.5599,-0.1634042,0.904326,0.1468316
270.46,-0.1081843,0.9139838,0.08933562
275.58,-0.09012491,0.9177285,0.05296821
278.4,-0.07702865,0.9096767,0.1715336
280.84,-0.2270604,0.9182611,0.136288
286.2,-0.2353084,0.886672,0.1954585
290.04,-0.06044074,0.8857428,-0.01187192
297.96,-0.1622472,0.9225423,0.1719922
303.78,-0.04137369,0.9033886,0.09760182
309.38,-0.01808246,0.8864858,0.004925522
314.48,-0.02814936,0.8879047,0.135127
