Time, X, Y, Z
20.26001,-0.1985593,0.86,0.2003861
25.12,-0.221186,0.86,0.1412304
30.59998,-0.1914354,0.86,0.2003895
34.93994,-0.1759878,0.86,0.1496662
38.88,-0.2199266,0.86,0.174942
44.06006,-0.1528281,0.86,0.1566835
49.76001,-0.1802177,0.86,0.1938013
51.56006,-0.1728248,0.86,0.1569877
53.33997,-0.2185564,0.86,0.1523216
56.52002,-0.1623151,0.86,0.1435845
65.88,-0.2235735,0.86,0.1675883
69.97998,-0.1732516,0.86,0.2021077
72.85999,-0.2231812,0.86,0.2058443
75.97998,-0.1695849,0.86,0.1691314
83.57996,-0.2085743,0.86,0.2096766
87.97998,-0.1507809,0.86,0.1425067
93.80005,-0.1702521,0.86,0.2052579
98.33997,-0.2214611,0.86,0.1879235
104.34,-0.1642537,0.86,0.1742597
107.72,-0.1919414,0.86,0.1397498
111.58,-0.2045751,0.86,0.189876
113.7,-0.1650286,0.86,0.1717219
116.14,-0.1984634,0.86,0.1477657
118.28,-0.2127891,0.86,0.2051757
129.3,-0.1616022,0.86,0.1575581
134.58,-0.1941267,0.86,0.2059571
139.34,-0.189568,0.86,0.1441015
143.36,-0.1514203,0.86,0.2081606
148.02,-0.2040354,0.86,0.1696154
150.6801,-0.1719443,0.86,0.2081974
153.58,-0.2232201,0.86,0.1865396
158.86,-0.1725278,0.86,0.1497477
161.8199,-0.2012454,0.86,0.206835
163.84,-0.2054883,0.86,0.1681763
166.28,-0.1640492,0.86,0.2050357
170.3199,-0.1580522,0.86,0.146201
175.84,-0.1645066,0.86,0.1820955
181.16,-0.2036965,0.86,0.1962282
187.66,-0.2041813,0.86,0.1400746
194.84,-0.1815408,0.86,0.1923078
197.4,-0.1993438,0.86,0.1615018
201.76,-0.1578201,0.86,0.1533659
205.5,-0.2018007,0.86,0.1428625
216,-0.1539438,0.86,0.1742833
218.5,-0.2151186,0.86,0.2049693
244.4399,-0.2083474,0.86,0.1438975
247.4399,-0.1749669,0.86,0.1759554
253.5,-0.2115909,0.86,0.191768
261.8199,-0.175186,0.86,0.1996568
267.5599,-0.1810076,0.86,0.1631546
270.46,-0.1998137,0.86,0.1984859
275.58,-0.1679902,0.86,0.1380156
278.4,-0.1915349,0.86,0.1759795
280.84,-0.1936902,0.86,0.1352681
286.2,-0.2232126,0.86,0.1992668
290.04,-0.2119264,0.86,0.1375983
297.96,-0.1932741,0.86,0.1793177
303.78,-0.1501278,0.86,0.1773106
309.38,-0.1718194,0.86,0.136652
314.48,-0.1940211,0.86,0.1790311
