Time, X, Y, Z
0,-0.15136,1.153846,-0.07204437
0.005004883,-0.1513537,1.153833,-0.0720806
0.01586914,-0.1513949,1.153798,-0.07211001
0.02001953,-0.1514323,1.153817,-0.07211156
0.02722168,-0.1514999,1.153857,-0.07211308
0.03833008,-0.1514863,1.153879,-0.07214434
0.04003906,-0.1514948,1.153885,-0.07213888
0.04919434,-0.1515512,1.153918,-0.07209709
0.06005859,-0.1515657,1.153882,-0.07210001
0.0604248,-0.151567,1.153881,-0.07209933
0.07141113,-0.151626,1.153846,-0.07207806
0.07995605,-0.1516742,1.153835,-0.07211824
0.08276367,-0.1517001,1.153829,-0.07213798
0.09411621,-0.1518624,1.153845,-0.07210453
0.09997559,-0.1519387,1.153919,-0.07202776
0.1080322,-0.1520681,1.153997,-0.07192627
0.1159668,-0.1522145,1.153971,-0.07186708
0.1199951,-0.15225,1.153981,-0.07184529
0.1258545,-0.1523012,1.153999,-0.0718115
0.137085,-0.1524228,1.154011,-0.07176025
0.1400146,-0.1524563,1.154014,-0.07175086
0.1481934,-0.1523868,1.153923,-0.07181382
0.1594238,-0.1525901,1.153826,-0.0718586
0.1600342,-0.1526035,1.153818,-0.07186046
0.1705322,-0.1527817,1.153643,-0.07180336
0.1800537,-0.1529158,1.153628,-0.07166171
0.1817627,-0.1529421,1.153632,-0.07163385
0.192749,-0.1531315,1.15374,-0.07150911
0.1999512,-0.1531988,1.153691,-0.0714794
0.2038574,-0.1532369,1.153642,-0.07147764
0.2150879,-0.1532915,1.153684,-0.07149445
0.2199707,-0.1533238,1.153755,-0.07151248
0.2261963,-0.1533773,1.153904,-0.071545
0.2369385,-0.1534198,1.153995,-0.0715446
0.2399902,-0.1534294,1.154013,-0.07153422
0.2481689,-0.1533925,1.154106,-0.07148182
0.2600098,-0.1533135,1.154236,-0.07143402
0.262085,-0.1532952,1.154249,-0.07142277
0.2701416,-0.153337,1.154304,-0.07143398
0.2800293,-0.1534511,1.154391,-0.07141295
0.2813721,-0.1534838,1.154415,-0.07140332
0.2926025,-0.1538204,1.154421,-0.07132535
0.3000488,-0.1541708,1.154315,-0.07126194
0.303833,-0.1544313,1.154192,-0.07122415
0.3151855,-0.154863,1.154077,-0.07111433
0.3199463,-0.1549628,1.154135,-0.07108799
0.3260498,-0.1550026,1.154301,-0.07112204
0.3370361,-0.155036,1.154464,-0.07117684
0.3399658,-0.1550326,1.15449,-0.0712035
0.3480225,-0.1551915,1.154405,-0.07114214
0.3591309,-0.1556378,1.154108,-0.07101282
0.3599854,-0.1556819,1.154083,-0.07100245
0.3703613,-0.1560433,1.154114,-0.07085085
0.3800049,-0.1561342,1.154018,-0.07105631
0.3815918,-0.1561415,1.154001,-0.07110563
0.3925781,-0.1565347,1.153973,-0.07112835
0.4000244,-0.1569241,1.154023,-0.07100493
0.4038086,-0.1571648,1.154076,-0.07087475
0.4176025,-0.1574595,1.154048,-0.07070862
