Time, X, Y, Z
0,0.09482997,1.118291,-0.07380855
0.005004883,0.09487519,1.118279,-0.07382998
0.01586914,0.0949344,1.118246,-0.0738776
0.02001953,0.09492438,1.118266,-0.07390623
0.02722168,0.09490511,1.118308,-0.07396166
0.03833008,0.09497135,1.118317,-0.07406147
0.04003906,0.09496441,1.118315,-0.07406835
0.04919434,0.09490783,1.1183,-0.07409728
0.06005859,0.09492169,1.118264,-0.07414204
0.0604248,0.0949212,1.118261,-0.07414135
0.07141113,0.09489289,1.118185,-0.07406136
0.07995605,0.09482589,1.118148,-0.07402727
0.08276367,0.0947895,1.118129,-0.07401426
0.09411621,0.09464034,1.118035,-0.07400478
0.09997559,0.09457608,1.118026,-0.0739926
0.1080322,0.09446575,1.117967,-0.07397388
0.1159668,0.09431858,1.117859,-0.07390448
0.1199951,0.09429979,1.117814,-0.07389471
0.1258545,0.09427946,1.117744,-0.07388188
0.137085,0.0941852,1.117648,-0.07387738
0.1400146,0.09415646,1.117624,-0.07387562
0.1481934,0.09421663,1.117445,-0.0739399
0.1594238,0.09417509,1.11728,-0.07399651
0.1600342,0.09417268,1.117269,-0.07399954
0.1705322,0.09410917,1.117069,-0.07399523
0.1800537,0.09404468,1.116987,-0.07398564
0.1817627,0.09403096,1.11698,-0.07397597
0.192749,0.09389652,1.116971,-0.07387118
0.1999512,0.09379166,1.116907,-0.07383715
0.2038574,0.09370834,1.116866,-0.07381737
0.2150879,0.09354439,1.11682,-0.073806
0.2199707,0.09345634,1.116797,-0.07379021
0.2261963,0.09331832,1.116761,-0.07376373
0.2369385,0.0930546,1.116736,-0.07370506
0.2399902,0.09296407,1.116722,-0.07368794
0.2481689,0.09262737,1.116677,-0.07358654
0.2600098,0.09222883,1.116632,-0.07336996
0.262085,0.09215444,1.116619,-0.07332681
0.2701416,0.09198061,1.116529,-0.07324493
0.2800293,0.09164591,1.116457,-0.07313101
0.2813721,0.09155855,1.116443,-0.07310143
0.2926025,0.09122791,1.116441,-0.07309397
0.3000488,0.09104801,1.116304,-0.07308203
0.303833,0.09095416,1.116149,-0.07307085
0.3151855,0.09077621,1.115903,-0.07309459
0.3199463,0.09070931,1.115833,-0.07307565
0.3260498,0.0905983,1.115705,-0.07300802
0.3370361,0.09046339,1.115457,-0.07290375
0.3399658,0.0904403,1.115369,-0.07289179
0.3480225,0.09031197,1.115228,-0.07286313
0.3591309,0.09011012,1.114998,-0.07272907
0.3599854,0.09008997,1.11498,-0.07271756
0.3703613,0.08986489,1.114739,-0.0727486
0.3800049,0.08969264,1.114382,-0.07300018
0.3815918,0.08966308,1.11432,-0.07304899
0.3925781,0.08951099,1.114078,-0.07315044
0.4000244,0.08933587,1.113921,-0.07320032
0.4038086,0.08921622,1.113812,-0.07322839
0.4176025,0.08888081,1.113351,-0.07329416
0.4200439,0.08874464,1.113377,-0.07324623
0.4255371,0.08836938,1.113464,-0.0731059
0.4367676,0.0877341,1.113293,-0.07271984
0.4399414,0.08758786,1.113286,-0.07255471
0.4482422,0.08730819,1.113183,-0.07212132
0.4589844,0.0865526,1.112454,-0.07189277
0.4599609,0.08647335,1.112381,-0.07186568
0.470459,0.08577071,1.111613,-0.07160784
0.4799805,0.08510273,1.110928,-0.07157736
0.4819336,0.08496835,1.110768,-0.07158212
0.4929199,0.08418246,1.109898,-0.07180886
0.5,0.08355805,1.109332,-0.07187657
0.5039063,0.08309706,1.108909,-0.07191215
0.5151367,0.08210368,1.10795,-0.07197313
0.5200195,0.08160703,1.10744,-0.07200018
0.5258789,0.08089339,1.106676,-0.07210498
0.5371094,0.07962958,1.105692,-0.07222986
0.5400391,0.07924517,1.105412,-0.07227838
0.5484619,0.07814187,1.104254,-0.07239044
0.5594482,0.07708217,1.102752,-0.07263128
0.5600586,0.07702128,1.102656,-0.07264949
0.5723877,0.07587952,1.100165,-0.07326677
0.5799561,0.07531051,1.098713,-0.07365955
0.581543,0.07520974,1.098452,-0.07373224
0.5926514,0.07445723,1.096441,-0.07415888
0.5999756,0.07406599,1.095011,-0.07441638
0.6037598,0.07387144,1.094028,-0.07457364
0.6151123,0.07296855,1.091639,-0.07486752
0.6199951,0.07260913,1.090565,-0.07496871
0.6259766,0.0721883,1.088899,-0.07506204
0.637085,0.07162345,1.086785,-0.07507958
0.6400146,0.071458,1.086165,-0.07509111
0.6481934,0.07097066,1.084213,-0.07522023
0.6593018,0.07050363,1.081871,-0.07526091
0.6600342,0.07047053,1.081702,-0.07526231
0.6705322,0.07010204,1.079003,-0.0752503
0.6800537,0.06995451,1.076888,-0.07533738
0.6816406,0.06993935,1.076536,-0.07537122
0.6925049,0.06988858,1.07439,-0.0757056
0.6999512,0.06986456,1.072755,-0.07581408
0.7039795,0.0698303,1.071647,-0.07582027
0.715332,0.06964597,1.069304,-0.07589421
0.7199707,0.06947192,1.068282,-0.07593864
0.7277832,0.06916838,1.066216,-0.07600361
0.7373047,0.06895794,1.064349,-0.07607363
0.7399902,0.0688892,1.063782,-0.07609029
0.748291,0.06869498,1.061922,-0.07614109
0.7592773,0.06859583,1.060032,-0.07614942
0.7600098,0.06858749,1.059893,-0.07615013
0.7706299,0.06820104,1.057326,-0.07630788
0.7800293,0.06798872,1.055523,-0.07652365
0.7817383,0.06796354,1.055209,-0.07655096
0.793335,0.06793848,1.052924,-0.07662752
0.8000488,0.06796319,1.05139,-0.07678103
0.8043213,0.06800406,1.050128,-0.07695431
0.815918,0.06815895,1.047703,-0.07738703
0.8199463,0.06823659,1.046763,-0.07753752
0.8266602,0.06842687,1.045035,-0.07787177
0.8377686,0.06864099,1.042955,-0.07815532
0.8399658,0.0687069,1.042504,-0.07822402
0.8491211,0.06882735,1.04052,-0.07852206
0.8599854,0.06875814,1.038268,-0.07890984
0.8601074,0.06875946,1.03824,-0.07891615
0.871582,0.06886384,1.036026,-0.07948044
0.8800049,0.06895331,1.034181,-0.07988589
0.8850098,0.06903177,1.032796,-0.08016907
0.894043,0.06902798,1.031012,-0.0803386
0.9000244,0.06897698,1.029746,-0.08056177
0.9044189,0.06889569,1.028624,-0.08085218
0.9155273,0.06882581,1.026578,-0.08158037
0.9200439,0.0687809,1.025613,-0.08194269
0.9263916,0.0686797,1.02377,-0.08253436
0.9377441,0.06874274,1.021098,-0.08328326
0.9399414,0.06876226,1.020529,-0.08341525
0.9488525,0.0688256,1.018075,-0.08380762
0.9598389,0.06890836,1.01565,-0.08433625
0.9599609,0.06890928,1.01562,-0.08434308
0.9709473,0.06904405,1.012689,-0.08498688
0.9799805,0.06935304,1.010483,-0.08549041
0.9822998,0.06944562,1.009884,-0.08561023
0.9932861,0.0698963,1.007393,-0.08602439
1,0.07021825,1.005771,-0.08630347
1.004517,0.0704391,1.004458,-0.08660297
1.015869,0.07102776,1.001939,-0.08717898
1.02002,0.07132108,1.000947,-0.08741924
1.026733,0.07186028,0.9990316,-0.08812964
1.040039,0.07289312,0.9957888,-0.08944364
1.040771,0.07295024,0.9956212,-0.08951505
1.04895,0.07353824,0.9938257,-0.09002253
1.059204,0.07441361,0.9912867,-0.09073052
1.060059,0.07448705,0.9910772,-0.09079115
1.070313,0.07536625,0.9884655,-0.09136066
1.079956,0.07634908,0.986034,-0.09188624
1.081177,0.07648862,0.9857222,-0.0919553
1.092651,0.07758987,0.9832173,-0.09243747
1.099976,0.07815833,0.9819596,-0.09292407
1.103638,0.0785716,0.9809227,-0.09319273
1.114868,0.07944486,0.9787804,-0.0937931
1.119995,0.07984151,0.9777137,-0.09419818
1.125854,0.08069271,0.9763587,-0.09459823
1.136841,0.0821008,0.974273,-0.09515643
1.140015,0.08260665,0.9735629,-0.09533786
1.147827,0.0839244,0.9716219,-0.09581729
1.158936,0.08531867,0.9694079,-0.09634476
1.160034,0.08529294,0.9693761,-0.09651056
1.170166,0.08635195,0.967387,-0.09739659
1.180054,0.0871364,0.9656748,-0.09807695
1.181763,0.08728713,0.9653558,-0.09819539
1.195313,0.0884407,0.963113,-0.09892473
1.199951,0.08884083,0.9622882,-0.09913135
1.203735,0.08933493,0.9612199,-0.09933861
1.214722,0.09038425,0.9591798,-0.09982427
1.219971,0.09061704,0.9584597,-0.1000085
1.22583,0.09106348,0.9573845,-0.1002308
1.236938,0.09193811,0.955718,-0.1003236
1.23999,0.09214388,0.9551302,-0.1003662
1.247925,0.09281354,0.953706,-0.1005503
1.259033,0.09357234,0.9521667,-0.1007433
1.26001,0.09361399,0.9519881,-0.1007336
1.271362,0.09448339,0.9499885,-0.1009676
1.280029,0.09508082,0.9486434,-0.1012281
1.28125,0.09520775,0.9484314,-0.1011977
1.29248,0.09590384,0.9467427,-0.1013385
1.300049,0.09641087,0.9456782,-0.1015441
1.303467,0.09670699,0.9450095,-0.1016494
1.314697,0.09727809,0.943637,-0.1018585
1.319946,0.09755683,0.9430908,-0.1018354
1.325806,0.09788375,0.9423949,-0.101869
1.336914,0.09833501,0.9414665,-0.1019998
1.339966,0.09847682,0.9410838,-0.1020175
1.349854,0.09886851,0.9399137,-0.1020038
1.359009,0.09905174,0.9391652,-0.1018453
1.359985,0.09895799,0.9391459,-0.1018917
1.370117,0.09895272,0.9381621,-0.1018523
1.380005,0.09887021,0.9373883,-0.101502
1.381226,0.09885085,0.9372456,-0.101513
1.392334,0.09890506,0.9362923,-0.1015435
1.400024,0.09890468,0.9355524,-0.1013556
1.403564,0.09888855,0.9351276,-0.1012654
1.414795,0.09880811,0.9341257,-0.1012106
1.420044,0.09877063,0.9337147,-0.1010356
1.425903,0.09869475,0.9331243,-0.1008773
1.436768,0.09885065,0.9325814,-0.1010111
1.439941,0.09887709,0.9325635,-0.1010307
1.447998,0.0989395,0.9321808,-0.1010581
1.458984,0.09904566,0.9318275,-0.1008401
1.459961,0.09911389,0.9319326,-0.100864
1.470093,0.0993043,0.9318701,-0.1007162
1.47998,0.09945539,0.9323392,-0.1007435
1.481323,0.09947246,0.9323874,-0.1007327
1.492432,0.09959272,0.9328426,-0.1005913
1.5,0.09962565,0.9333214,-0.1004811
1.50647,0.09968085,0.9338509,-0.1004085
1.514404,0.09971853,0.9343646,-0.1003614
1.52002,0.0996627,0.9348828,-0.1002952
1.525391,0.09959459,0.9354331,-0.1002285
1.536621,0.09962361,0.9363033,-0.1004121
1.540039,0.09958755,0.9365699,-0.1004464
1.547729,0.09957241,0.9373464,-0.100481
1.558838,0.09957445,0.937865,-0.1005586
1.560059,0.099576,0.9379179,-0.1005516
1.569824,0.09954751,0.9386236,-0.1005192
1.579956,0.09945179,0.9391887,-0.1003397
1.580933,0.09943885,0.9392468,-0.1003306
1.592285,0.09937035,0.9397789,-0.1002303
1.599976,0.09923431,0.940202,-0.1001082
1.603271,0.09914916,0.9404444,-0.1000319
1.614624,0.09917767,0.9409884,-0.0999833
1.619995,0.09917652,0.9415076,-0.09984697
1.625366,0.09915356,0.9420546,-0.09971625
1.636475,0.09917661,0.9426068,-0.09939689
1.640015,0.09914783,0.9428101,-0.09943673
1.647949,0.09908047,0.9433565,-0.09934174
1.660034,0.09847528,0.9445883,-0.09894721
1.662354,0.09834957,0.9447579,-0.09886604
1.6698,0.09801427,0.9452104,-0.0986499
1.680054,0.09749315,0.9457021,-0.09826103
1.680298,0.09741043,0.9457881,-0.09820322
1.691406,0.09703895,0.9460443,-0.09784552
1.699951,0.09653261,0.9462888,-0.09760085
1.702637,0.09617639,0.9464443,-0.09743515
1.713745,0.09578579,0.9467468,-0.0969723
1.719971,0.0954832,0.9469197,-0.09660795
1.724854,0.09513748,0.9471142,-0.09622114
1.736084,0.09455408,0.9470284,-0.09594603
1.73999,0.0943082,0.947149,-0.0958951
1.747192,0.09375436,0.9473417,-0.09567977
1.758179,0.09352237,0.9474159,-0.09542566
1.76001,0.09345645,0.9474514,-0.09537078
1.769409,0.09302955,0.9475958,-0.0950162
1.780029,0.09262451,0.9477492,-0.09481246
1.780396,0.0926051,0.9477577,-0.09480213
1.791504,0.09239904,0.9478248,-0.09452722
1.800049,0.09241341,0.9478204,-0.09432047
1.802734,0.09240689,0.9478225,-0.09423197
1.816772,0.09251575,0.9477752,-0.09408243
1.819946,0.09264609,0.9476814,-0.09386452
1.824707,0.09279437,0.9476112,-0.0936477
1.835938,0.09275988,0.9475373,-0.09387605
1.839966,0.09279892,0.9475372,-0.09394999
1.846924,0.09288007,0.947521,-0.09408406
1.858154,0.09281054,0.9477373,-0.09389073
1.859985,0.09277709,0.9478004,-0.09402311
1.869263,0.0926716,0.9480169,-0.09440559
1.880005,0.0925504,0.9482633,-0.09460469
1.880371,0.09254805,0.9482728,-0.09461813
1.891479,0.09250843,0.9483733,-0.09480555
1.900024,0.09249922,0.9483629,-0.09499633
1.902588,0.09248979,0.9483665,-0.09507558
1.913696,0.09243146,0.9484045,-0.09514886
1.920044,0.09249374,0.9483666,-0.09512959
1.924683,0.09253605,0.9483417,-0.09512075
1.935791,0.0925909,0.9482877,-0.09499667
1.939941,0.09268969,0.9482155,-0.09479612
1.947021,0.09287541,0.9480866,-0.09446017
1.958374,0.0929656,0.9480383,-0.09445513
1.959961,0.09299753,0.9480242,-0.09443912
1.971436,0.09317575,0.9479406,-0.0943095
1.97998,0.0933011,0.9478658,-0.09416539
1.980103,0.09330327,0.9478647,-0.09416325
1.991333,0.0935009,0.9477794,-0.09401308
2,0.09365297,0.9478732,-0.09392048
2.002563,0.09371758,0.9479079,-0.093884
2.01355,0.09376641,0.9480535,-0.09374501
2.02002,0.09387099,0.9481108,-0.09356158
2.024902,0.09396458,0.9481655,-0.09340414
2.036133,0.09418558,0.9480844,-0.09268606
2.040039,0.09424877,0.9480726,-0.0926073
2.047363,0.09439057,0.9480492,-0.09236953
