Time, X, Y, Z
0,-0.1313061,0.9114608,0.1527769
0,-0.2603375,0.8908,0.1628629
0,-0.1685745,0.894612,0.174587
0,-0.1838039,0.9169297,0.2035699
0,-0.1459578,0.9193712,0.1812103
0,-0.2112602,0.9038709,0.1779659
0,-0.2228778,0.9018422,0.2187926
0,-0.2136147,0.8978218,0.1677878
0,-0.1710731,0.9086004,0.1696991
0,-0.227794,0.9200681,0.1497559
0,-0.1402588,0.8978719,0.161906
0,-0.1619516,0.9007865,0.203342
0,-0.2308757,0.8947814,0.1679154
0,-0.1703409,0.8645548,0.1864565
0,-0.2041744,0.9010416,0.1655227
0,-0.2243028,0.8950186,0.1858616
0,-0.2156648,0.8898861,0.2025782
0,-0.1743737,0.8845614,0.1517341
0,-0.1991626,0.8895711,0.1831275
0,-0.197666,0.8983417,0.157302
0,-0.2348621,0.9132541,0.2260191
0,-0.2551832,0.9082593,0.1749442
0,-0.1995412,0.9032989,0.1952329
0,-0.2191499,0.913826,0.2411064
0,-0.2087229,0.8843224,0.1608425
0,-0.1749201,0.8953277,0.1538439
0,-0.1799678,0.8859094,0.2030356
0,-0.1774817,0.9436005,0.1970542
0,-0.1968941,0.8923701,0.1574734
0,-0.2257684,0.9017587,0.1809801
0,-0.1476228,0.8915908,0.220783
0,-0.245852,0.9039871,0.190485
0,-0.1451317,0.9164543,0.2041647
0,-0.1824776,0.917411,0.2165607
0,-0.1255237,0.9202486,0.05801046
0,-0.2127946,0.9105205,0.1268118
0,-0.1394981,0.887763,0.2046515
0,-0.0991366,0.8853744,-0.0119344
0,-0.140371,0.94376,0.1123108
0,-0.2109208,0.9210407,0.09286933
0,-0.1795314,0.8809069,0.210769
0,-0.1801924,0.8693672,0.1428758
0,-0.1756483,0.8671494,0.1945142
0,-0.2470196,0.888875,0.2077679
0,-0.2231097,0.8848927,0.1651919
0,-0.1689248,0.8787501,0.1783976
0,-0.2553442,0.883305,0.1355019
0,-0.199684,0.8992069,0.1763017
0,-0.2039463,0.8853086,0.1056681
0,-0.05009504,0.8812212,0.1784796
0,-0.2442651,0.8743117,0.1540488
0,-0.1812212,0.8684244,0.1832749
11.98364,-0.1646418,0.8819225,0.2010592
13.14365,-0.06514762,0.8866077,-0.004462385
14.94366,-0.1801979,0.8832121,0.1480812
17.88367,-0.2206012,0.8861737,0.183486
22.04364,-0.2272653,0.8959453,0.1758511
25.62366,-0.2032178,0.9029528,0.1955359
28.54364,-0.2143786,0.8656461,0.1483088
30.82364,-0.1956027,0.8761837,0.2447987
35.12366,-0.1969193,0.8836687,0.1844822
37.32364,-0.2200987,0.890693,0.1715285
39.98364,-0.1970759,0.8587624,0.1650072
42.26364,-0.2521004,0.8827252,0.2090472
48.34366,-0.1958371,0.886751,0.2061656
50.52365,-0.2167837,0.8774343,0.1639321
53.02365,-0.1671722,0.8973101,0.1571601
74.94366,-0.2052362,0.8893239,0.2076976
77.92365,-0.1783729,0.8610803,0.1455936
79.90366,-0.1658626,0.8866734,0.1989375
81.94366,-0.2208107,0.8700569,0.1730943
84.34366,-0.1486248,0.8987316,0.2062106
86.10364,-0.1872712,0.8617952,0.1934574
88.02365,-0.1688758,0.8951278,0.2228862
89.72366,-0.1938067,0.875566,0.2292603
91.74365,-0.1944385,0.8895498,0.2153039
94.22366,-0.1989429,0.8834574,0.1571132
96.24365,-0.1387895,0.908542,0.1714821
99.82364,-0.2099313,0.8837017,0.1215298
101.3236,-0.1314902,0.9095798,0.2158876
104.3636,-0.1529889,0.9121038,0.1766496
107.2237,-0.211978,0.8828114,0.1462216
128.7436,-0.1471999,0.883538,0.1513287
130.3637,-0.2224714,0.880901,0.1331217
132.1037,-0.2087166,0.8814405,0.2086318
133.7837,-0.2191913,0.8820507,0.1495568
135.8437,-0.2196036,0.881918,0.1974121
137.6637,-0.1755773,0.880168,0.204226
140.5836,-0.1934752,0.8707834,0.1451634
142.5036,-0.202655,0.904007,0.1977686
145.2237,-0.1648821,0.8719684,0.1477521
148.4436,-0.08233435,0.9387115,0.09314165
150.6637,-0.1782516,0.8691316,0.1489194
153.5036,-0.2250012,0.8766676,0.1939591
155.8836,-0.1536947,0.886857,0.1721519
157.7036,-0.2176284,0.8785355,0.1585999
159.9837,-0.1802336,0.8858486,0.1604157
182.1836,-0.1910875,0.8788864,0.1394803
184.1037,-0.176139,0.8815098,0.2066957
186.0437,-0.200835,0.8973735,0.1507983
188.0636,-0.1763035,0.8857175,0.2245135
190.0636,-0.1695185,0.8608063,0.1547847
192.1637,-0.185823,0.8931226,0.178223
194.1436,-0.1602272,0.9183275,0.2228087
197.7636,-0.1887125,0.8792153,0.1692882
201.3036,-0.2105371,0.8729376,0.2045446
205.1836,-0.1583414,0.8789411,0.1987666
208.0237,-0.1674101,0.8834847,0.1526074
210.3836,-0.2174691,0.8746248,0.2055784
212.4637,-0.2187575,0.8638821,0.1533054
214.6436,-0.1651895,0.906186,0.1913501
219.0237,-0.1936263,0.8978624,0.1787547
