Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.2238211,0.86,0.1585258
0,-0.1548583,0.86,0.1639939
0,-0.1858342,0.86,0.1956361
0,-0.1503699,0.86,0.1641178
0,-0.2058747,0.86,0.1651924
0,-0.216973,0.86,0.2068351
0,-0.2191532,0.86,0.1585072
0,-0.173728,0.86,0.1529393
0,-0.2224767,0.86,0.138515
0,-0.1504238,0.86,0.1552333
0,-0.1629826,0.86,0.2070374
0,-0.201081,0.86,0.145985
0,-0.1526844,0.86,0.1728076
0,-0.1888976,0.86,0.1497075
0,-0.2211654,0.86,0.1879613
0,-0.1838064,0.86,0.1937133
0,-0.1753833,0.86,0.1554401
0,-0.1825847,0.86,0.1958505
0,-0.2044784,0.86,0.1510484
0,-0.2118814,0.86,0.1945252
0,-0.2225183,0.86,0.151096
0,-0.1575222,0.86,0.1885256
0,-0.1884449,0.86,0.2089864
0,-0.1961293,0.86,0.1578239
0,-0.1602077,0.86,0.1472589
0,-0.1681559,0.86,0.1931767
0,-0.2182919,0.86,0.2053099
0,-0.1757766,0.86,0.1523933
0,-0.2236498,0.86,0.1830817
0,-0.15,0.86,0.2
0,-0.210452,0.86,0.1631605
0,-0.1595032,0.86,0.1781957
0,-0.2144215,0.86,0.2007419
0,-0.2015128,0.86,0.1361971
0,-0.2043352,0.86,0.186624
0,-0.162182,0.86,0.2054225
0,-0.1996484,0.86,0.1745447
0,-0.160788,0.86,0.1660417
0,-0.2014705,0.86,0.1463346
0,-0.1771834,0.86,0.1921207
0,-0.178003,0.86,0.1393828
0,-0.1769846,0.86,0.177066
0,-0.212316,0.86,0.1842534
0,-0.2115913,0.86,0.1352958
0,-0.156622,0.86,0.1768481
0,-0.2085446,0.86,0.1427348
0,-0.1794279,0.86,0.1708579
0,-0.2134706,0.86,0.1542559
0,-0.1543203,0.86,0.1431256
0,-0.2043301,0.86,0.1404106
0,-0.1971114,0.86,0.1874272
11.98364,-0.15,0.86,0.2
13.14365,-0.1896936,0.86,0.1772887
14.94366,-0.1593921,0.86,0.1370511
17.88367,-0.1937793,0.86,0.1877991
22.04364,-0.2209526,0.86,0.1515281
25.62366,-0.204376,0.86,0.1860238
28.54364,-0.1962556,0.86,0.1412092
30.82364,-0.1830654,0.86,0.2069887
35.12366,-0.1804787,0.86,0.1687501
37.32364,-0.2198996,0.86,0.1636609
39.98364,-0.1764301,0.86,0.1589545
42.26364,-0.2240348,0.86,0.1968102
48.34366,-0.1806186,0.86,0.1753086
50.52365,-0.2190695,0.86,0.1441301
53.02365,-0.1791203,0.86,0.1594487
74.94366,-0.192368,0.86,0.2087398
77.92365,-0.161704,0.86,0.1473893
79.90366,-0.1644449,0.86,0.1941404
81.94366,-0.2160939,0.86,0.1663628
84.34366,-0.1508053,0.86,0.202271
86.10364,-0.1908966,0.86,0.167916
88.02365,-0.1562988,0.86,0.2078518
89.72366,-0.2008531,0.86,0.2085602
91.74365,-0.1768823,0.86,0.1816529
94.22366,-0.1951935,0.86,0.1368906
96.24365,-0.1563652,0.86,0.168127
99.82364,-0.2175235,0.86,0.143207
101.3236,-0.1948057,0.86,0.1853274
104.3636,-0.1535806,0.86,0.1817522
107.2237,-0.2185449,0.86,0.1482686
128.7436,-0.1543977,0.86,0.1550641
130.3637,-0.223765,0.86,0.1424797
132.1037,-0.1991318,0.86,0.193908
133.7837,-0.2031769,0.86,0.14399
135.8437,-0.2072391,0.86,0.2081051
137.6637,-0.1580954,0.86,0.2047621
140.5836,-0.1917078,0.86,0.1456122
142.5036,-0.2011516,0.86,0.198563
145.2237,-0.1677985,0.86,0.1531652
148.4436,-0.1540544,0.86,0.1977831
150.6637,-0.18301,0.86,0.150105
153.5036,-0.2154337,0.86,0.1960123
155.8836,-0.1550587,0.86,0.179927
157.7036,-0.217848,0.86,0.1594256
159.9837,-0.1690206,0.86,0.1767847
182.1836,-0.2005637,0.86,0.1536289
184.1037,-0.1784868,0.86,0.1939142
186.0437,-0.2011357,0.86,0.1411147
188.0636,-0.1884628,0.86,0.1972018
190.0636,-0.1640787,0.86,0.147209
192.1637,-0.2058693,0.86,0.160092
194.1436,-0.1564255,0.86,0.1990841
197.7636,-0.1869117,0.86,0.1661036
201.3036,-0.2113968,0.86,0.2053912
205.1836,-0.1664518,0.86,0.2082857
208.0237,-0.1761348,0.86,0.1667162
210.3836,-0.2158262,0.86,0.2045048
212.4637,-0.2230458,0.86,0.1368043
214.6436,-0.1687767,0.86,0.1841874
219.0237,-0.2074154,0.86,0.1839709
