Time, X, Y, Z
0.003662109,-0.1589021,1.157536,-0.1285508
0.005523682,-0.1588938,1.157564,-0.1285654
0.01681519,-0.1588483,1.15764,-0.1286319
0.02365112,-0.1588979,1.157644,-0.1286379
0.02993774,-0.1589767,1.157629,-0.1286349
0.03848267,-0.1589887,1.157658,-0.1285542
0.04364014,-0.1589294,1.157661,-0.1285
0.04989624,-0.1589145,1.157645,-0.1284627
0.06069946,-0.158943,1.157585,-0.1284491
0.06365967,-0.1589612,1.15756,-0.1284416
0.07196045,-0.1590004,1.157543,-0.1283469
0.08306885,-0.159091,1.157473,-0.128299
0.08364868,-0.1590992,1.157467,-0.1282977
0.09423828,-0.1593047,1.157458,-0.1282353
0.1036682,-0.159403,1.15749,-0.128121
0.1054077,-0.159418,1.157489,-0.1281113
0.1164551,-0.1594652,1.15747,-0.1281126
0.1236572,-0.1594503,1.157469,-0.1280898
0.1275024,-0.1594053,1.157478,-0.1280751
0.1387329,-0.1592632,1.157509,-0.1281606
0.1436462,-0.1592256,1.157516,-0.1281686
0.1498413,-0.1592426,1.157499,-0.1281777
0.1610107,-0.1591769,1.157442,-0.1281217
0.1636658,-0.159145,1.157438,-0.1281051
0.1723022,-0.159122,1.157355,-0.128121
0.1836548,-0.1592054,1.157196,-0.1282063
0.1861877,-0.1592106,1.157184,-0.1282231
0.1941223,-0.1592305,1.15713,-0.1283108
0.2036438,-0.1592602,1.157135,-0.1284564
0.2045288,-0.1593014,1.157145,-0.1284815
0.2156372,-0.1593728,1.157071,-0.1286274
0.2236633,-0.1593712,1.156957,-0.1287142
0.2267761,-0.1593144,1.157003,-0.128731
0.2381897,-0.1592794,1.157047,-0.1288138
0.2436523,-0.1592382,1.157095,-0.1287451
0.249054,-0.1591439,1.157135,-0.1286402
0.2600708,-0.1590381,1.157263,-0.1284397
0.2636414,-0.1590919,1.157289,-0.128402
0.2713928,-0.1590775,1.157342,-0.128323
0.2822571,-0.1590242,1.15739,-0.1282461
0.2836609,-0.1591026,1.157357,-0.1282094
0.2932739,-0.1591887,1.15729,-0.1281065
0.3036499,-0.15907,1.157186,-0.1281135
0.3044739,-0.1590654,1.157176,-0.1281147
0.3155518,-0.1591624,1.157105,-0.1281333
0.3236389,-0.1592063,1.157058,-0.1280861
0.3268433,-0.1591483,1.157086,-0.1280367
0.339447,-0.1589034,1.157229,-0.1278729
0.3436584,-0.1588103,1.157286,-0.1277667
0.348877,-0.1586733,1.157368,-0.127614
0.3600159,-0.1587971,1.157231,-0.127937
0.3636475,-0.1587539,1.157212,-0.1280225
0.3711853,-0.1587497,1.157132,-0.1282239
0.3822021,-0.158432,1.157121,-0.1283215
0.383667,-0.1583945,1.157071,-0.1283458
0.3934021,-0.1581607,1.156944,-0.1285622
0.403656,-0.1579266,1.156596,-0.128583
0.4043579,-0.1578743,1.156626,-0.1285682
0.4157104,-0.1575643,1.156489,-0.1285794
0.423645,-0.1571363,1.156431,-0.1286373
0.4266968,-0.156955,1.156407,-0.128657
0.4378357,-0.1566095,1.156096,-0.1284168
0.4436646,-0.1562407,1.155996,-0.1284588
0.4489136,-0.1558866,1.155862,-0.1284553
0.4599609,-0.1554425,1.155414,-0.1281057
0.4636536,-0.1549954,1.155377,-0.1279698
0.4711304,-0.1541657,1.154989,-0.1277234
0.4824829,-0.1529575,1.154319,-0.1278027
0.4836426,-0.1527699,1.154279,-0.127794
0.4947205,-0.1511574,1.153109,-0.1277599
0.5036621,-0.1499729,1.152083,-0.1276467
0.504364,-0.1498761,1.151989,-0.1276419
0.5154724,-0.1477174,1.15109,-0.1273897
0.5236511,-0.1464044,1.149887,-0.1270566
0.5267029,-0.145725,1.149339,-0.1269178
0.5378723,-0.1443371,1.146486,-0.1271595
0.5436401,-0.1430879,1.144982,-0.1274514
0.5489502,-0.1418861,1.143378,-0.1276753
0.5602722,-0.140684,1.139436,-0.1284283
0.5636597,-0.1400348,1.138148,-0.1288166
0.5717773,-0.1384788,1.134722,-0.1297288
0.5827637,-0.1362555,1.130202,-0.1307077
0.5836487,-0.1359202,1.129552,-0.1308956
0.5944519,-0.1329502,1.123524,-0.1324446
0.6036682,-0.1299398,1.118634,-0.1335005
0.6052551,-0.129548,1.117947,-0.1336652
0.6164246,-0.1266282,1.111793,-0.1354185
0.6236572,-0.1241891,1.107491,-0.1370571
0.627655,-0.1226022,1.104581,-0.1380977
0.638916,-0.1196907,1.09923,-0.13999
0.6436462,-0.118492,1.096434,-0.1408736
0.6516113,-0.116336,1.091069,-0.1418849
0.6613464,-0.1143579,1.085821,-0.1426739
0.6636658,-0.1135732,1.084092,-0.1429971
0.6725464,-0.11092,1.077435,-0.1441681
0.6835327,-0.1082875,1.070745,-0.1453105
0.6836548,-0.1080588,1.070681,-0.1453539
0.6947937,-0.1042802,1.062012,-0.1474976
0.7036438,-0.1017214,1.056098,-0.149117
0.7058411,-0.1011001,1.054661,-0.1495156
0.7169189,-0.0988088,1.047825,-0.1514517
0.7236633,-0.09709693,1.042956,-0.1523968
0.7282104,-0.09573233,1.039109,-0.1532778
0.7391968,-0.09394281,1.031835,-0.1546216
0.7436523,-0.09295137,1.029152,-0.1553035
0.7503662,-0.0913616,1.024188,-0.1565579
0.7614136,-0.08922639,1.018428,-0.157891
0.7636414,-0.08883096,1.017423,-0.1577864
0.7724915,-0.08686213,1.01207,-0.1585066
0.7836609,-0.08484846,1.006308,-0.1591635
0.7836609,-0.08481217,1.006463,-0.1592403
0.7948608,-0.08295409,1.001882,-0.1598223
0.8036499,-0.0813483,0.9981755,-0.1594525
0.8074036,-0.08073479,0.9963996,-0.1593469
0.8167725,-0.07957733,0.9933038,-0.1590789
0.8236389,-0.07871047,0.9910855,-0.1588715
0.8280945,-0.07805216,0.9893197,-0.1586329
0.8390198,-0.07658386,0.9862915,-0.1580596
0.8436584,-0.07579273,0.9851735,-0.1579028
0.8502197,-0.07463952,0.9833376,-0.1574223
0.8615723,-0.07336377,0.9807311,-0.1566993
0.8636475,-0.07304858,0.9802675,-0.1563786
0.8724365,-0.07167855,0.9779877,-0.1554065
0.8835449,-0.070902,0.9751681,-0.1543296
0.883667,-0.0710109,0.9751457,-0.154389
0.8948059,-0.07012811,0.9720755,-0.1531779
0.903656,-0.06943557,0.9696908,-0.1521806
0.9057007,-0.06929116,0.9691896,-0.1519669
0.9168701,-0.06854888,0.9663884,-0.1507461
0.923645,-0.06818125,0.9647421,-0.149664
0.9279785,-0.06784832,0.9633911,-0.1488576
0.93927,-0.0673829,0.9602762,-0.1475634
0.9436646,-0.06741679,0.9593154,-0.1469823
0.9503479,-0.067292,0.9573703,-0.1459655
0.9636536,-0.06633276,0.9539499,-0.1438307
0.9639282,-0.06636786,0.95389,-0.1438627
0.9725647,-0.06601717,0.9519985,-0.1428006
0.9823914,-0.06578087,0.9499276,-0.1412007
0.9836426,-0.06586513,0.9497553,-0.1408942
0.9938049,-0.06597234,0.9476197,-0.1388266
1.003662,-0.06628613,0.9463168,-0.1371836
1.004822,-0.06632544,0.9461639,-0.1370015
1.015686,-0.06653631,0.9452105,-0.1354246
1.023651,-0.0666162,0.9446268,-0.1345926
1.026917,-0.06668463,0.9441994,-0.1339868
1.037964,-0.0668968,0.9434084,-0.133155
1.04364,-0.0664936,0.9434747,-0.1324953
1.049255,-0.0660991,0.943387,-0.1316633
