Time, X, Y, Z
0.003662109,0.1267724,1.140519,-0.1113844
0.005523682,0.1267692,1.140535,-0.1113797
0.01681519,0.1267432,1.140577,-0.1113594
0.02365112,0.1266511,1.140597,-0.1112758
0.02993774,0.1265533,1.140633,-0.1111834
0.03848267,0.1264557,1.140684,-0.1110855
0.04364014,0.1264436,1.140704,-0.1110416
0.04989624,0.1264464,1.140742,-0.1110189
0.06069946,0.1264401,1.140794,-0.1110001
0.06365967,0.126437,1.14081,-0.1109931
0.07196045,0.1263735,1.14084,-0.1109658
0.08306885,0.1263343,1.140829,-0.110992
0.08364868,0.126333,1.140829,-0.1109947
0.09423828,0.1262398,1.140803,-0.1110228
0.1036682,0.1262144,1.140871,-0.1109598
0.1054077,0.1262118,1.140882,-0.1109507
0.1164551,0.1262092,1.1409,-0.1109443
0.1236572,0.1262316,1.140928,-0.1109312
0.1275024,0.1262536,1.140929,-0.1109192
0.1387329,0.1263402,1.140864,-0.1110077
0.1436462,0.126352,1.140837,-0.1110167
0.1498413,0.1263594,1.140818,-0.1110345
0.1610107,0.1263645,1.140727,-0.1110506
0.1636658,0.1263612,1.14071,-0.1110642
0.1723022,0.1263872,1.140652,-0.1111128
0.1836548,0.1263927,1.140554,-0.1111877
0.1861877,0.1264092,1.140548,-0.1112004
0.1941223,0.1264554,1.140526,-0.1112468
0.2036438,0.1265171,1.140574,-0.1113514
0.2045288,0.1265118,1.140594,-0.1113667
0.2156372,0.1265634,1.140585,-0.1114263
0.2236633,0.1266466,1.140659,-0.1114461
0.2267761,0.1266757,1.140723,-0.1114469
0.2381897,0.1266882,1.140846,-0.1114507
0.2436523,0.1266409,1.140848,-0.111382
0.249054,0.1265625,1.140837,-0.1113309
0.2600708,0.1263722,1.140912,-0.1112083
0.2636414,0.1263614,1.140923,-0.1111723
0.2713928,0.1262854,1.140972,-0.111098
0.2822571,0.1262417,1.141113,-0.1110189
0.2836609,0.1262132,1.141124,-0.1110284
0.2932739,0.1261666,1.141182,-0.1110141
0.3036499,0.1263573,1.141231,-0.1110995
0.3044739,0.1263674,1.141233,-0.1111052
0.3155518,0.1263905,1.141255,-0.1111133
0.3236389,0.1263722,1.141246,-0.1111403
0.3268433,0.1263821,1.141272,-0.111168
0.339447,0.12644,1.141283,-0.1112665
0.3436584,0.1264333,1.141268,-0.1112767
0.348877,0.1264261,1.141244,-0.1112923
0.3600159,0.1265496,1.141166,-0.1113733
0.3636475,0.1265556,1.141134,-0.1113866
0.3711853,0.1265537,1.141043,-0.1114357
0.3822021,0.1264325,1.140863,-0.1114823
0.383667,0.1265028,1.140832,-0.1114983
0.3934021,0.1265683,1.140661,-0.1115939
0.403656,0.1265404,1.140512,-0.1116923
0.4043579,0.1265897,1.140518,-0.1116585
0.4157104,0.1266917,1.140428,-0.1115788
0.423645,0.1269527,1.140403,-0.1115191
0.4266968,0.1270502,1.140395,-0.1114875
0.4378357,0.1274237,1.140333,-0.1113909
0.4436646,0.1276744,1.14024,-0.1114261
0.4489136,0.1279431,1.140146,-0.1114558
0.4599609,0.1284635,1.140066,-0.1117061
0.4636536,0.1285936,1.139943,-0.1117743
0.4711304,0.1290683,1.139597,-0.1120204
0.4824829,0.1294837,1.138983,-0.1122355
0.4836426,0.129461,1.138932,-0.1122113
0.4947205,0.1299885,1.137922,-0.1127247
0.5036621,0.1303815,1.137078,-0.1132103
0.504364,0.1304138,1.136997,-0.1132554
0.5154724,0.130868,1.135993,-0.1137656
0.5236511,0.1309854,1.136071,-0.1134769
0.5267029,0.131073,1.135968,-0.1134347
0.5378723,0.1316272,1.134881,-0.1136571
0.5436401,0.1321522,1.134627,-0.1135911
0.5489502,0.1326207,1.134242,-0.1135447
0.5602722,0.1324443,1.134802,-0.1133065
0.5636597,0.1326082,1.13484,-0.1130489
0.5717773,0.1329347,1.13483,-0.1126525
0.5827637,0.1330044,1.134939,-0.1120543
0.5836487,0.1330682,1.134811,-0.11209
0.5944519,0.1334713,1.134433,-0.1115964
0.6036682,0.1334579,1.134572,-0.1111066
0.6052551,0.1334692,1.134563,-0.1110288
0.6164246,0.1338021,1.134916,-0.110497
0.6236572,0.1343917,1.134804,-0.1102536
0.627655,0.1346852,1.134784,-0.110025
0.638916,0.1343707,1.134608,-0.1094741
0.6436462,0.1342243,1.134876,-0.109456
0.6516113,0.1342833,1.135059,-0.1090329
0.6613464,0.1343686,1.135338,-0.1084651
0.6636658,0.1343952,1.135222,-0.10827
0.6725464,0.1345141,1.135389,-0.1075418
0.6835327,0.1344943,1.136184,-0.1066155
0.6836548,0.1346013,1.136126,-0.1067035
0.6947937,0.1349427,1.135954,-0.106087
0.7036438,0.1349812,1.136159,-0.1054764
0.7058411,0.1349903,1.136213,-0.1053234
0.7169189,0.1350911,1.136268,-0.1049877
0.7236633,0.135117,1.136638,-0.1043537
0.7282104,0.1351236,1.136909,-0.1038832
0.7391968,0.1345126,1.137223,-0.1035266
0.7436523,0.1345087,1.137188,-0.1033368
0.7503662,0.1343305,1.13734,-0.1030222
0.7614136,0.1337034,1.137803,-0.1024574
0.7636414,0.1337144,1.137591,-0.1024264
0.7724915,0.1334841,1.137623,-0.101852
0.7836609,0.1331276,1.137991,-0.100819
0.7836609,0.1330929,1.137978,-0.1010565
0.7948608,0.1326991,1.138608,-0.1005684
0.8036499,0.1326798,1.138538,-0.1003768
0.8074036,0.1326059,1.138445,-0.1004201
0.8167725,0.1324692,1.138489,-0.1003607
0.8236389,0.1320103,1.138739,-0.1001187
0.8280945,0.1316916,1.13897,-0.09993087
0.8390198,0.1313366,1.1393,-0.09980823
0.8436584,0.1312531,1.139426,-0.09967497
0.8502197,0.131018,1.139864,-0.09937762
0.8615723,0.1307099,1.140236,-0.09891038
0.8636475,0.1307467,1.140188,-0.0988757
0.8724365,0.1306281,1.140442,-0.09857056
0.8835449,0.1306067,1.140499,-0.09845187
0.883667,0.1306163,1.140494,-0.09847206
0.8948059,0.1306887,1.140817,-0.09828508
0.903656,0.1305466,1.141053,-0.098313
0.9057007,0.1305252,1.141114,-0.09830366
0.9168701,0.1305345,1.141477,-0.09842822
0.923645,0.1306064,1.141642,-0.09843096
0.9279785,0.1306513,1.141791,-0.09843412
0.93927,0.1303854,1.141969,-0.09835586
0.9436646,0.1301794,1.142064,-0.09824972
0.9503479,0.129918,1.142192,-0.09811954
0.9636536,0.1298541,1.142605,-0.09779949
0.9639282,0.1300947,1.142484,-0.09783268
0.9725647,0.1302513,1.142514,-0.09768458
0.9823914,0.1304763,1.142334,-0.09754242
0.9836426,0.1304975,1.142339,-0.09752379
0.9938049,0.1308153,1.142177,-0.09750284
1.003662,0.1310611,1.142154,-0.097542
1.004822,0.131079,1.142143,-0.09753545
1.015686,0.131272,1.142173,-0.09763578
1.023651,0.1314046,1.142237,-0.09747893
1.026917,0.1314993,1.142253,-0.09739223
1.037964,0.1315903,1.142242,-0.09721443
1.04364,0.1316787,1.142267,-0.0970712
1.049255,0.1317962,1.142278,-0.09690608
1.060333,0.1319592,1.142408,-0.09666149
1.06366,0.1320682,1.142392,-0.09665003
1.071411,0.132325,1.142325,-0.09653611
1.08255,0.1325349,1.142266,-0.09647459
1.083649,0.1325873,1.142243,-0.0964641
1.093811,0.1329329,1.141969,-0.0963835
1.103668,0.1330671,1.141849,-0.09641066
1.104828,0.1330827,1.141849,-0.09640706
1.121277,0.1329449,1.14189,-0.09641419
1.123657,0.1329163,1.141881,-0.09639715
1.126587,0.1328721,1.14188,-0.09636386
1.135284,0.1329575,1.141955,-0.09623832
1.143646,0.1330267,1.142041,-0.09613343
1.146515,0.1330597,1.142079,-0.09609863
1.157715,0.1330326,1.142213,-0.09602505
1.163666,0.1330415,1.142235,-0.09592277
1.168671,0.13304,1.142216,-0.09586133
1.17984,0.1329648,1.142267,-0.09580027
1.183655,0.132928,1.142272,-0.09577321
1.190765,0.1328421,1.142273,-0.09570898
1.201813,0.1326608,1.142139,-0.09564388
1.203644,0.1326244,1.142124,-0.09563437
1.213135,0.132407,1.142098,-0.09558439
1.223663,0.1322116,1.142155,-0.09553359
1.224091,0.1321991,1.142156,-0.09552845
1.235107,0.1319917,1.142213,-0.09546298
1.243652,0.1317808,1.142301,-0.0953282
1.246399,0.1316609,1.142346,-0.09525765
1.257477,0.1313609,1.142425,-0.09511393
1.263641,0.1312258,1.142468,-0.09507041
1.26947,0.1310774,1.142523,-0.09503967
1.279449,0.1310524,1.142541,-0.09501332
1.283661,0.1310344,1.142568,-0.09498887
1.29068,0.1309858,1.142656,-0.09493059
1.301697,0.1309751,1.142812,-0.09484777
1.30365,0.1309714,1.142846,-0.09482849
1.312927,0.1307342,1.143244,-0.09452106
1.323639,0.1303705,1.143682,-0.09398761
1.323975,0.1303541,1.143703,-0.09396908
1.335175,0.1300264,1.144119,-0.0936003
1.343658,0.129848,1.144377,-0.093428
1.346252,0.1297672,1.144493,-0.09337769
1.357574,0.1298977,1.144536,-0.09337273
1.363647,0.1300063,1.144499,-0.09337616
1.368591,0.1301282,1.144418,-0.09339154
1.379608,0.1297143,1.144712,-0.09328289
1.383667,0.1295386,1.144826,-0.09326822
1.390839,0.1291842,1.145003,-0.09330128
1.401855,0.1286832,1.145336,-0.0931529
1.403656,0.1285961,1.145406,-0.09312667
1.413147,0.1284268,1.145742,-0.09287299
1.423645,0.128154,1.146212,-0.09259298
1.428375,0.1280584,1.146455,-0.09245677
1.434998,0.1281197,1.146392,-0.09241739
1.443665,0.1277789,1.146587,-0.09225857
1.446259,0.1275591,1.146674,-0.09222561
1.457336,0.1275341,1.146689,-0.09223494
1.463654,0.1273729,1.146672,-0.09217097
1.468536,0.1266013,1.146957,-0.09159163
1.479767,0.1262897,1.146823,-0.09133126
1.483643,0.1261246,1.146756,-0.09125507
1.491089,0.1254554,1.146744,-0.09107023
1.502411,0.1251089,1.146462,-0.09096
1.503662,0.1250723,1.146422,-0.09094311
1.513611,0.1247757,1.146272,-0.09066036
1.523651,0.1245593,1.145755,-0.09059031
1.52475,0.1245456,1.145712,-0.09058198
1.535767,0.1245065,1.145502,-0.09056574
1.54364,0.1244218,1.145156,-0.0905681
1.547028,0.1243539,1.144873,-0.09058225
1.558289,0.12369,1.14468,-0.09041081
1.56366,0.1234419,1.144551,-0.09031163
1.569275,0.1232348,1.144363,-0.09020615
1.582581,0.1226438,1.143983,-0.09002906
1.583649,0.1225898,1.143961,-0.0900059
1.591248,0.1221306,1.143791,-0.08980025
1.602722,0.1218055,1.14377,-0.08943647
1.603668,0.1217888,1.143759,-0.08940741
1.613495,0.1216629,1.143456,-0.08905065
1.623657,0.1215788,1.143462,-0.08827536
1.624786,0.121574,1.143458,-0.08819214
1.635773,0.1213307,1.143221,-0.0878398
1.643646,0.1211524,1.143069,-0.08758499
1.646851,0.1210662,1.143,-0.08744508
1.65802,0.1207257,1.142868,-0.0870899
1.663666,0.1206061,1.142833,-0.08683982
1.669067,0.1205054,1.142842,-0.08655119
1.680206,0.1207102,1.142563,-0.0861229
1.683655,0.120785,1.142424,-0.08595973
1.691376,0.1208605,1.142229,-0.08551201
1.702332,0.1210252,1.141812,-0.08505435
1.703644,0.1210517,1.141747,-0.0849845
1.71347,0.1209486,1.141418,-0.08447973
1.723663,0.1209535,1.141111,-0.08401899
1.724731,0.1209674,1.141078,-0.08397442
1.737885,0.1212261,1.140679,-0.08338474
1.743652,0.1213702,1.140466,-0.08320327
1.746796,0.1214754,1.140301,-0.08309603
1.757935,0.1217151,1.139977,-0.08286186
1.763641,0.1219132,1.139803,-0.08267385
1.769165,0.1221405,1.139505,-0.08233818
1.780334,0.1222585,1.139462,-0.08164197
1.783661,0.1223079,1.139438,-0.08145238
1.791595,0.1226385,1.139402,-0.0808288
1.802704,0.1227613,1.139089,-0.08048093
1.80365,0.1227714,1.139049,-0.08044748
1.81424,0.1229473,1.138833,-0.0799126
1.823639,0.123113,1.138464,-0.07964773
1.8255,0.1231605,1.138372,-0.07959232
1.836578,0.1234326,1.137965,-0.0790676
1.843658,0.1236174,1.137723,-0.07875212
1.847839,0.1237517,1.137562,-0.07853147
1.859283,0.1240786,1.137177,-0.07810137
1.863647,0.1241968,1.136949,-0.07797249
1.870575,0.1243611,1.136537,-0.07774454
1.881958,0.1245822,1.13616,-0.07728103
1.883667,0.1246118,1.136065,-0.07722606
1.894196,0.124712,1.135595,-0.07712664
1.903656,0.1248981,1.135228,-0.07715345
1.904327,0.124909,1.135193,-0.07715863
1.915649,0.1249595,1.134946,-0.07704777
1.923645,0.1249632,1.134784,-0.07708665
1.926849,0.1249662,1.134706,-0.07710242
1.937836,0.1248984,1.134529,-0.07680669
1.943665,0.1249241,1.134554,-0.07665199
1.949188,0.124975,1.134601,-0.07648139
1.96048,0.1252659,1.134837,-0.07616066
1.963654,0.1253748,1.134925,-0.07604243
1.971771,0.1257315,1.135217,-0.07568071
1.982788,0.1262362,1.135442,-0.07545016
1.983643,0.1262825,1.13545,-0.07543272
1.993927,0.127238,1.13546,-0.07512058
2.003662,0.1279169,1.135788,-0.0749437
2.005432,0.1279027,1.135785,-0.07494879
2.016296,0.1282918,1.135929,-0.07465909
2.023651,0.1285447,1.135988,-0.07437898
2.027466,0.1287075,1.136008,-0.07418837
2.038605,0.128907,1.136093,-0.07394372
2.04364,0.1289774,1.136164,-0.07383315
2.051636,0.1291355,1.136275,-0.07367461
2.060394,0.1294642,1.136351,-0.07356662
2.06366,0.1296314,1.136379,-0.07355084
2.071472,0.1301536,1.13644,-0.07351045
2.082092,0.1306732,1.136551,-0.07354435
2.083649,0.130756,1.136569,-0.07354937
2.094757,0.1312356,1.136582,-0.07359396
2.103668,0.1313795,1.136702,-0.07352242
2.105103,0.1313866,1.136729,-0.07350394
2.115662,0.1313494,1.136942,-0.07330947
2.123657,0.131402,1.137165,-0.07318056
2.126801,0.1314455,1.137286,-0.0731259
2.138,0.1316497,1.13773,-0.07310307
2.143646,0.1317797,1.137883,-0.07311691
2.148956,0.1319252,1.13803,-0.07314457
2.160217,0.1322893,1.138069,-0.07338753
2.163666,0.132412,1.138047,-0.07347232
2.171356,0.1327127,1.137961,-0.07365236
2.182129,0.1330178,1.137859,-0.07386374
2.183655,0.1330648,1.137847,-0.07389903
2.19342,0.1332099,1.13789,-0.07412587
2.203644,0.1332281,1.138072,-0.07429916
2.208099,0.133205,1.13818,-0.07443057
2.21524,0.1331458,1.138421,-0.07459171
2.223663,0.1331715,1.138595,-0.07484873
2.225311,0.1331966,1.138638,-0.07493158
2.236328,0.1332872,1.138803,-0.07513726
2.243652,0.1333888,1.138821,-0.07533509
2.247559,0.133517,1.138723,-0.07561936
2.258728,0.1338435,1.138693,-0.07605684
2.263641,0.1340482,1.138783,-0.07618506
2.269745,0.1342951,1.138974,-0.07646914
2.280914,0.1345856,1.139194,-0.07683153
2.283661,0.1346946,1.139235,-0.0769259
2.291992,0.1352096,1.139288,-0.07728516
2.303253,0.1358245,1.139132,-0.07757884
2.30365,0.1358512,1.139126,-0.07758908
2.314178,0.1365403,1.138599,-0.07787153
2.323639,0.1370523,1.138172,-0.07803799
2.3255,0.1371561,1.138103,-0.07806483
2.336517,0.1376987,1.137636,-0.07869844
2.343658,0.1380316,1.137004,-0.07940175
2.347656,0.1382077,1.136656,-0.07979005
2.36142,0.1385354,1.135901,-0.08097287
2.363647,0.1385927,1.135738,-0.08123112
2.369629,0.1386095,1.135657,-0.08147196
2.380798,0.1391183,1.13533,-0.08180113
2.383667,0.1393091,1.135359,-0.08177403
2.391968,0.1398566,1.135762,-0.08133245
2.403107,0.1407068,1.135076,-0.08188385
2.403656,0.1407524,1.135025,-0.08192943
2.414398,0.1412166,1.135307,-0.08186501
2.423645,0.1413006,1.135853,-0.08166961
2.425201,0.1412947,1.135957,-0.08163419
2.43631,0.1413074,1.136655,-0.08152372
2.443665,0.1414925,1.137121,-0.08158331
2.447479,0.1416592,1.137232,-0.08162606
2.458801,0.1417689,1.137529,-0.08161192
2.463654,0.1417944,1.137833,-0.0815616
2.470001,0.1418073,1.138123,-0.08192338
2.480743,0.1417273,1.13836,-0.08232073
2.483643,0.1416664,1.138518,-0.08239457
2.491974,0.141216,1.139122,-0.08250196
2.503113,0.140425,1.139658,-0.08243659
2.503662,0.1403777,1.139683,-0.08242968
2.5159,0.1393627,1.140495,-0.08233225
2.523651,0.1388596,1.14071,-0.08249016
2.52533,0.1387561,1.140735,-0.08255917
2.536407,0.1381538,1.141004,-0.08317663
2.54364,0.1376881,1.141385,-0.08344461
2.547699,0.1373388,1.141488,-0.0836139
2.558655,0.1369325,1.142089,-0.08432494
2.56366,0.1365512,1.142499,-0.08450799
2.570129,0.1360653,1.143088,-0.08474833
2.58136,0.1353976,1.143717,-0.08510295
2.583649,0.1352106,1.143894,-0.08518884
2.592438,0.1346409,1.144474,-0.08552185
2.603668,0.1338414,1.144794,-0.08597763
2.603912,0.1337939,1.144801,-0.08600877
2.61496,0.1331424,1.14498,-0.08641042
2.623657,0.1325296,1.145004,-0.08681639
2.62619,0.1323026,1.144887,-0.08703288
2.637482,0.1317794,1.144912,-0.08776738
2.643646,0.1315538,1.145055,-0.08817115
2.648254,0.1314098,1.144935,-0.08848113
2.659515,0.1310377,1.144978,-0.08921897
2.663666,0.1308813,1.145003,-0.0895673
2.671539,0.131043,1.145077,-0.09021129
2.681549,0.1308899,1.145287,-0.09086363
2.683655,0.1308094,1.145329,-0.09102039
2.69281,0.1307456,1.145487,-0.09157158
2.703644,0.1307415,1.14546,-0.09208113
2.704132,0.1307225,1.145497,-0.09214965
2.714996,0.130544,1.145803,-0.09243311
2.723663,0.1303989,1.145928,-0.09273055
2.726288,0.1303387,1.14609,-0.09289671
2.73764,0.1303082,1.146225,-0.09329803
2.743652,0.1303861,1.146166,-0.09365951
2.748688,0.1304131,1.146132,-0.09392937
2.76004,0.1304494,1.146111,-0.09430294
2.763641,0.1304864,1.146105,-0.09448858
2.771179,0.1308119,1.146066,-0.09485371
2.782227,0.1311785,1.145903,-0.09535614
2.783661,0.131231,1.145874,-0.0954379
2.794128,0.1315188,1.145771,-0.09588337
2.80365,0.1316989,1.145795,-0.09590566
2.804688,0.1317126,1.145784,-0.09589788
2.816254,0.1319895,1.145518,-0.09591013
2.823639,0.1322014,1.145331,-0.09595071
2.828461,0.1323824,1.145197,-0.09597719
2.838287,0.1325781,1.145132,-0.09607424
2.843658,0.1327392,1.145115,-0.09612814
2.849304,0.1330231,1.145074,-0.09607069
2.860565,0.1334185,1.14497,-0.09603219
2.863647,0.1335222,1.144952,-0.09600244
2.87146,0.1337025,1.144921,-0.09580752
2.882416,0.1338363,1.14494,-0.09571466
2.883667,0.133848,1.144942,-0.09570746
2.893768,0.1338779,1.144992,-0.09564209
2.903656,0.1340093,1.144972,-0.09566416
2.904846,0.1340373,1.144959,-0.09567678
2.915863,0.1344022,1.144841,-0.09578207
2.923645,0.1346501,1.144779,-0.09572332
2.927002,0.1347975,1.144773,-0.09565841
2.938293,0.1350975,1.144793,-0.09551704
2.943665,0.1351213,1.144806,-0.09538046
2.949341,0.1351689,1.144851,-0.09520639
2.96048,0.1352718,1.144911,-0.0950247
2.963654,0.1352903,1.144875,-0.09498572
2.97168,0.1353639,1.144892,-0.09494492
2.983643,0.1355301,1.144791,-0.09496292
2.984894,0.1355619,1.144747,-0.09497873
2.993835,0.1357252,1.144629,-0.0949329
3.003662,0.1358953,1.144427,-0.09486222
3.003876,0.1358712,1.144253,-0.09485595
3.01535,0.1359809,1.143981,-0.09490347
3.023651,0.1353655,1.143838,-0.09471191
3.026123,0.1350637,1.143715,-0.09454523
3.037323,0.1343981,1.143759,-0.09409161
3.04364,0.1343773,1.143971,-0.09383602
3.048553,0.1342598,1.144274,-0.09358054
3.059601,0.1339945,1.144863,-0.09301306
3.06366,0.1339499,1.145082,-0.09295078
3.070496,0.1338297,1.145571,-0.09268984
3.081726,0.1336551,1.145859,-0.09236979
3.083649,0.1336295,1.145881,-0.09241638
3.092712,0.1334546,1.146242,-0.09220985
3.103668,0.1333775,1.146665,-0.09208681
3.103851,0.133475,1.146596,-0.09208068
3.114929,0.1334642,1.146857,-0.09193721
3.123657,0.1336983,1.146955,-0.09199314
3.126282,0.1336889,1.147041,-0.09201053
3.140289,0.1335515,1.147374,-0.09191021
3.143646,0.1334953,1.147474,-0.09186724
3.147949,0.1334044,1.14764,-0.09179904
3.158905,0.1335548,1.147408,-0.09179232
3.163666,0.1332809,1.147463,-0.09179902
3.170044,0.1331868,1.147475,-0.09184174
3.181183,0.1326591,1.147641,-0.09097578
3.183655,0.1326178,1.147761,-0.09099321
3.192261,0.132325,1.147997,-0.09067728
3.2034,0.1320828,1.148391,-0.09059155
3.203644,0.1320889,1.148305,-0.09058414
3.214478,0.1317214,1.148432,-0.09036013
3.223663,0.1310711,1.148442,-0.09001079
