Time, X, Y, Z
12.14685,-0.1723374,0.8683282,0.1426585
14.28674,-0.1712396,0.8898045,0.1834426
17.24683,-0.2233618,0.8633974,0.1484412
18.92676,-0.1860799,0.8821301,0.1758393
21.08679,-0.1301786,0.8888212,0.2280984
23.80676,-0.2028633,0.8845171,0.1862731
26.64685,-0.1475691,0.8776255,0.1786188
29.10681,-0.1542601,0.8707422,0.1612505
31.04675,-0.2037983,0.8897863,0.1524279
33.20679,-0.1576484,0.8747506,0.1811999
34.86682,-0.1429029,0.8866087,0.1925593
36.94678,-0.193946,0.8704589,0.19327
39.24683,-0.2120939,0.9065529,0.1615673
40.9668,-0.1687989,0.8974552,0.1905781
44.04675,-0.1943404,0.883192,0.1240152
66.06677,-0.1884525,0.9026055,0.1749471
67.66675,-0.2081734,0.8693901,0.1373242
69.3468,-0.1553294,0.8801896,0.2062602
70.90674,-0.1941355,0.8900073,0.174848
72.66675,-0.2086867,0.8808059,0.1614731
74.38684,-0.2145554,0.868172,0.208824
76.20679,-0.2252173,0.9033049,0.1806605
77.88684,-0.1778406,0.8927106,0.1914168
79.54675,-0.2133563,0.8841138,0.1414765
81.16675,-0.2077069,0.861946,0.1888736
82.76685,-0.1544807,0.8729863,0.2085715
85.18677,-0.2059126,0.8854275,0.1926119
87.30676,-0.1718227,0.8793914,0.2155959
89.32678,-0.1500445,0.882776,0.1533102
91.40674,-0.1690257,0.8851326,0.1826753
113.2668,-0.1945929,0.8845893,0.1396876
114.8668,-0.1642495,0.888212,0.2141051
116.7867,-0.1803436,0.883589,0.1863562
118.5668,-0.1716042,0.8877949,0.1717219
122.2867,-0.1942956,0.8933406,0.1806549
124.9468,-0.1463561,0.8777723,0.2117077
127.1868,-0.205587,0.8817045,0.2025092
129.9868,-0.1552994,0.8840434,0.2027651
132.5068,-0.1813191,0.8722282,0.1745232
135.8668,-0.2216439,0.925153,0.2265541
138.3068,-0.1593059,0.8870876,0.2077238
140.7068,-0.2006525,0.8829973,0.1675118
142.7268,-0.1718921,0.8784122,0.1896329
146.0269,-0.2237926,0.8820478,0.1578434
149.0668,-0.168801,0.8807838,0.1548187
170.5468,-0.1972784,0.8740115,0.182149
172.2468,-0.158665,0.8759534,0.1774794
174.0468,-0.1994936,0.8816631,0.1901698
175.6667,-0.1643587,0.8695831,0.169016
177.4067,-0.209163,0.8748043,0.1717388
179.0868,-0.1754857,0.883357,0.2028635
181.0267,-0.2131461,0.8735747,0.1552325
182.7668,-0.1650056,0.8870583,0.2022773
184.4468,-0.2012133,0.8821561,0.1384386
186.5668,-0.188715,0.9493842,0.2049627
188.4468,-0.1645186,0.8888995,0.1472155
190.3868,-0.2083108,0.8808222,0.1393948
192.1068,-0.1845934,0.8822314,0.1540359
194.0267,-0.2006174,0.8842015,0.1462548
196.0868,-0.1709261,0.8856637,0.1878155
