Time, X, Y, Z
12.14685,-0.1782558,0.86,0.1390772
14.28674,-0.1831336,0.86,0.183773
17.24683,-0.2153952,0.86,0.1357775
18.92676,-0.2071999,0.86,0.1931597
21.08679,-0.1567702,0.86,0.2067575
23.80676,-0.2174423,0.86,0.1870986
26.64685,-0.1756974,0.86,0.2027093
29.10681,-0.1653443,0.86,0.1578768
31.04675,-0.217412,0.86,0.153089
33.20679,-0.1822665,0.86,0.1753532
34.86682,-0.15424,0.86,0.2047569
36.94678,-0.192336,0.86,0.2015192
39.24683,-0.2145,0.86,0.1598352
40.9668,-0.1744923,0.86,0.1932102
44.04675,-0.1959391,0.86,0.1360893
66.06677,-0.1931147,0.86,0.1814188
67.66675,-0.2123477,0.86,0.1463491
69.3468,-0.1597179,0.86,0.1980893
70.90674,-0.1929091,0.86,0.1815669
72.66675,-0.2153407,0.86,0.1451948
74.38684,-0.2132003,0.86,0.2039814
76.20679,-0.2246155,0.86,0.1593751
77.88684,-0.1878748,0.86,0.1784938
79.54675,-0.2051372,0.86,0.1364886
81.16675,-0.2074876,0.86,0.1872731
82.76685,-0.1542265,0.86,0.1952994
85.18677,-0.2127876,0.86,0.2041575
87.30676,-0.1733424,0.86,0.2005159
89.32678,-0.1630495,0.86,0.1397466
91.40674,-0.1710557,0.86,0.1854864
113.2668,-0.2154643,0.86,0.1421925
114.8668,-0.1602299,0.86,0.2067593
116.7867,-0.2066771,0.86,0.1902019
118.5668,-0.1894077,0.86,0.1457031
122.2867,-0.2241567,0.86,0.1867621
124.9468,-0.1682903,0.86,0.2035071
127.1868,-0.2147732,0.86,0.2090231
129.9868,-0.1634159,0.86,0.2030151
132.5068,-0.2186393,0.86,0.1589776
135.8668,-0.2203675,0.86,0.1982565
138.3068,-0.168807,0.86,0.2001305
140.7068,-0.211226,0.86,0.1701511
142.7268,-0.179058,0.86,0.1889016
146.0269,-0.2238232,0.86,0.1565844
149.0668,-0.1668856,0.86,0.1429428
170.5468,-0.2009359,0.86,0.1912288
172.2468,-0.1658818,0.86,0.1757445
174.0468,-0.2099496,0.86,0.1835788
175.6667,-0.1708767,0.86,0.1601616
177.4067,-0.2139629,0.86,0.1694359
179.0868,-0.1851313,0.86,0.1967662
181.0267,-0.2125242,0.86,0.1453714
182.7668,-0.1728566,0.86,0.1862241
184.4468,-0.213151,0.86,0.1383089
186.5668,-0.2021296,0.86,0.2090629
188.4468,-0.172952,0.86,0.1462755
190.3868,-0.211315,0.86,0.1511332
192.1068,-0.1662545,0.86,0.1721759
194.0267,-0.2181745,0.86,0.1436414
196.0868,-0.171296,0.86,0.1673215
