Time, X, Y, Z
0.006835938,-0.142029,1.114544,-0.1249947
0.007324219,-0.1420335,1.114547,-0.1249991
0.01867676,-0.142132,1.11463,-0.1250549
0.02685547,-0.1422544,1.114771,-0.1250948
0.02978516,-0.1423217,1.114848,-0.12511
0.04089355,-0.1425071,1.11502,-0.1251863
0.04675293,-0.1427494,1.114952,-0.1250211
0.05200195,-0.1428991,1.11492,-0.1248972
0.06323242,-0.1431544,1.114805,-0.1246867
0.06677246,-0.1432576,1.114766,-0.1246713
0.07409668,-0.1434666,1.114709,-0.1247188
0.08679199,-0.1437232,1.114639,-0.1247687
0.09033203,-0.1437881,1.114611,-0.1247675
0.09606934,-0.1437946,1.114592,-0.1247968
0.1038818,-0.1438998,1.114501,-0.1248953
0.1068115,-0.1439012,1.114491,-0.1249155
0.1149902,-0.1438618,1.114442,-0.1249347
0.1260986,-0.1437501,1.114459,-0.1250065
0.1268311,-0.1437689,1.114451,-0.1249942
0.137207,-0.1437952,1.114436,-0.125026
0.1468506,-0.1435774,1.11443,-0.1249603
0.1485596,-0.1435455,1.114436,-0.1249415
0.1593018,-0.1433636,1.114525,-0.1247238
0.166748,-0.1431999,1.114636,-0.1245911
0.1706543,-0.143098,1.114697,-0.1245072
0.1817627,-0.1430004,1.114757,-0.1242088
0.1867676,-0.142933,1.114739,-0.1241305
0.1928711,-0.1428516,1.114717,-0.1239889
0.2042236,-0.1428815,1.114716,-0.1237758
0.2067871,-0.1428915,1.114661,-0.123834
0.2150879,-0.1428799,1.114519,-0.1239074
0.2261963,-0.14279,1.114445,-0.1240985
0.2268066,-0.1427652,1.11446,-0.1240928
0.2384033,-0.1426625,1.114273,-0.1243004
0.2468262,-0.1426347,1.114133,-0.1243297
0.2484131,-0.1426334,1.114105,-0.1243459
0.2595215,-0.1426734,1.113932,-0.1245844
0.2668457,-0.1425441,1.113832,-0.1246058
0.2706299,-0.1424887,1.11375,-0.1246487
0.2816162,-0.1424409,1.113406,-0.1249774
0.2867432,-0.1424221,1.113334,-0.1250276
0.2928467,-0.1424271,1.113166,-0.1251644
0.3039551,-0.1426313,1.112992,-0.1253271
0.3067627,-0.1425992,1.112902,-0.1252993
0.3151855,-0.142622,1.112477,-0.1254323
0.3262939,-0.1427393,1.112273,-0.1254946
0.3267822,-0.1426863,1.112291,-0.1255135
0.3372803,-0.1427131,1.111734,-0.1259543
0.3468018,-0.1427348,1.11137,-0.1262234
0.3483887,-0.1427404,1.111287,-0.1262799
0.3592529,-0.1425082,1.111055,-0.1260644
0.3668213,-0.1423019,1.110781,-0.1261809
0.3704834,-0.1421857,1.110564,-0.1262551
0.3817139,-0.1420896,1.110055,-0.1267506
