Time, X, Y, Z
0.006835938,0.2057792,1.110309,-0.05439091
0.007324219,0.2057783,1.110307,-0.05439097
0.01867676,0.2057846,1.110257,-0.05439055
0.02685547,0.205779,1.110205,-0.05439271
0.02978516,0.2057766,1.110183,-0.05439454
0.04089355,0.2057616,1.110085,-0.05443512
0.04675293,0.2057126,1.110174,-0.05447905
0.05200195,0.2056634,1.110189,-0.0544439
0.06323242,0.2056168,1.110193,-0.05430606
0.06677246,0.205588,1.110191,-0.05428314
0.07409668,0.2055506,1.11018,-0.05421665
0.08679199,0.2053239,1.110276,-0.05400412
0.09033203,0.2052397,1.110307,-0.05390304
0.09606934,0.2052328,1.110243,-0.05387235
0.1038818,0.2051131,1.110063,-0.0538312
0.1068115,0.2051136,1.110033,-0.05380565
0.1149902,0.2051587,1.110002,-0.05371991
0.1260986,0.205142,1.109828,-0.05379517
0.1268311,0.2051559,1.109776,-0.05379786
0.137207,0.2051556,1.109415,-0.05384405
0.1468506,0.2053403,1.109313,-0.05393097
0.1485596,0.2053699,1.109301,-0.05393867
0.1593018,0.205511,1.109259,-0.05398501
0.166748,0.2055806,1.10923,-0.05400321
0.1706543,0.2056323,1.109202,-0.05402288
0.1817627,0.2054406,1.10933,-0.05390042
0.1867676,0.205369,1.109197,-0.05385299
0.1928711,0.2052606,1.109057,-0.05378543
0.2042236,0.2051837,1.109052,-0.05366525
0.2067871,0.2052544,1.10899,-0.05366603
0.2150879,0.2053525,1.108787,-0.05367869
0.2261963,0.2054017,1.108695,-0.05379777
0.2268066,0.2054139,1.108689,-0.05382052
0.2384033,0.2054548,1.108303,-0.05401503
0.2468262,0.2054281,1.108302,-0.05410977
0.2484131,0.2054198,1.108277,-0.05412933
0.2595215,0.2051659,1.108309,-0.05413641
0.2668457,0.2050978,1.108345,-0.05398914
0.2706299,0.205033,1.108338,-0.05392194
0.2816162,0.2051317,1.108095,-0.0533613
0.2867432,0.2049731,1.108089,-0.05319302
0.2928467,0.2047861,1.107965,-0.05291998
0.3039551,0.2045425,1.107546,-0.05284908
0.3067627,0.2045454,1.107464,-0.05272676
0.3151855,0.2044214,1.106933,-0.05251308
0.3262939,0.2045817,1.1066,-0.05189873
0.3267822,0.2045521,1.106711,-0.05193514
0.3372803,0.2043531,1.106163,-0.05176902
0.3468018,0.2042038,1.106287,-0.0515428
0.3483887,0.2041771,1.106246,-0.0515174
0.3592529,0.2033403,1.105825,-0.05127268
0.3668213,0.2036614,1.10467,-0.05121905
0.3704834,0.2037533,1.103965,-0.05120371
0.3817139,0.2039914,1.102163,-0.05066948
0.3868408,0.203739,1.10169,-0.05072297
0.3946533,0.2034526,1.100301,-0.05083542
0.4038086,0.2027525,1.100574,-0.04966742
0.4067383,0.2024909,1.100495,-0.04945683
0.4150391,0.2017348,1.099824,-0.04882976
0.4262695,0.2011782,1.10043,-0.04862659
0.4267578,0.201336,1.100261,-0.04866904
0.4372559,0.2012612,1.097116,-0.04927161
0.4467773,0.2006101,1.097243,-0.04862566
0.4482422,0.2005265,1.09718,-0.04853337
0.4597168,0.199756,1.09646,-0.04744245
0.4667969,0.199358,1.096356,-0.04673004
0.4709473,0.1990897,1.096229,-0.04617238
0.4824219,0.1991852,1.094918,-0.04560785
0.4868164,0.1990251,1.095113,-0.04525501
0.4938965,0.1988714,1.095139,-0.0444929
0.5050049,0.1981412,1.09536,-0.04337665
0.5068359,0.1980425,1.095274,-0.04330239
0.5166016,0.1975004,1.095648,-0.04197147
0.5268555,0.1974962,1.095497,-0.04135098
0.5274658,0.1974888,1.095512,-0.04129925
0.5389404,0.1968543,1.095994,-0.0389854
