Time, X, Y, Z
14.48145,-0.14441,0.9076078,0.1655064
20.60144,-0.1108862,0.8690955,0.2043227
24.18146,-0.1819178,0.8767421,0.1480322
33.08142,-0.1806921,0.8630995,0.1808979
38.38147,-0.2090347,0.8714013,0.1542692
43.00146,-0.2190806,0.8737183,0.1698109
46.70142,-0.1931754,0.8359301,0.2184776
51.56146,-0.229102,0.8828009,0.1515759
56.38147,-0.2638441,0.8886675,0.1991995
58.82141,-0.1511515,0.8958594,0.166051
60.68146,-0.2722837,0.9109523,0.1827175
63.98145,-0.1542501,0.8658774,0.1835448
67.40143,-0.2412289,0.8841864,0.1334434
70.44147,-0.2092255,0.8888699,0.1748963
84.31628,-0.1899599,0.8833135,0.1910811
91.14142,-0.2249825,0.878176,0.1314154
114.3015,-0.2437877,0.9302146,0.1268341
117.8879,-0.104427,0.9277683,0.1066171
127.6414,-0.2140955,0.8900667,0.2096322
132.0015,-0.1813113,0.8861449,0.1592086
135.0214,-0.2358154,0.8830366,0.2026023
138.4014,-0.2159721,0.8903409,0.2073446
145.5615,-0.08454198,0.9386581,0.01810091
150.7214,-0.2807776,0.8724746,0.1345999
153.4814,-0.1789452,0.8908678,0.1779424
155.9814,-0.2133465,0.9002575,0.1817469
158.4214,-0.2066115,0.8921761,0.2234036
162.4214,-0.2120011,0.8791125,0.1439725
163.9814,-0.2065538,0.8866922,0.206237
168.1414,-0.1327404,0.8927516,0.1603678
171.1014,-0.2002104,0.9028904,0.14838
173.7214,-0.1654012,0.9117232,0.1901067
211.1614,-0.1938038,0.8826005,0.1674113
213.8015,-0.1735298,0.8886842,0.2019745
218.7614,-0.2320967,0.8894365,0.2104589
223.3214,-0.1689685,0.8712845,0.2445988
225.3214,-0.2067236,0.8968675,0.170166
230.5164,-0.1767493,0.883147,0.149104
236.3414,-0.2316868,0.8803225,0.2031165
242.8615,-0.1793966,0.8751345,0.1561045
249.3414,-0.190297,0.8888685,0.190494
256.9014,-0.1795164,0.8928862,0.2074404
260.3015,-0.2448998,0.8828101,0.1915762
262.1014,-0.2148699,0.9012528,0.1728955
264.4415,-0.1225404,0.8956489,0.191108
269.6414,-0.2473168,0.8915386,0.1567576
273.7614,-0.1621879,0.8891863,0.1539509
279.8414,-0.1887483,0.8619412,0.1429055
303.5214,-0.1580612,0.8718685,0.2244566
308.2014,-0.241746,0.8832827,0.1905614
312.3214,-0.2177087,0.8831816,0.1568062
313.8414,-0.1372085,0.895192,0.1274061
316.3015,-0.1602458,0.8814045,0.1812891
319.1815,-0.156279,0.8897719,0.1995308
322.4814,-0.2535483,0.8907038,0.1870232
326.0615,-0.1674888,0.8724018,0.1517211
330.3814,-0.2512164,0.8930718,0.1584144
333.5814,-0.1374982,0.8760189,0.1761688
337.0015,-0.2106371,0.8961669,0.20292
338.7214,-0.08930812,0.8925686,0.1841843
345.2014,-0.1462132,0.8872213,0.2298282
349.6215,-0.1412999,0.8908938,0.1290805
351.5414,-0.1618064,0.8996444,0.1723488
355.8015,-0.2168396,0.8784055,0.1461083
