Time, X, Y, Z
14.48145,-0.1531892,0.86,0.1494136
20.60144,-0.1515501,0.86,0.1981506
24.18146,-0.1709401,0.86,0.1394621
33.08142,-0.1828198,0.86,0.1745269
38.38147,-0.1703618,0.86,0.1359721
43.00146,-0.2117881,0.86,0.1598678
46.70142,-0.2002285,0.86,0.2006849
51.56146,-0.1697755,0.86,0.154563
56.38147,-0.217769,0.86,0.1966829
58.82141,-0.1678852,0.86,0.1592699
60.68146,-0.2112474,0.86,0.1996949
63.98145,-0.156566,0.86,0.1512192
67.40143,-0.2206474,0.86,0.1433456
70.44147,-0.1620161,0.86,0.1593836
84.31628,-0.1873825,0.86,0.1903912
91.14142,-0.1799813,0.86,0.1478175
114.3015,-0.2154323,0.86,0.1516527
117.8879,-0.1776388,0.86,0.138532
127.6414,-0.194945,0.86,0.1885919
132.0015,-0.158509,0.86,0.1688816
135.0214,-0.2111195,0.86,0.1625524
138.4014,-0.197491,0.86,0.2074104
145.5615,-0.1844852,0.86,0.1673795
150.7214,-0.2228387,0.86,0.1611156
153.4814,-0.1676057,0.86,0.1580278
155.9814,-0.2207946,0.86,0.1884989
158.4214,-0.1688852,0.86,0.2082231
162.4214,-0.2240769,0.86,0.1499145
163.9814,-0.1697865,0.86,0.1944938
168.1414,-0.150561,0.86,0.1620963
171.1014,-0.2110235,0.86,0.1652672
173.7214,-0.1565138,0.86,0.2053351
211.1614,-0.204974,0.86,0.1625642
213.8015,-0.1632147,0.86,0.1780321
218.7614,-0.2198783,0.86,0.1785899
223.3214,-0.1923856,0.86,0.2072793
225.3214,-0.2249661,0.86,0.16079
230.5164,-0.1634542,0.86,0.1402264
236.3414,-0.1836364,0.86,0.1994772
242.8615,-0.1732169,0.86,0.1552981
249.3414,-0.201424,0.86,0.1831729
256.9014,-0.1633561,0.86,0.2032417
260.3015,-0.1980476,0.86,0.1704018
262.1014,-0.2118087,0.86,0.1367972
264.4415,-0.1544449,0.86,0.1904858
269.6414,-0.2028926,0.86,0.1819455
273.7614,-0.1624741,0.86,0.1449338
279.8414,-0.19664,0.86,0.135578
303.5214,-0.1532548,0.86,0.1981758
308.2014,-0.2158001,0.86,0.1525191
312.3214,-0.1625402,0.86,0.1549023
313.8414,-0.1692035,0.86,0.2068885
316.3015,-0.1637103,0.86,0.1669724
319.1815,-0.1542927,0.86,0.2079622
322.4814,-0.2245515,0.86,0.1903016
326.0615,-0.157499,0.86,0.1501816
330.3814,-0.2245554,0.86,0.1504722
333.5814,-0.151698,0.86,0.1450381
337.0015,-0.2215898,0.86,0.1951898
338.7214,-0.1587834,0.86,0.1535174
345.2014,-0.1712099,0.86,0.2077856
349.6215,-0.1708052,0.86,0.1420916
351.5414,-0.1822755,0.86,0.1770687
355.8015,-0.2242561,0.86,0.1632456
