Time, X, Y, Z
0.001464844,-0.2038406,1.157646,-0.1348881
0.006652832,-0.2040163,1.157198,-0.1348216
0.01776123,-0.2043405,1.156688,-0.1347139
0.02142334,-0.2044109,1.156516,-0.1346652
0.02880859,-0.2043781,1.156085,-0.134575
0.03991699,-0.2041542,1.155902,-0.134192
0.04144287,-0.2041162,1.155884,-0.1341136
0.05108643,-0.2044923,1.155552,-0.1335496
0.0614624,-0.2043379,1.154978,-0.1331941
0.06219482,-0.2043169,1.154935,-0.133157
0.07366943,-0.2046176,1.154735,-0.1326626
0.0814209,-0.2046918,1.154766,-0.1322774
0.0847168,-0.2047089,1.154803,-0.1320811
0.09838867,-0.2041015,1.154205,-0.1320814
0.1014404,-0.204043,1.154165,-0.1321213
0.1069336,-0.2038913,1.154054,-0.1321953
0.1171875,-0.2036478,1.154108,-0.1321428
0.12146,-0.2035266,1.154223,-0.132042
0.1280518,-0.2035987,1.154577,-0.131606
0.1391602,-0.2033498,1.154562,-0.1313008
0.1414185,-0.2032466,1.154546,-0.1312449
0.1502075,-0.2029725,1.154867,-0.1306491
0.1613159,-0.2030217,1.154965,-0.1301235
0.161438,-0.2030233,1.154965,-0.130118
0.1726685,-0.2030466,1.155126,-0.1293963
0.1814575,-0.2025627,1.155085,-0.1287359
0.1836548,-0.2024028,1.155065,-0.1285591
0.1947021,-0.2022119,1.155351,-0.1279427
0.201416,-0.2021893,1.155505,-0.1276485
0.2059326,-0.2022133,1.155564,-0.1274175
0.2168579,-0.2021447,1.155759,-0.1269811
0.2214355,-0.2020507,1.155802,-0.1267942
0.2282104,-0.2019117,1.155963,-0.1264847
0.2391968,-0.2016333,1.156149,-0.126207
0.2414551,-0.2015363,1.156185,-0.1261374
0.2520142,-0.2012212,1.156348,-0.125989
0.2612915,-0.2010792,1.156336,-0.1260926
0.2614136,-0.201077,1.156335,-0.1260944
0.2724609,-0.2005471,1.15615,-0.126175
0.2814331,-0.2004381,1.156139,-0.1261791
0.2834473,-0.2004495,1.156144,-0.1261792
0.2946167,-0.2004341,1.156347,-0.1262114
0.3014526,-0.2003999,1.156522,-0.1262256
0.3056641,-0.2003566,1.156669,-0.1262564
0.3167725,-0.2001924,1.157002,-0.1263778
0.3214722,-0.2001354,1.157137,-0.1264267
0.3278198,-0.2000411,1.157329,-0.1264783
0.3389893,-0.1997862,1.157417,-0.1265406
0.3414307,-0.1997556,1.157441,-0.1265425
0.3500366,-0.1997761,1.157482,-0.126512
0.3612671,-0.199646,1.157165,-0.1264531
0.3614502,-0.1996419,1.157158,-0.1264518
0.3725586,-0.1995003,1.156931,-0.1263692
0.3814697,-0.199444,1.156813,-0.126335
