Time, X, Y, Z
0.001464844,0.1446848,1.137867,-0.1221441
0.006652832,0.1435169,1.136304,-0.1221214
0.01776123,0.1415752,1.133715,-0.1219862
0.02142334,0.1409096,1.132684,-0.1219979
0.02880859,0.1395553,1.130006,-0.1222286
0.03991699,0.137786,1.126794,-0.1223864
0.04144287,0.1375134,1.126318,-0.1224017
0.05108643,0.1356624,1.12315,-0.1225849
0.0614624,0.1338707,1.120118,-0.1227696
0.06219482,0.1337247,1.119877,-0.1227758
0.07366943,0.1320074,1.116858,-0.1227841
0.0814209,0.13069,1.114669,-0.1225389
0.0847168,0.129933,1.113433,-0.1223692
0.09838867,0.1280128,1.109496,-0.1219784
0.1014404,0.1277985,1.108388,-0.122029
0.1069336,0.1272966,1.106037,-0.122111
0.1171875,0.1264758,1.102713,-0.1224801
0.12146,0.1261256,1.101239,-0.1226814
0.1280518,0.1253643,1.09851,-0.1230346
0.1391602,0.1243534,1.094604,-0.1232078
0.1414185,0.1241361,1.093677,-0.1232462
0.1502075,0.1236573,1.089861,-0.1239636
0.1613159,0.1234115,1.085654,-0.1244489
0.161438,0.1234095,1.085603,-0.1244537
0.1726685,0.1230215,1.081307,-0.125095
0.1814575,0.1227379,1.078077,-0.1255865
0.1836548,0.1226605,1.077221,-0.1257132
0.1947021,0.1224391,1.07378,-0.1259343
0.201416,0.122321,1.071731,-0.1261438
0.2059326,0.1221921,1.070255,-0.1263793
0.2168579,0.1217941,1.067742,-0.1267506
0.2214355,0.121635,1.066546,-0.1269324
0.2282104,0.1213995,1.064658,-0.1272139
0.2391968,0.1211907,1.061863,-0.1278788
0.2414551,0.1211785,1.061197,-0.1280602
0.2520142,0.1213708,1.058129,-0.1284429
0.2612915,0.1215042,1.056041,-0.1285986
0.2614136,0.1215062,1.056008,-0.1286008
0.2724609,0.1216904,1.05293,-0.1287101
0.2814331,0.1218004,1.050807,-0.1286694
0.2834473,0.1218273,1.050344,-0.1286612
0.2946167,0.1221716,1.047996,-0.1287965
0.3014526,0.1224811,1.046599,-0.1289485
0.3056641,0.1227473,1.045704,-0.1291543
0.3167725,0.1232599,1.044169,-0.1296553
0.3214722,0.1234487,1.043448,-0.1298654
0.3278198,0.1236558,1.042225,-0.1302485
0.3389893,0.1240586,1.040771,-0.130706
0.3414307,0.1241275,1.040437,-0.1307901
0.3500366,0.124173,1.039203,-0.1310042
0.3612671,0.1240946,1.037826,-0.1310591
0.3614502,0.1240928,1.037802,-0.1310588
0.3725586,0.1238433,1.036179,-0.1313852
0.3814697,0.123598,1.034609,-0.1317252
0.3834839,0.123545,1.034228,-0.1317914
0.3946533,0.1233677,1.032072,-0.1322254
0.4014282,0.123314,1.030683,-0.1326212
0.4072266,0.1232687,1.029371,-0.1330791
0.416748,0.1230088,1.027722,-0.1336815
0.4214478,0.1228494,1.026798,-0.1339594
0.4278564,0.1223312,1.025421,-0.1342482
0.4391479,0.1214886,1.023677,-0.1344642
0.4414673,0.1212761,1.023266,-0.1345138
0.4502563,0.1202836,1.021638,-0.1348511
0.4614258,0.1193058,1.019606,-0.1350034
0.4615479,0.1192954,1.019581,-0.1350057
0.4728394,0.1185143,1.017,-0.1353817
0.4814453,0.1178404,1.014507,-0.1355782
0.4838867,0.1175541,1.013447,-0.1355985
0.4951172,0.11666,1.010224,-0.1359248
0.5014648,0.1161652,1.008195,-0.1361651
0.5063477,0.1158312,1.006276,-0.1363648
0.5174561,0.1151228,1.002752,-0.1368204
0.5214233,0.114812,1.001363,-0.137015
0.5288696,0.1142448,0.9981771,-0.1368868
