Time, X, Y, Z
0,-0.09164302,0.8855234,0.004001755
0,-0.07098678,0.9375526,0.0669894
0,-0.2304755,0.933541,0.2098523
0,0.145976,0.8923721,-0.03109797
0,0.1687578,0.9405031,0.317699
0,0.1128926,0.9395818,0.1577629
0,-0.192872,0.9344444,0.3316229
0,0.1806748,0.8871757,-0.04407284
0,-0.1593922,0.8688276,0.1964882
0,-0.2149753,0.8952641,0.1501418
0,-0.1723579,0.8897436,0.149051
0,-0.1998155,0.8999036,0.1448306
0,-0.2037458,0.8989678,0.1442814
0,-0.1501147,0.8980545,0.1601435
0,-0.1153931,0.8970866,-0.03861702
0,-0.1790223,0.8991086,0.1359456
0,-0.1830843,0.9087002,0.1668413
0,-0.1916022,0.8727517,0.1675676
0,-0.2047294,0.913427,0.1702061
0,-0.281619,0.9111394,0.1835715
0,-0.1816513,0.8688255,0.2146278
0,-0.1594706,0.8947133,0.1613579
0,-0.1488346,0.878846,0.1720611
0,-0.2056134,0.8708741,0.1727865
0,-0.2113618,0.8900551,0.1710031
0,-0.1836912,0.8770348,0.1408542
0,-0.1980541,0.909018,0.1548782
0,-0.2064056,0.8969132,0.1818604
0,-0.2324063,0.8872697,0.1460872
0,-0.1779126,0.8886923,0.2220195
0,-0.25513,0.9407761,0.08439697
0,-0.2308489,0.8976461,0.03098413
0,-0.1615755,0.9483898,0.0717152
0,-0.2196162,0.874839,0.1506945
0,-0.191939,0.8824624,0.1793087
0,-0.245214,0.8832753,0.24233
0,-0.2135413,0.8841611,0.1820372
0,-0.1838681,0.8947765,0.1469825
0,-0.1963034,0.8879244,0.1262668
0,-0.2402375,0.8794307,0.1848983
0,-0.2599798,0.8867074,0.1535053
0,-0.2166386,0.8879106,0.2101207
0,-0.1871088,0.9036049,0.1089522
0,-0.2170687,0.8775888,0.1846415
0,-0.1754819,0.8623848,0.1385899
0,-0.1322091,0.9248643,0.01114735
0,-0.1693626,0.8837306,0.1946345
0,-0.09412368,0.8993518,0.0494132
0,-0.1129202,0.9262931,0.01911626
0,-0.1397216,0.9373081,0.140197
0,-0.107486,0.8853295,0.01952131
0,-0.1689936,0.9201208,0.09535099
11.77722,-0.1651223,0.8791559,0.1809342
13.61722,-0.2300531,0.9002275,0.160725
14.63721,-0.002675124,0.8929394,-0.0006905193
16.65723,-0.218127,0.8774574,0.1999935
18.35721,-0.1753805,0.8823446,0.1211446
20.35721,-0.2171706,0.8746371,0.1851939
22.27722,-0.1664535,0.8864939,0.178917
25.05722,-0.2064661,0.9071373,0.1745465
26.63721,-0.1638379,0.8762081,0.1665287
27.63721,-0.05720021,0.9346519,0.07565413
29.51721,-0.1946517,0.8689622,0.1852559
31.21722,-0.189316,0.891524,0.1740263
33.29721,-0.09345774,0.8909047,0.04228056
35.43723,-0.1751489,0.8728445,0.2325777
38.37723,-0.2292256,0.9187663,0.1247343
40.29721,-0.1915071,0.9026546,0.145329
41.57721,-0.1577463,0.9394728,0.1113227
43.79721,-0.2469269,0.8901839,0.1336993
47.85721,-0.2160845,0.8655504,0.2158196
50.43723,-0.1475425,0.8766576,0.1643961
53.1972,-0.2316015,0.8878208,0.219288
55.67722,-0.2213169,0.8901783,0.1341481
59.05722,-0.1712733,0.8908186,0.1652767
61.23721,-0.2256274,0.8801965,0.1568955
63.45721,-0.1735608,0.8811573,0.1466043
66.53723,-0.2009515,0.8647203,0.1120141
68.79721,-0.1908576,0.8719994,0.1936393
77.07721,-0.2275492,0.8765742,0.1851835
79.27722,-0.1508622,0.8716167,0.1864058
83.51721,-0.1757535,0.8880605,0.1754689
85.77722,-0.1813512,0.8853959,0.1618951
89.4772,-0.2168024,0.8841239,0.2010209
92.29721,-0.1932313,0.8785198,0.1521487
94.6972,-0.181039,0.8838428,0.1706439
99.87723,-0.162454,0.9306215,0.155333
103.4972,-0.2250364,0.9468728,0.1349702
106.5972,-0.2060295,0.8853302,0.1485512
108.9772,-0.1842374,0.9149838,0.2010849
110.5972,-0.1891809,0.9307845,0.116315
114.0772,-0.1585217,0.8713938,0.1675611
118.8372,-0.2194602,0.8895621,0.192832
121.8572,-0.2135138,0.9147113,0.1406416
125.4572,-0.1885437,0.8833998,0.1613388
127.7972,-0.1774601,0.8863098,0.1591325
129.0972,-0.08129165,0.9008222,0.01264084
152.4972,-0.2222643,0.8782886,0.1712906
155.0972,-0.2167082,0.8757038,0.1470584
157.0772,-0.1346405,0.929655,0.1689919
159.2172,-0.203249,0.9282368,0.1634025
160.5172,-0.1212699,0.9569041,0.09940261
162.4172,-0.2090095,0.9261275,0.1497403
164.4372,-0.1552809,0.9206909,0.1926065
165.7772,-0.09280254,0.9121084,0.103467
167.9772,-0.1594983,0.9433754,0.1737273
169.9572,-0.2382502,0.9202927,0.1692869
173.7172,-0.1770515,0.9115394,0.1925691
176.5972,-0.2472623,0.9088011,0.1495532
177.7772,-0.05175534,0.9138989,0.06776077
179.4172,-0.148955,0.9363385,0.1116594
182.5572,-0.1692225,0.8927524,0.155762
