Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.1918354,0.86,0.1463726
0,-0.201782,0.86,0.2051914
0,-0.2080503,0.86,0.1849775
0,-0.1527439,0.86,0.1919975
0,-0.204192,0.86,0.1475018
0,-0.1712536,0.86,0.1691534
0,-0.2054019,0.86,0.1849149
0,-0.1958162,0.86,0.1492358
0,-0.1592058,0.86,0.1807178
0,-0.2239141,0.86,0.1405529
0,-0.1641018,0.86,0.1358173
0,-0.1851927,0.86,0.1769038
0,-0.2144645,0.86,0.1480769
0,-0.1541274,0.86,0.1762226
0,-0.2189317,0.86,0.2037079
0,-0.1625549,0.86,0.1790012
0,-0.1532294,0.86,0.1392743
0,-0.159971,0.86,0.1847627
0,-0.2108627,0.86,0.1387147
0,-0.2039112,0.86,0.1815019
0,-0.1753667,0.86,0.1458299
0,-0.1859833,0.86,0.1875384
0,-0.1927278,0.86,0.1464966
0,-0.2173757,0.86,0.1924491
0,-0.1797614,0.86,0.1993677
0,-0.2207167,0.86,0.1766485
0,-0.1827209,0.86,0.1880299
0,-0.2008665,0.86,0.1468594
0,-0.2235756,0.86,0.2093097
0,-0.15,0.86,0.2
0,-0.209511,0.86,0.2096853
0,-0.1912188,0.86,0.1417862
0,-0.1623715,0.86,0.1840129
0,-0.2173506,0.86,0.1409937
0,-0.1737005,0.86,0.1613992
0,-0.2169058,0.86,0.1768982
0,-0.1851491,0.86,0.1927764
0,-0.1865815,0.86,0.1415624
0,-0.2103113,0.86,0.1778001
0,-0.1769444,0.86,0.1513273
0,-0.1664627,0.86,0.1951287
0,-0.1580344,0.86,0.1574687
0,-0.2189237,0.86,0.2035497
0,-0.21518,0.86,0.156074
0,-0.1636858,0.86,0.1626873
0,-0.1855844,0.86,0.1976807
0,-0.179388,0.86,0.1364038
11.77722,-0.15,0.86,0.2
13.61722,-0.2213733,0.86,0.1473564
14.63721,-0.1694104,0.86,0.1466218
16.65723,-0.2107214,0.86,0.1950684
18.35721,-0.1672205,0.86,0.1442291
20.35721,-0.212543,0.86,0.1951086
22.27722,-0.1629491,0.86,0.1897903
25.05722,-0.2135106,0.86,0.1797672
26.63721,-0.1640003,0.86,0.1381552
27.63721,-0.1515572,0.86,0.1850459
29.51721,-0.1873515,0.86,0.2086231
31.21722,-0.1637234,0.86,0.147828
33.29721,-0.2113853,0.86,0.1597103
35.43723,-0.1634069,0.86,0.2075387
38.37723,-0.2094161,0.86,0.1519201
40.29721,-0.1667086,0.86,0.1629906
41.57721,-0.2112379,0.86,0.1939537
43.79721,-0.2207231,0.86,0.145948
47.85721,-0.2025847,0.86,0.2099718
50.43723,-0.1579477,0.86,0.1776391
53.1972,-0.1986431,0.86,0.1996862
55.67722,-0.2139947,0.86,0.1438747
59.05722,-0.1696397,0.86,0.1658328
61.23721,-0.219616,0.86,0.1520414
63.45721,-0.1660058,0.86,0.143858
66.53723,-0.2239056,0.86,0.1370647
68.79721,-0.1675297,0.86,0.1639586
77.07721,-0.2132998,0.86,0.1668356
79.27722,-0.1665289,0.86,0.1899144
83.51721,-0.202164,0.86,0.2087328
85.77722,-0.1560255,0.86,0.1569147
89.4772,-0.2211066,0.86,0.1948413
92.29721,-0.1888004,0.86,0.1544566
94.6972,-0.1617038,0.86,0.2080853
99.87723,-0.1527003,0.86,0.1714487
103.4972,-0.1997257,0.86,0.1838038
106.5972,-0.1804922,0.86,0.1454059
108.9772,-0.1901153,0.86,0.194411
110.5972,-0.2015285,0.86,0.1422894
114.0772,-0.1580141,0.86,0.1660393
118.8372,-0.2045024,0.86,0.1943873
121.8572,-0.1579722,0.86,0.1364311
125.4572,-0.1970251,0.86,0.175536
127.7972,-0.1583875,0.86,0.1632569
129.0972,-0.2016819,0.86,0.1985801
152.4972,-0.2050986,0.86,0.1382806
155.0972,-0.2218021,0.86,0.1854441
157.0772,-0.1518435,0.86,0.1743279
159.2172,-0.2083101,0.86,0.175245
160.5172,-0.1556285,0.86,0.1395475
162.4172,-0.2031721,0.86,0.1656757
164.4372,-0.1514806,0.86,0.1822744
165.7772,-0.2132994,0.86,0.2089262
167.9772,-0.1571312,0.86,0.1538662
169.9572,-0.2204829,0.86,0.170811
173.7172,-0.1636159,0.86,0.1707605
176.5972,-0.2213789,0.86,0.1545881
177.7772,-0.1755623,0.86,0.1943827
179.4172,-0.1902549,0.86,0.1411797
182.5572,-0.1603454,0.86,0.1683908
