Time, X, Y, Z
0.006164551,-0.1398915,0.9924544,-0.0724321
0.01721191,-0.1396725,0.9926402,-0.07249823
0.01727295,-0.1396378,0.9926775,-0.07258314
0.02816772,-0.1394175,0.9929368,-0.07279603
0.03723145,-0.1392893,0.9929957,-0.07300854
0.03933716,-0.1392431,0.993058,-0.07307404
0.05053711,-0.1390674,0.9932389,-0.07334805
0.05722046,-0.1388764,0.9932456,-0.07342833
0.06158447,-0.138771,0.9932168,-0.07352556
0.07296753,-0.1386184,0.9931467,-0.07366566
0.07720947,-0.138505,0.9931368,-0.07370518
0.0838623,-0.1383689,0.9931136,-0.07376499
0.09487915,-0.1381303,0.9930888,-0.07386711
0.097229,-0.1381951,0.993118,-0.07393755
0.1060181,-0.1382294,0.9932628,-0.07415794
0.1171265,-0.1383027,0.9935164,-0.07449403
0.117218,-0.1383682,0.9935566,-0.07450616
0.1281433,-0.1386218,0.9939176,-0.07486841
0.137207,-0.1386594,0.9945523,-0.0750958
0.1393433,-0.1386794,0.994673,-0.0751535
0.1503906,-0.1384526,0.9956433,-0.07579178
0.1572266,-0.1383304,0.9960394,-0.07632931
0.1615295,-0.1382418,0.9963814,-0.07668658
0.1725769,-0.138218,0.996998,-0.07743959
0.1772156,-0.1381346,0.9973253,-0.07771964
0.1838989,-0.1381018,0.9977871,-0.07813792
0.1948853,-0.1381668,0.998354,-0.07861811
0.1972046,-0.1381936,0.9983978,-0.07872236
0.2060242,-0.1382513,0.9988311,-0.07915081
0.2172241,-0.1384496,0.9992603,-0.07954456
0.2172546,-0.1384505,0.9992626,-0.07954714
0.2282104,-0.1384771,0.9996092,-0.08010292
0.2372131,-0.1382179,0.9998229,-0.08084275
0.2393494,-0.1381579,0.9999089,-0.08108188
0.2503967,-0.1373592,1.00018,-0.08238252
0.2572327,-0.1367141,1.00028,-0.08299373
0.2614441,-0.1363014,1.000364,-0.08348827
0.2727356,-0.1353958,1.000397,-0.08463134
0.2772217,-0.1351921,1.000293,-0.08482611
0.2835999,-0.1347378,1.000251,-0.08535485
0.2948914,-0.1339522,0.9997426,-0.08576304
0.2972107,-0.1337444,0.9996409,-0.08586498
0.3059692,-0.1330188,0.9992346,-0.08635741
0.3171387,-0.1315878,0.9987076,-0.08713205
0.3172302,-0.1315926,0.9985009,-0.08699363
0.328064,-0.1302993,0.9972902,-0.08728592
0.3372192,-0.1292703,0.9963564,-0.08756973
0.3392029,-0.1290482,0.9961477,-0.0876381
0.3502197,-0.1268075,0.9955804,-0.08779468
0.3572083,-0.1256867,0.9948394,-0.08773251
0.3612976,-0.1247941,0.9943185,-0.0877659
0.3725281,-0.1232531,0.9928184,-0.08713441
0.3772278,-0.1217085,0.9919969,-0.0868891
0.3837585,-0.119783,0.9907884,-0.08657309
0.3946838,-0.1177656,0.9885166,-0.08640331
0.3972168,-0.1168384,0.9882632,-0.08677113
0.4058838,-0.1141465,0.9866722,-0.08728132
0.4170227,-0.1112669,0.9849868,-0.08758949
0.4172058,-0.1111364,0.9848828,-0.08761013
0.4281616,-0.1074821,0.9825256,-0.08820666
0.4372253,-0.1050884,0.9805619,-0.087819
0.4390564,-0.1046305,0.9802126,-0.08779788
0.4501953,-0.1017972,0.9782898,-0.08748727
0.4572144,-0.09949775,0.9769039,-0.08732176
0.4613342,-0.0978929,0.9758705,-0.08721823
0.4723206,-0.0950225,0.9737507,-0.0872106
0.4772339,-0.09379731,0.9721967,-0.08688632
0.483551,-0.09181438,0.9701074,-0.08654901
0.4946594,-0.08994434,0.9672422,-0.08680451
