Time, X, Y, Z
0.006164551,0.116743,0.974703,-0.06093146
0.01721191,0.1167786,0.9746341,-0.06100111
0.01727295,0.1167777,0.9746083,-0.06102644
0.02816772,0.116783,0.9745293,-0.06113736
0.03723145,0.1168031,0.9745512,-0.06122708
0.03933716,0.1168114,0.9745741,-0.06127553
0.05053711,0.1168428,0.9745946,-0.06144801
0.05722046,0.1169019,0.9746314,-0.06161155
0.06158447,0.116926,0.9746593,-0.06171139
0.07296753,0.1169172,0.974685,-0.06185521
0.07720947,0.1169008,0.9747325,-0.06188373
0.0838623,0.1168769,0.9747721,-0.06189831
0.09487915,0.1169042,0.9748187,-0.06196919
0.097229,0.116904,0.9748171,-0.06195894
0.1060181,0.1168776,0.9748666,-0.06190446
0.1171265,0.1168509,0.9748969,-0.06190448
0.117218,0.1168438,0.9748973,-0.06191249
0.1281433,0.1167878,0.9749585,-0.06184429
0.137207,0.1167647,0.9750274,-0.06180543
0.1393433,0.1167601,0.975045,-0.06179613
0.1503906,0.1167801,0.9750559,-0.06175846
0.1572266,0.1168331,0.9749795,-0.06175463
0.1615295,0.1168684,0.9749451,-0.06175709
0.1725769,0.1168585,0.9748757,-0.06172508
0.1772156,0.1168744,0.97483,-0.06170954
0.1838989,0.1169161,0.9747546,-0.06168437
0.1948853,0.1169011,0.9746806,-0.06162313
0.1972046,0.1168974,0.9746999,-0.06161663
0.2060242,0.1169064,0.9746873,-0.06153722
0.2172241,0.1168428,0.9746333,-0.0615031
0.2172546,0.1168426,0.9746329,-0.06150298
0.2282104,0.1168638,0.9745581,-0.06145705
0.2372131,0.1168394,0.974549,-0.06143069
0.2393494,0.1168372,0.9745415,-0.06142621
0.2503967,0.1168934,0.9745349,-0.06147003
0.2572327,0.1169244,0.9744607,-0.06148058
0.2614441,0.116947,0.974409,-0.06148562
0.2727356,0.1169722,0.9743427,-0.06149185
0.2772217,0.1169497,0.9743527,-0.0614751
0.2835999,0.1169178,0.9743522,-0.06144227
0.2948914,0.1168325,0.9742888,-0.06139252
0.2972107,0.1168131,0.9742662,-0.06139119
0.3059692,0.1166961,0.9741728,-0.06137371
0.3171387,0.1165331,0.9740872,-0.06127806
0.3172302,0.11654,0.9740986,-0.0612618
0.328064,0.116318,0.9739944,-0.06104311
0.3372192,0.11617,0.9739797,-0.06104541
0.3392029,0.1161337,0.9739693,-0.06104031
0.3502197,0.1160235,0.9739763,-0.06098631
0.3572083,0.1159869,0.9739274,-0.06097022
0.3612976,0.1159522,0.9738795,-0.06096572
0.3725281,0.1158174,0.9738932,-0.06083596
0.3772278,0.1158005,0.9739242,-0.06080653
0.3837585,0.1157496,0.9739166,-0.06078729
0.3946838,0.1157039,0.9740168,-0.06075554
0.3972168,0.1156837,0.9740071,-0.06073388
0.4058838,0.1155718,0.9739581,-0.06067854
0.4170227,0.1154687,0.9739958,-0.06073277
0.4172058,0.1154713,0.974014,-0.06071095
0.4281616,0.1153136,0.9739938,-0.06071663
0.4372253,0.1152686,0.9741288,-0.06072326
0.4390564,0.115254,0.9741453,-0.06072353
0.4501953,0.1152704,0.9741491,-0.06072222
0.4572144,0.1151741,0.9741683,-0.06071033
0.4613342,0.1151303,0.974156,-0.06071772
0.4723206,0.1151802,0.9742044,-0.06068017
0.4772339,0.1152373,0.9742711,-0.06064732
0.483551,0.1153025,0.9743089,-0.06059922
0.4946594,0.1153806,0.9743901,-0.06056501
0.4972229,0.1154234,0.9744313,-0.06050013
0.5058289,0.1155121,0.9745445,-0.06035252
0.5169067,0.1157028,0.974681,-0.06007586
0.5172119,0.115722,0.9746847,-0.06011193
0.5280457,0.1159669,0.9748363,-0.05988674
0.5372314,0.1161759,0.9749331,-0.05970371
0.539032,0.116211,0.9749569,-0.05966988
0.5501099,0.1163954,0.9751145,-0.05937238
0.5572205,0.1165351,0.9751869,-0.05919406
0.5612183,0.1166373,0.9752729,-0.0590518
0.5722656,0.1166468,0.9754932,-0.05893275
0.5772095,0.116677,0.9756235,-0.05882998
0.5837708,0.1167181,0.9758574,-0.05865172
0.5945129,0.1169067,0.9759369,-0.05836885
0.597229,0.1169337,0.9759319,-0.05835091
0.6061096,0.1170477,0.9760386,-0.05815266
0.6168213,0.1171972,0.9760607,-0.05790716
0.617218,0.1172076,0.9760523,-0.05790858
0.6281128,0.117408,0.9762142,-0.05770066
0.637207,0.1175034,0.9763812,-0.05761252
0.6390381,0.1175243,0.9764118,-0.0575885
0.650116,0.1176601,0.9765264,-0.0574892
0.6572266,0.1176891,0.9766359,-0.0574853
0.6613159,0.1177119,0.9767297,-0.05746301
0.6722412,0.1177214,0.9770114,-0.0574504
0.6772156,0.1177526,0.9771401,-0.05750656
0.6838379,0.1178199,0.9773484,-0.0576012
0.6946716,0.1178127,0.9775789,-0.05765113
0.6972046,0.1178494,0.9776481,-0.05765671
0.7056274,0.1178867,0.9779605,-0.05770256
0.7168579,0.1179716,0.9780507,-0.05770931
0.7172241,0.1180151,0.9780339,-0.05771399
0.7279358,0.1183565,0.978088,-0.05778101
0.7372131,0.1187242,0.9782693,-0.05773626
0.7390137,0.1188105,0.9782961,-0.05773284
0.75,0.1190809,0.9783784,-0.0576406
0.7572327,0.1194067,0.9784849,-0.05762221
0.761322,0.1198395,0.9785644,-0.05760553
0.7721558,0.1202598,0.9786233,-0.05758679
0.7772217,0.1205395,0.9787573,-0.05763344
0.7833862,0.1210559,0.9789669,-0.05768965
0.7944946,0.1214838,0.9791228,-0.05759571
0.7972107,0.1217328,0.979135,-0.05753995
0.8055725,0.12268,0.9791718,-0.05739594
0.8167419,0.1231723,0.9794995,-0.05740651
0.8172302,0.123203,0.9795228,-0.05739695
0.8278198,0.1240206,0.9799202,-0.05719267
0.8372192,0.1245466,0.9803712,-0.05721648
0.8388367,0.1246305,0.9804503,-0.05719924
0.8500366,0.1250885,0.9806721,-0.0572399
0.8572083,0.1254579,0.9810579,-0.05695808
0.861084,0.1258427,0.98142,-0.05672139
0.8721313,0.1264326,0.9815426,-0.0567643
0.8772278,0.1266916,0.9816537,-0.05680548
0.8832397,0.1272538,0.98182,-0.05692947
0.8945618,0.1277407,0.9820754,-0.05707356
0.8972168,0.1279047,0.9820798,-0.05701455
0.9058533,0.1287264,0.9821437,-0.05695501
0.9165039,0.1291103,0.9821612,-0.05696586
0.9172058,0.1291398,0.9821594,-0.05696429
0.9277954,0.1300296,0.982103,-0.05697578
0.9372253,0.1304789,0.9822376,-0.05698238
0.9388733,0.1305793,0.982264,-0.0569775
0.9499512,0.1309701,0.9822791,-0.05675521
0.9572144,0.1312242,0.9822861,-0.05665536
0.9611511,0.1314879,0.9823093,-0.05654578
