Time, X, Y, Z
11.73999,-0.1946112,0.8909175,0.143508
13.34003,-0.2044595,0.9002872,0.1838802
15.06,-0.2316526,0.9112569,0.164273
16.70001,-0.1617706,0.8868174,0.1523961
18.14001,-0.1969103,0.8936763,0.1825398
19.78003,-0.1819468,0.8769796,0.1587146
21.38,-0.1814924,0.9152038,0.1624881
23.10004,-0.1756935,0.8780345,0.1539497
24.14001,-0.0578239,0.8888093,0.0634793
25.90002,-0.1739321,0.9269038,0.2021214
26.94,-0.1169001,0.9475693,0.09562904
28.30005,-0.1401056,0.9454381,0.1495751
29.90002,-0.2065785,0.8909166,0.1515352
31.38,-0.1721903,0.9016947,0.1568163
33,-0.2300657,0.9204246,0.218433
54.48004,-0.1885925,0.8976905,0.1576614
56.36005,-0.2481626,0.8987065,0.2015617
57.44,-0.1299307,0.9480734,0.1342623
60.30005,-0.1723008,0.90357,0.1619066
61.92004,-0.232102,0.9146233,0.1549988
63.60004,-0.1773264,0.8968287,0.1752013
65,-0.1567035,0.9300511,0.1207082
66.30005,-0.1546607,0.9396431,0.1612246
66.58118,-0.1071007,0.923665,0.05625277
70.5,-0.1819421,0.8694277,0.150846
72.53998,-0.2152593,0.8812788,0.1307233
74.53998,-0.1734428,0.8846618,0.2147114
76.72003,-0.2066744,0.8960307,0.1595181
78.14008,-0.1552754,0.9437312,0.1531142
80.88007,-0.1640852,0.8849205,0.1263756
82.89996,-0.2097622,0.9056807,0.1854988
104.7601,-0.1681403,0.9267607,0.1549928
106.54,-0.2203038,0.8979658,0.1453132
108.22,-0.1660523,0.8916186,0.1791749
110.4,-0.2091779,0.8961127,0.1755661
111.66,-0.0626364,0.9268659,0.08162818
113.36,-0.1307696,0.9408387,0.1310231
115.04,-0.1252934,0.9401226,0.1401172
117.82,-0.2216911,0.885352,0.1951312
119.84,-0.1764037,0.8806028,0.1837226
120.94,-0.06534439,0.9109222,0.06811588
124.02,-0.1687692,0.8839875,0.1497613
126.1201,-0.1851071,0.901113,0.1380382
127.6,-0.1196151,0.9350872,0.1298066
129.3,-0.1649418,0.9209091,0.1386596
131.52,-0.1638208,0.885652,0.2061417
153.4,-0.2159142,0.9158815,0.1480839
155.22,-0.2369094,0.9250615,0.1274542
156.6201,-0.1670641,0.9267228,0.1473577
158.78,-0.1674883,0.8873156,0.1512726
162.28,-0.2361704,0.8938956,0.1591568
165.44,-0.1620412,0.888969,0.19213
167.6401,-0.1965761,0.8637448,0.1601636
169.9,-0.1330817,0.940371,0.1086367
173.16,-0.1918775,0.8869088,0.1601988
175.2,-0.1823975,0.8889477,0.1691165
177.42,-0.176751,0.8718295,0.1763691
179.9,-0.1943852,0.8875679,0.136015
181.86,-0.1785896,0.8924429,0.2021703
184.32,-0.1887014,0.8832281,0.1333574
187.66,-0.2262169,0.8843372,0.1350505
