Time, X, Y, Z
11.73999,-0.1799772,0.86,0.1578669
13.34003,-0.2092367,0.86,0.2083574
15.06,-0.2112649,0.86,0.1608373
16.70001,-0.1704972,0.86,0.1454985
18.14001,-0.1987509,0.86,0.1947673
19.78003,-0.1716052,0.86,0.1711798
21.38,-0.1825849,0.86,0.2094745
23.10004,-0.1805855,0.86,0.142821
24.14001,-0.2014255,0.86,0.176598
25.90002,-0.1749239,0.86,0.2089629
26.94,-0.2179233,0.86,0.1728976
28.30005,-0.1568102,0.86,0.1712967
29.90002,-0.1959607,0.86,0.1664716
31.38,-0.1681343,0.86,0.192046
33,-0.2160107,0.86,0.2079712
54.48004,-0.1680319,0.86,0.1660999
56.36005,-0.2125009,0.86,0.1932533
57.44,-0.1532943,0.86,0.1542161
60.30005,-0.1553383,0.86,0.1910681
61.92004,-0.2172903,0.86,0.1465284
63.60004,-0.186443,0.86,0.2077145
65,-0.192709,0.86,0.1604417
66.30005,-0.2241994,0.86,0.2059029
66.58118,-0.2173247,0.86,0.1421188
70.5,-0.1658437,0.86,0.1631762
72.53998,-0.2113871,0.86,0.1534838
74.53998,-0.1640442,0.86,0.2071295
76.72003,-0.1761425,0.86,0.1708618
78.14008,-0.2226953,0.86,0.1399187
80.88007,-0.1752202,0.86,0.1399395
82.89996,-0.2040727,0.86,0.1718282
104.7601,-0.1663663,0.86,0.1712756
106.54,-0.2107527,0.86,0.1644582
108.22,-0.1549017,0.86,0.2032706
110.4,-0.2213536,0.86,0.1940679
111.66,-0.156088,0.86,0.1956046
113.36,-0.2004164,0.86,0.173109
115.04,-0.1694687,0.86,0.2031257
117.82,-0.2083037,0.86,0.2082468
119.84,-0.1527106,0.86,0.1864419
120.94,-0.2029825,0.86,0.1966527
124.02,-0.1667507,0.86,0.1830609
126.1201,-0.1698623,0.86,0.1379502
127.6,-0.2219412,0.86,0.2092648
129.3,-0.1892532,0.86,0.1508966
131.52,-0.1671147,0.86,0.2054139
153.4,-0.2087368,0.86,0.1858134
155.22,-0.1910252,0.86,0.1545147
156.6201,-0.2158887,0.86,0.1856176
158.78,-0.1692199,0.86,0.1583771
162.28,-0.2162346,0.86,0.1599172
165.44,-0.1767526,0.86,0.1944267
167.6401,-0.1873944,0.86,0.1443893
169.9,-0.2187244,0.86,0.2024459
173.16,-0.1572251,0.86,0.1625824
175.2,-0.1965787,0.86,0.1911685
177.42,-0.163486,0.86,0.1735635
179.9,-0.1951226,0.86,0.1476392
181.86,-0.1712939,0.86,0.2099544
184.32,-0.1908275,0.86,0.1652883
187.66,-0.2185268,0.86,0.1946083
