Time, X, Y, Z
0,-0.07169972,0.9835561,-0.1206087
0.006835938,-0.07174004,0.9836046,-0.1205419
0.01782227,-0.07175196,0.9836362,-0.1204676
0.02001953,-0.07175828,0.9836456,-0.1204601
0.02886963,-0.07177326,0.9837397,-0.1204227
0.04003906,-0.07171559,0.9838889,-0.1203352
0.04003906,-0.07171502,0.9838896,-0.1203347
0.05114746,-0.0716262,0.9840012,-0.1202059
0.05999756,-0.07159837,0.9840439,-0.1200341
0.06207275,-0.07157778,0.9840307,-0.1199708
0.07336426,-0.07145964,0.9839985,-0.1197572
0.08001709,-0.07136431,0.9839896,-0.1196664
0.08428955,-0.07129283,0.9839585,-0.1195976
0.09570313,-0.071234,0.9838672,-0.1193877
0.1000366,-0.07121943,0.9838413,-0.1192537
0.1066284,-0.07117102,0.9838803,-0.1191561
0.1177979,-0.07107314,0.9838991,-0.1191477
0.1199951,-0.07103721,0.9839059,-0.1191419
0.1287231,-0.07090703,0.9839554,-0.119118
0.1398315,-0.07078234,0.9840126,-0.119095
0.1400146,-0.07077989,0.9840139,-0.1190946
0.151001,-0.07070966,0.9841028,-0.11909
0.1600342,-0.0706906,0.9841792,-0.1190303
0.1622314,-0.07068871,0.9841955,-0.1190232
0.1732178,-0.07066616,0.9842381,-0.1190541
0.1799927,-0.07071376,0.9842479,-0.11902
0.1843262,-0.07074615,0.9842237,-0.1189637
0.1954956,-0.07071503,0.9841893,-0.1188899
0.2000122,-0.07072595,0.9841716,-0.1188804
0.2067871,-0.07074507,0.9841114,-0.1188422
0.2176514,-0.07074262,0.9839936,-0.1187199
0.2200317,-0.07072672,0.9839582,-0.1186953
0.2294312,-0.07063473,0.9838194,-0.1185979
0.2398071,-0.07059143,0.983766,-0.1184908
0.2399902,-0.07059061,0.9837649,-0.118489
0.2509766,-0.07047201,0.983573,-0.1184703
0.2600098,-0.07043107,0.9834974,-0.1184914
0.262085,-0.07042187,0.983475,-0.1184991
0.2733154,-0.07038529,0.9832782,-0.1184977
0.2800293,-0.07031448,0.9830828,-0.1185908
0.2843628,-0.0702614,0.9829202,-0.1186885
0.2955933,-0.07018946,0.9826521,-0.1188222
0.3000488,-0.07012188,0.9825028,-0.118916
0.3065186,-0.06995492,0.9822515,-0.1190283
0.3175049,-0.06981142,0.981934,-0.1191463
0.3200073,-0.06971014,0.9818629,-0.1191212
0.3286133,-0.06955972,0.9815148,-0.1191564
0.3398438,-0.0694429,0.9810817,-0.1191598
0.3400269,-0.06941144,0.9810771,-0.1190867
0.3508301,-0.06919733,0.9805309,-0.1189811
0.3600464,-0.06915788,0.980099,-0.118788
0.3619385,-0.06914628,0.9799349,-0.1187012
0.3731689,-0.0691257,0.9793327,-0.1184874
0.3800049,-0.06918609,0.9788617,-0.1182835
0.3841553,-0.06923991,0.9784992,-0.118048
0.3953857,-0.06932143,0.977792,-0.1175894
0.4000244,-0.06937001,0.9773493,-0.1174251
0.4065552,-0.06945069,0.9766811,-0.1169607
0.4175415,-0.06955475,0.9757047,-0.1163884
0.4200439,-0.06951152,0.9753467,-0.1158617
0.4285278,-0.06948125,0.9742959,-0.1148325
0.4398193,-0.06936281,0.9728301,-0.1137785
0.4400024,-0.06936694,0.9727869,-0.1137875
0.4508057,-0.06925341,0.9712174,-0.1126275
0.460022,-0.06907649,0.9696424,-0.1112815
0.461853,-0.06904824,0.9693419,-0.1110262
0.4730225,-0.06912944,0.967292,-0.1095112
0.4800415,-0.06920425,0.9658259,-0.1085173
0.484375,-0.06922185,0.9647237,-0.107729
0.4953003,-0.06903659,0.962736,-0.1064593
0.5,-0.06910529,0.9614965,-0.1057493
0.5064087,-0.06910156,0.9597131,-0.1045991
0.517395,-0.06892562,0.9574972,-0.1031
0.5200195,-0.0688097,0.9568748,-0.1026929
0.5284424,-0.06855015,0.9546034,-0.101238
0.5396118,-0.06792448,0.951889,-0.09977062
0.5400391,-0.06793256,0.9516677,-0.09959339
0.5507202,-0.0673908,0.9484425,-0.09753887
0.5599976,-0.0667279,0.9461191,-0.09650145
0.5617676,-0.06660317,0.9456375,-0.096246
0.572937,-0.06566542,0.942922,-0.09518102
0.5800171,-0.06508405,0.9408749,-0.09446859
0.5839844,-0.06463271,0.9394391,-0.09389199
0.5952148,-0.06367004,0.9361948,-0.09249261
0.6000366,-0.06314266,0.9346991,-0.09196401
0.6063232,-0.06238818,0.9324403,-0.09105504
0.6173706,-0.06133711,0.9296217,-0.09015727
0.6199951,-0.06073378,0.9288173,-0.0899525
0.6283569,-0.05907136,0.925926,-0.08902147
0.6397705,-0.05768705,0.9236099,-0.08829346
0.6400146,-0.05765589,0.9234348,-0.08825436
0.6507568,-0.05592381,0.919268,-0.08728164
