Time, X, Y, Z
0,0.1383277,1.016565,-0.09206231
0.006835938,0.1381695,1.016656,-0.09199865
0.01782227,0.1380625,1.016659,-0.09199394
0.02001953,0.1380401,1.016648,-0.09199783
0.02886963,0.1379473,1.016587,-0.09201036
0.04003906,0.1378536,1.016563,-0.09203205
0.04003906,0.1378532,1.016563,-0.09203227
0.05114746,0.1377776,1.016574,-0.09207234
0.05999756,0.1376274,1.016656,-0.09203233
0.06207275,0.1375793,1.016681,-0.0920202
0.07336426,0.1374845,1.016696,-0.09202634
0.08001709,0.1374516,1.016684,-0.09206271
0.08428955,0.1374284,1.016662,-0.09208164
0.09570313,0.1373301,1.016612,-0.092104
0.1000366,0.1372889,1.01661,-0.09207919
0.1066284,0.1372,1.016619,-0.09206234
0.1177979,0.1370835,1.016617,-0.09213692
0.1199951,0.1370696,1.016626,-0.09215075
0.1287231,0.1370275,1.016661,-0.09217474
0.1398315,0.1369821,1.016715,-0.09215988
0.1400146,0.1369814,1.016717,-0.09215935
0.151001,0.1368707,1.016807,-0.0920569
0.1600342,0.1367832,1.016897,-0.09192792
0.1622314,0.1367626,1.016912,-0.09190224
0.1732178,0.1366867,1.016991,-0.09178859
0.1799927,0.1365858,1.017029,-0.09165923
0.1843262,0.1365238,1.017046,-0.09157848
0.1954956,0.1364825,1.017143,-0.09148319
0.2000122,0.1364357,1.017192,-0.09146658
0.2067871,0.1363884,1.017224,-0.09143671
0.2176514,0.1363835,1.017258,-0.09132904
0.2200317,0.1364019,1.017271,-0.09131561
0.2294312,0.1365002,1.017319,-0.09124635
0.2398071,0.1365533,1.017395,-0.09116609
0.2399902,0.1365544,1.017396,-0.09116511
0.2509766,0.1366999,1.01739,-0.09118217
0.2600098,0.1367722,1.017446,-0.09115461
0.262085,0.1367894,1.017449,-0.09113906
0.2733154,0.1368326,1.017487,-0.09096253
0.2800293,0.1368939,1.017478,-0.09092812
0.2843628,0.1369346,1.017495,-0.09091808
0.2955933,0.1369367,1.017547,-0.09084867
0.3000488,0.1369616,1.017516,-0.09085248
0.3065186,0.1370115,1.017467,-0.09089769
0.3175049,0.1369745,1.017457,-0.09089361
0.3200073,0.1369903,1.017446,-0.09097764
0.3286133,0.1370306,1.017363,-0.09110987
0.3398438,0.1370968,1.017194,-0.09122501
0.3400269,0.1371262,1.017196,-0.09118491
0.3508301,0.1372311,1.016993,-0.09128195
0.3600464,0.1371619,1.016814,-0.09128432
0.3619385,0.1371349,1.016892,-0.09122799
0.3731689,0.1370082,1.016847,-0.09115668
0.3800049,0.1370471,1.016713,-0.09112462
0.3841553,0.1370534,1.016721,-0.09105146
0.3953857,0.137083,1.016715,-0.09089361
0.4000244,0.1370169,1.016755,-0.09091622
0.4065552,0.136977,1.016774,-0.09082077
0.4175415,0.1369334,1.016739,-0.09075977
0.4200439,0.1368925,1.016891,-0.09068027
0.4285278,0.1368608,1.017082,-0.09054779
0.4398193,0.1367365,1.017259,-0.09044655
0.4400024,0.1367736,1.017188,-0.09045087
0.4508057,0.1368064,1.017229,-0.09034939
0.460022,0.1367062,1.017252,-0.09038126
0.461853,0.1366955,1.017261,-0.09037679
0.4730225,0.1366694,1.01733,-0.09010355
0.4800415,0.1365983,1.017439,-0.09016326
0.484375,0.1365803,1.017521,-0.09016028
0.4953003,0.1365866,1.017572,-0.08996212
0.5,0.1365286,1.017589,-0.08988112
0.5064087,0.1365034,1.017667,-0.08972393
0.517395,0.1363095,1.01773,-0.08970135
0.5200195,0.1362133,1.017748,-0.08974513
0.5284424,0.1360374,1.017794,-0.08977538
0.5396118,0.1359755,1.017849,-0.08977115
0.5400391,0.1359322,1.017857,-0.08978291
0.5507202,0.1357384,1.018064,-0.08978537
0.5599976,0.1356797,1.018195,-0.08995633
0.5617676,0.1356704,1.018227,-0.08997977
0.572937,0.1354352,1.018423,-0.0900695
0.5800171,0.1354004,1.018514,-0.09008238
0.5839844,0.1353766,1.018609,-0.09009783
0.5952148,0.1352626,1.01869,-0.09006575
0.6000366,0.1351986,1.018733,-0.08999525
0.6063232,0.1351254,1.018819,-0.08990431
0.6173706,0.135038,1.01883,-0.08983177
0.6199951,0.1350031,1.018794,-0.08984849
0.6283569,0.1349393,1.018879,-0.08982475
0.6397705,0.1349093,1.018926,-0.08986074
0.6400146,0.1348909,1.018935,-0.08984458
0.6507568,0.1347907,1.019033,-0.08993635
0.6600342,0.1347619,1.019064,-0.09005928
0.6620483,0.1346872,1.019056,-0.09013768
0.6729736,0.1345179,1.019003,-0.09036812
0.6799927,0.134204,1.019028,-0.09059198
0.684021,0.133978,1.019002,-0.09072918
0.6950073,0.1336937,1.018857,-0.09092955
0.7000122,0.1336954,1.018651,-0.09090683
0.7061768,0.133576,1.018391,-0.09095655
0.7175293,0.1335711,1.018184,-0.09085739
0.7200317,0.1335696,1.01817,-0.09075803
0.7283936,0.1335191,1.018078,-0.09057167
0.739563,0.1335244,1.018049,-0.09045516
0.7399902,0.1335053,1.018081,-0.09045801
0.7507324,0.1334721,1.018238,-0.09043854
0.7600098,0.1334695,1.018315,-0.09043972
0.7617188,0.1334901,1.018265,-0.0904191
0.7730713,0.1334345,1.018304,-0.09032084
0.7800293,0.133334,1.018377,-0.09030928
0.7840576,0.133293,1.018461,-0.09033433
0.7949829,0.1332269,1.018571,-0.09035742
0.8000488,0.1332497,1.018643,-0.09048435
0.8060913,0.1332835,1.018791,-0.09061871
