Time, X, Y, Z
12.73999,-0.1937402,0.8640131,0.139219
17.5,-0.2504602,0.8854766,0.1592656
22.85999,-0.2500564,0.8997746,0.1535523
26.53998,-0.1566789,0.9062573,0.1671028
29.32001,-0.1983973,0.8843312,0.140746
33.32001,-0.1821343,0.8971929,0.1782356
46.62,-0.1685622,0.8969358,0.1703246
49.44,-0.1648483,0.8870487,0.1219553
53.09998,-0.2061367,0.8861529,0.1678315
57.64001,-0.03256372,0.8632259,0.1220955
60.29999,-0.1771144,0.9042479,0.1624933
63.08002,-0.1772326,0.8917856,0.1751351
66.02002,-0.1807795,0.8729801,0.1574596
68.67999,-0.1495942,0.9017172,0.1490332
70.34003,-0.09347793,0.9053876,0.1159622
92.53998,-0.1888398,0.8854477,0.1863732
95.14001,-0.1635513,0.889798,0.1802265
97.73999,-0.146018,0.8687658,0.1150157
100.96,-0.1837134,0.9056537,0.2078609
107.92,-0.2015809,0.8980371,0.1600213
112.22,-0.1962529,0.8939165,0.1750026
117.8,-0.2172359,0.8963097,0.1509265
121.32,-0.1656739,0.8771908,0.1196712
123.8,-0.198008,0.8790592,0.1749882
127.32,-0.1594214,0.881013,0.1687867
130.1,-0.2128143,0.8928493,0.1741728
133.9,-0.2221567,0.9191915,0.1981812
136.34,-0.2339544,0.9075195,0.1982438
139.32,-0.181406,0.8716732,0.2090654
142.8,-0.2027618,0.8817737,0.1906687
164.9,-0.2356141,0.9058076,0.1969079
169.6,-0.251419,0.9016245,0.1596322
172.88,-0.1593051,0.8938689,0.1760205
191.38,-0.2185555,0.8816127,0.1748176
194.72,-0.2614131,0.8865728,0.1962914
199.72,-0.1796414,0.8921617,0.1429249
204.04,-0.2060676,0.8791577,0.1804222
207.84,-0.2035202,0.8872759,0.1533618
212.72,-0.1531865,0.882525,0.1610418
215.78,-0.1738316,0.8889404,0.1238153
219.56,-0.179952,0.8947315,0.1215271
221.8,-0.2122538,0.886401,0.1372599
224.5,-0.1815458,0.8838634,0.1476996
236.96,-0.235756,0.8933672,0.1710221
239.36,-0.2063981,0.9244501,0.1540479
261.46,-0.191828,0.8836932,0.1535371
263.62,-0.2097578,0.8674281,0.148023
267.76,-0.2720629,0.8938168,0.163655
270.24,-0.1208296,0.9072776,0.1178639
272.28,-0.2128314,0.8930914,0.1610749
275.28,-0.1525413,0.8844329,0.1780995
278.3,-0.2152373,0.896292,0.1614743
281.4,-0.1961213,0.8890884,0.1252538
284.26,-0.1719096,0.902789,0.1852422
287.66,-0.1994921,0.8878459,0.1135981
290.22,-0.1971562,0.8623668,0.2051344
301.72,-0.2245067,0.8953538,0.1394242
304.34,-0.2002755,0.88397,0.2110571
306.58,-0.1263725,0.8727903,0.1694296
309.52,-0.180085,0.9033324,0.1664308
