Time, X, Y, Z
12.73999,-0.2225795,0.86,0.1463792
17.5,-0.1667889,0.86,0.1826177
22.85999,-0.2246651,0.86,0.2020554
26.53998,-0.1506453,0.86,0.2065759
29.32001,-0.158004,0.86,0.141193
33.32001,-0.1545102,0.86,0.1968168
46.62,-0.2011324,0.86,0.1725094
49.44,-0.1669523,0.86,0.1386386
53.09998,-0.2249565,0.86,0.1850674
57.64001,-0.1693751,0.86,0.1429788
60.29999,-0.2181322,0.86,0.2091068
63.08002,-0.1713137,0.86,0.1836007
66.02002,-0.2198427,0.86,0.1472254
68.67999,-0.1762645,0.86,0.1864536
70.34003,-0.2229042,0.86,0.1445528
92.53998,-0.1873888,0.86,0.1953034
95.14001,-0.1713794,0.86,0.1439133
97.73999,-0.2195444,0.86,0.1665984
100.96,-0.1792305,0.86,0.2013933
107.92,-0.2041692,0.86,0.1608967
112.22,-0.1506898,0.86,0.2080235
117.8,-0.2129084,0.86,0.1726494
121.32,-0.1542844,0.86,0.163965
123.8,-0.2082629,0.86,0.1496204
127.32,-0.1996695,0.86,0.2086331
130.1,-0.1943258,0.86,0.143347
133.9,-0.211523,0.86,0.2018567
136.34,-0.1729352,0.86,0.1516029
139.32,-0.2122445,0.86,0.1814019
142.8,-0.1680219,0.86,0.1715754
164.9,-0.1721192,0.86,0.2094307
169.6,-0.2007659,0.86,0.1826526
172.88,-0.1590258,0.86,0.1869358
191.38,-0.2202885,0.86,0.1699048
194.72,-0.1530969,0.86,0.1934378
199.72,-0.1646849,0.86,0.1446051
204.04,-0.1627102,0.86,0.2015275
207.84,-0.1816198,0.86,0.1376503
212.72,-0.1617406,0.86,0.1818492
215.78,-0.1893652,0.86,0.1534135
219.56,-0.1514906,0.86,0.1768685
221.8,-0.1984572,0.86,0.1780475
224.5,-0.1587079,0.86,0.189463
236.96,-0.1948654,0.86,0.1854765
239.36,-0.1789786,0.86,0.1397336
261.46,-0.2240621,0.86,0.2037005
263.62,-0.201886,0.86,0.1627862
267.76,-0.1827626,0.86,0.1968764
270.24,-0.1688748,0.86,0.1401166
272.28,-0.217597,0.86,0.1841599
275.28,-0.164333,0.86,0.1890691
278.3,-0.2046378,0.86,0.1757703
281.4,-0.1649185,0.86,0.1508798
284.26,-0.1653838,0.86,0.192066
287.66,-0.2060798,0.86,0.1644494
290.22,-0.1787518,0.86,0.1921812
301.72,-0.191682,0.86,0.1489901
304.34,-0.191645,0.86,0.2066536
306.58,-0.1507433,0.86,0.1580837
309.52,-0.1792675,0.86,0.2032884
