Time, X, Y, Z
0,-0.216241,0.9952168,-0.1027784
0.01086426,-0.2161617,0.995333,-0.1028005
0.02001953,-0.2161409,0.9954038,-0.1027701
0.02172852,-0.2161381,0.9954141,-0.1027675
0.03289795,-0.2159172,0.9955724,-0.1027608
0.03997803,-0.2156614,0.9956595,-0.1028454
0.04418945,-0.2155284,0.9956931,-0.1028952
0.05517578,-0.2153465,0.9958407,-0.1029322
0.05999756,-0.2153299,0.995836,-0.1029732
0.06622314,-0.2152313,0.9958487,-0.1030618
0.07733154,-0.2149546,0.9959641,-0.1032322
0.08001709,-0.2149655,0.9959334,-0.1032656
0.08862305,-0.2148858,0.995942,-0.1033787
0.09985352,-0.2147296,0.9959083,-0.1035389
0.09997559,-0.2146992,0.995903,-0.1035212
0.1106567,-0.2145019,0.9959302,-0.1035923
0.1199951,-0.2144091,0.995945,-0.1037507
0.1218262,-0.2143858,0.9959483,-0.1037746
0.1328125,-0.2143612,0.9960615,-0.1037594
0.1400146,-0.2144174,0.9961489,-0.1036419
0.1439819,-0.2144248,0.9961945,-0.1036055
0.1551514,-0.2145872,0.9960656,-0.1034901
0.1600342,-0.2147384,0.9959607,-0.1034586
0.1660767,-0.2148844,0.995855,-0.1033997
0.1774902,-0.2151261,0.9956985,-0.1032035
0.1799927,-0.2152061,0.995633,-0.1031419
0.1884155,-0.2154131,0.9954528,-0.10295
0.199646,-0.2157332,0.9952565,-0.1027489
0.2000122,-0.2157204,0.9952993,-0.1027023
0.2107544,-0.2159782,0.9951894,-0.102401
0.2200317,-0.2161348,0.9949327,-0.102344
0.2216797,-0.2161633,0.9948993,-0.1023231
0.2327881,-0.2161112,0.99483,-0.1023423
0.2399902,-0.2160577,0.9949027,-0.1023598
0.2438965,-0.2160435,0.9949176,-0.1023663
0.255188,-0.2160961,0.9949309,-0.1023246
0.2600098,-0.2161108,0.9949161,-0.102319
0.2662964,-0.2161264,0.9949126,-0.1022955
0.2772827,-0.2159769,0.9948462,-0.1023418
0.2800293,-0.2159699,0.9948103,-0.1023124
0.2883911,-0.2158891,0.9947345,-0.1022232
0.2995605,-0.2156333,0.9945012,-0.1022603
0.2999878,-0.2156203,0.9945325,-0.1022393
0.3110352,-0.2154634,0.9944614,-0.1022466
0.3200073,-0.2154795,0.9943705,-0.1022482
