Time, X, Y, Z
0.006292343,0.1816494,0.8898929,0.1805611
0.01057434,0.1817999,0.8898702,0.1803874
0.02009392,0.1821487,0.8897747,0.1800051
0.0287571,0.1823492,0.8897985,0.1797456
0.0305748,0.1823909,0.8898132,0.1796875
0.03857613,0.1825628,0.8900023,0.1796255
0.04974937,0.1826993,0.8901563,0.1795498
0.05057335,0.182717,0.8901597,0.1795373
0.06084251,0.1829538,0.8900343,0.1794435
0.07057381,0.1830535,0.889873,0.1793832
0.07196999,0.1830556,0.889863,0.1793909
0.08304596,0.1830811,0.8896852,0.179456
0.09057426,0.183146,0.8895111,0.1795191
0.09408379,0.1832268,0.8894376,0.1795483
0.1052666,0.1833524,0.8892693,0.1796371
0.1105747,0.1834522,0.889178,0.1796752
0.1165886,0.1835586,0.8891398,0.1797881
0.1276112,0.1837626,0.8892111,0.1800363
0.1305733,0.1838387,0.8892297,0.1801117
0.1385574,0.1841508,0.8892252,0.1803541
0.1495476,0.1844627,0.8892503,0.1806758
0.1505737,0.1844826,0.8892527,0.1807155
0.1608887,0.184666,0.8892691,0.1811297
0.1705742,0.1847186,0.8894519,0.181568
0.171917,0.1847176,0.8894805,0.1816353
0.1830254,0.1846046,0.8897903,0.1823912
0.1905746,0.1844637,0.8899884,0.1830163
0.1948814,0.184396,0.8901174,0.1834366
0.2050076,0.184223,0.8901359,0.1841309
0.2105732,0.1840916,0.8900299,0.1844752
0.2164135,0.1839069,0.8900157,0.1849599
0.2274647,0.1836713,0.8899568,0.1857225
0.2305737,0.183598,0.8899287,0.1859568
0.2387104,0.1834,0.8898052,0.1865315
0.2495632,0.183042,0.8894415,0.1871143
0.2505741,0.1829946,0.8893925,0.1871655
0.2606449,0.182565,0.8888797,0.1876516
0.2705746,0.1822548,0.8884315,0.1880827
0.2717133,0.1822213,0.8883815,0.1881258
0.2828808,0.181796,0.8879505,0.1885742
0.2905731,0.1814432,0.8877813,0.1888933
0.2939644,0.181296,0.8877158,0.1890183
0.3052177,0.1809087,0.8876063,0.1893883
0.3105736,0.1806384,0.887602,0.1895397
0.3162766,0.1803214,0.8874857,0.1896346
0.3274612,0.1798974,0.8872424,0.1896889
0.330574,0.1797893,0.8871681,0.1896966
0.3384171,0.1795612,0.8870345,0.1897164
0.3494911,0.1795092,0.8869718,0.1896259
0.3505745,0.1795244,0.8869859,0.1896096
0.3607559,0.1796141,0.8870738,0.1895537
0.370573,0.1797628,0.887162,0.1895997
0.3718491,0.179793,0.887171,0.1895991
0.3828754,0.1800462,0.8872098,0.1895947
0.3905735,0.1802558,0.8872039,0.1896109
0.3943329,0.1804029,0.8871993,0.189629
0.4054432,0.180678,0.8871521,0.1896721
0.410574,0.180825,0.887097,0.189674
0.4165688,0.1810345,0.8870611,0.1897177
0.427887,0.1814118,0.887042,0.1897335
0.4305744,0.1815169,0.887041,0.1897239
0.4390354,0.1818044,0.886968,0.1896823
0.4503994,0.182037,0.8869758,0.1896451
0.4505749,0.1820401,0.8869767,0.1896436
0.4616699,0.1822289,0.8870063,0.1894779
0.4705734,0.1823582,0.887025,0.1893218
0.4726982,0.182391,0.8870295,0.1892895
0.4838734,0.1825036,0.8870964,0.1891369
0.4905739,0.1825352,0.8872058,0.1890503
0.4950924,0.1825434,0.8873246,0.1890129
0.5062485,0.1824284,0.8875036,0.1889644
0.5105743,0.1823665,0.8875734,0.1889453
0.5173664,0.1822651,0.8876469,0.1888355
0.5282841,0.1821008,0.8877064,0.1886923
0.5305748,0.1820562,0.8877171,0.188672
0.5394096,0.181841,0.8877363,0.18861
